PlanningKey	ItemReference	Family	EraAdmissions	ProductionRoute	Reused	InventoryFile	InventoryLine	BindingSourceFile	BindingSourceLine	BindingSourceKind	Material	CandidateComponents	RequiredTags	RequestedWearProfile	RequiredLayerWeight	MissingStockNames	ComponentCapabilities	ComponentCompositionIssues	OutfitReferences	AdditionalSkinBriefs	OpenRequirements	Validation	DependencySourceSha256
gandoura	earlymodern_maghrebi_clothing_sleeveless_gandoura	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	345	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Sleeveless_Gown","Armour_LightClothing","Insulation_Minor","Variable_BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["djellaba_cool","gandoura_day"]	["embroidered neck","woven stripe"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
sarong	earlymodern_maritimeseasia_clothing_patterned_sarong	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	313	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Long_Skirt","Armour_LightClothing","Insulation_Minor","Variable_2BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["pacific_tiputa","southeast_sarong"]	["block print","woven check","border panel"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
silk_stockings	earlymodern_noble_shared_silk_stockings	hosiery	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	390	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	silk	["Holdable","Destroyable_Clothing","Wear_Stockings","Armour_LightClothing","Insulation_Minor","Variable_FineColour"]	["Era / Early Modern Era","Market / Clothing / Luxury Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["bustle_visit","crinoline_day","evening_bias","industrial_evening","professional_industrial"]	["clocked","embroidered ankle"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
cotton_changshan	earlymodern_qing_clothing_long_sidefastened_robe	regional	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	385	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Robe_Layer_0_75_NonBulky","Armour_LightClothing","Insulation_Minor","Variable_BasicColour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["chinese_cool"]	["small woven repeat","bound edges"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
cloud_shoes	earlymodern_religious_daoist_cloud_shoes	footwear	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	372	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Shoes","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["daoist_clerical"]	["embroidered toe"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
sacred_thread	earlymodern_religious_hindu_sacred_thread	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	364	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Bandolier","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["indic_prayer"]	[]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
ascetic_mouthcloth	earlymodern_religious_jain_mouthcloth	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	368	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Mask","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["jain_ascetic"]	[]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
preaching_bands	earlymodern_religious_reformed_preaching_bands	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	326	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	linen	["Holdable","Destroyable_Clothing","Wear_Scarf","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["preaching_service"]	["narrow hemstitch"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
sikh_chola	earlymodern_religious_sikh_chola	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	327	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Robe","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["sikh_daily"]	["embroidered edge"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
kachera	earlymodern_religious_sikh_kachera	underwear	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	328	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Shorts","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["sikh_daily"]	[]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
monk_underrobe	earlymodern_religious_theravada_underrobe	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	329	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Robe","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["theravada_robes","tibetan_robes"]	["visible patchwork"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
monk_upperrobe	earlymodern_religious_theravada_upperrobe	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	330	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	cotton	["Holdable","Destroyable_Clothing","Wear_Mantle","Armour_LightClothing","Insulation_Minor","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["theravada_robes"]	["pieced panels"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
tibetan_mantle	earlymodern_religious_tibetan_mantle	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	333	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wool	["Holdable","Destroyable_Clothing","Wear_Mantle","Armour_HeavyClothing","Insulation_Moderate","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["tibetan_robes"]	["bound edge"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
tibetan_skirt	earlymodern_religious_tibetan_shamtab	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	331	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wool	["Holdable","Destroyable_Clothing","Wear_Long_Skirt","Armour_HeavyClothing","Insulation_Moderate","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["tibetan_robes"]	["bound hem"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
tibetan_vest	earlymodern_religious_tibetan_vest	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	332	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wool	["Holdable","Destroyable_Clothing","Wear_Vest","Armour_HeavyClothing","Insulation_Moderate","Variable_Colour"]	["Era / Early Modern Era","Market / Clothing / Standard Clothing","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IArmour","IConditionDegradingComponent","IDestroyable","IHoldable","IInsulating","IVariable","IWearable"]	[]	["tibetan_robes"]	["contrast edging"]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
kusti	earlymodern_religious_zoroastrian_kusti	religious	industrial;modern;nuclear;information	H	true	Design Documents/Seeding/Industrialised_Clothing_Wave1_Inventory.md	336	DatabaseSeeder/Seeders/ItemSeeder.HistoricalClothingSources.cs	61	historical-source-provider	wool	["Holdable","Destroyable_Misc","Wear_Sash","Variable_Colour"]	["Era / Early Modern Era","Market / Religious Goods / Ritual Supplies"]			[]	["IAffectQuality","IDestroyable","IHoldable","IVariable","IWearable"]	[]	["zoroastrian_prayer"]	[]	["Resolve actual attached/proposed component revisions and retain the historical owner and stable identity.","Repair missing/incompatible variable bindings and fixed-colour prose through managed source updates; conventional colours are outfit defaults.","Review exact coverage/layering and material-native finishes against every admitted outfit; historical source existence is not physical proof."]	scope-reconciled;stock-names-audited;physical-unverified;production-unreviewed	f38b1e8de8e4c91c29fbcc51b592be876202cb71ed1ac682e81db6a23da8fa1c
