unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
earlymodern_door_fr_hinge_pair_13,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,hinges,a geometric brass hinge pair,brass,Small,VeryGood,1180,103,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_fr_keyring_14,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,keyring,a cloud copper keyring,copper,Small,Good,1265,111,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_fr_escutcheon_15,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,escutcheon,a shell pewter keyhole escutcheon,pewter,Small,Standard,1350,119,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_fr_warded_lock_16,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,lock,a reed wrought iron warded lock,wrought iron,Small,Poor,1435,127,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_fr_good_warded_lock_17,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,lock,a rosette bronze fine warded lock,bronze,Small,Standard,1520,135,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Good,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_fr_master_warded_lock_18,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,lock,a checker brass master warded lock,brass,Small,Good,160,143,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_fr_warded_key_19,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,key,a braided copper warded key,copper,Small,Good,245,151,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_panel_door_20,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,door,a bird pine door leaf,pine,Large,Standard,24000,254,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_braced_door_21,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,door,a geometric cedar braced door,cedar,Large,VeryGood,25800,265,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_lockable_door_22,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,door,a shell teak lockable door,teak,Large,Good,27600,276,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_secure_door_23,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,door,a rosette wood secure door,wood,Large,Standard,29400,287,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_shutter_24,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,shutter,a braided oak shuttered opening,oak,Large,Poor,31200,45,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_screen_25,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,screen,a leaf-scroll bamboo screen door,bamboo,Large,Standard,33000,56,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_lattice_gate_26,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,gate,a water-wave teak lattice gate,teak,VeryLarge,Good,34800,67,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_courtyard_gate_27,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,gate,a flower-head wrought iron courtyard gate,wrought iron,VeryLarge,Good,36600,78,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_warehouse_gate_28,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,gate,a bird bronze warehouse gate,bronze,VeryLarge,Standard,38400,89,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_garden_gate_29,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,gate,a geometric oak garden gate,oak,VeryLarge,VeryGood,40200,100,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_grille_30,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Dutch Republic and Low Countries,grille,a shell bronze metal grille,bronze,Large,Good,42000,111,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_nl_strike_plate_31,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,strike plate,a braided wrought iron strike plate,wrought iron,Small,Standard,1265,95,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_hinge_pair_32,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,hinges,a radiating bronze hinge pair,bronze,Small,Poor,1350,103,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_keyring_33,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,keyring,a leaf-scroll brass keyring,brass,Small,Standard,1435,111,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_escutcheon_34,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,escutcheon,a sunburst copper keyhole escutcheon,copper,Small,Good,1520,119,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_warded_lock_35,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,lock,a water-wave pewter warded lock,pewter,Small,Good,160,127,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_good_warded_lock_36,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,lock,a knotted wrought iron fine warded lock,wrought iron,Small,Standard,245,135,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Good,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_master_warded_lock_37,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,lock,a flower-head bronze master warded lock,bronze,Small,VeryGood,330,143,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_nl_warded_key_38,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Dutch Republic and Low Countries,key,a star brass warded key,brass,Small,Good,415,151,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_panel_door_39,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,door,a knotted pine door leaf,pine,Large,Standard,24000,210,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_braced_door_40,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,door,a star cedar braced door,cedar,Large,Poor,25800,221,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_lockable_door_41,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,door,a vine teak lockable door,teak,Large,Standard,27600,232,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_secure_door_42,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,door,a cloud wood secure door,wood,Large,Good,29400,243,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_shutter_43,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,shutter,a reed oak shuttered opening,oak,Large,Good,31200,254,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_screen_44,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,screen,a checker cedar screen door,cedar,Large,Standard,33000,265,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_lattice_gate_45,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,gate,a radiating teak lattice gate,teak,VeryLarge,VeryGood,34800,276,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_courtyard_gate_46,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,gate,a sunburst wrought iron courtyard gate,wrought iron,VeryLarge,Good,36600,287,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_warehouse_gate_47,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,gate,a knotted bronze warehouse gate,bronze,VeryLarge,Standard,38400,45,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_garden_gate_48,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,gate,a star oak garden gate,oak,VeryLarge,Poor,40200,56,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_grille_49,Early Modern,Early Modern,"Doors, locks & gates",door or gate,British Stuart Georgian,grille,a vine brass metal grille,brass,Large,Standard,42000,67,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission British Stuart Georgian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_gb_strike_plate_50,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,strike plate,a radiating pewter strike plate,pewter,Small,Good,1435,95,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_hinge_pair_51,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,hinges,a leaf-scroll wrought iron hinge pair,wrought iron,Small,Good,1520,103,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_keyring_52,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,keyring,a sunburst bronze keyring,bronze,Small,Standard,160,111,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_escutcheon_53,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,escutcheon,a water-wave brass keyhole escutcheon,brass,Small,VeryGood,245,119,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_warded_lock_54,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,lock,a knotted copper warded lock,copper,Small,Good,330,127,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_good_warded_lock_55,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,lock,a flower-head pewter fine warded lock,pewter,Small,Standard,415,135,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Good,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_master_warded_lock_56,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,lock,a star wrought iron master warded lock,wrought iron,Small,Poor,500,143,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_gb_warded_key_57,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,British Stuart Georgian,key,a bird bronze warded key,bronze,Small,Standard,585,151,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission British Stuart Georgian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
