stable_reference	source_file	source_line	source_scope	kind	family	disposition	rationale	review_status
earlymodern_food_french_coffee_biscuit	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	25	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_french_candied_chestnut	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	26	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_cloth_boiled_plum_pudding	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	27	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_steak_kidney_pudding	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	28	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_sussex_like_pond_pudding	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	29	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_yorkshire_batter_pudding	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	30	EarlyModern	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_steamed_suet_dumplings	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	31	EarlyModern	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_layered_trifle	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	32	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_syllabub_cream	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	33	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_pound_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	34	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_caraway_seed_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	35	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_chelsea_currant_bun	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	36	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_bath_sugar_bun	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	37	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_hot_cross_bun	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	38	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_tea_rusk	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	39	EarlyModern	Prepared	Bread	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_chocolate_puff	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	40	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_portable_soup_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	41	EarlyModern	Prepared	Preserved	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_naval_pease_pudding	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	42	EarlyModern	Prepared	Pulse	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_naval_duff_pudding	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	43	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_minced_tongue_sandwich	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	44	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_british_potted_shrimp_toast	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	45	EarlyModern	Prepared	Shellfish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_spiced_speculaas	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	46	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_oliebol_currant_fritter	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	47	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_poffertjes_plate	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	48	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_company_spice_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	49	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_company_rice_tart	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	50	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_pickled_herring_onion_plate	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	51	EarlyModern	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_shipboard_cheese_ration	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	52	EarlyModern	Prepared	Preserved	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_dutch_east_indies_meat_pie	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	53	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_chocolate_churros	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	54	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_cacao_almond_turron	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	55	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_crema_burnt_sugar	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	56	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_convent_yolk_threads	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	57	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_cod_pil_pil	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	58	EarlyModern	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_cod_fritter_plate	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	59	EarlyModern	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_new_world_tomato_fry	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	60	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_iberian_pepper_stuffed_cod	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	61	EarlyModern	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_german_potato_dumplings	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	62	EarlyModern	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_german_potato_pancakes	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	63	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_german_coffee_house_kugelhopf	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	64	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_german_apple_strudel	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	65	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_german_coffee_house_linzer_torte	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	66	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_german_spiced_chocolate_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	67	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mediterranean_tomato_aubergine_bake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	68	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mediterranean_maize_cheese_porridge	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	69	EarlyModern	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mediterranean_stuffed_tomatoes	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	70	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_coffee_house_baklava	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	71	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_coffee_house_lokma	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	72	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_tea_sesame_biscuit	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	73	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_hunkar_style_aubergine	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	74	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_tomato_lamb_dolma	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	75	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_green_pepper_dolma	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	76	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_imperial_kebab_array	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	77	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_ramadan_pide_loaf	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	78	EarlyModern	Prepared	Bread	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_ramadan_gullac	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	79	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_asure_palace_garnish	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	80	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_imaret_meat_rice_ration	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	81	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_shipboard_bulgur_pilav	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	82	EarlyModern	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_preserved_cherry_meat	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	83	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_quince_jam_cheese_plate	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	84	EarlyModern	Prepared	Fruit	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_ottoman_starch_delight_roll	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	85	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_coffee_house_saffron_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	86	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_tea_almond_biscuit	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	87	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_jeweled_fowl_rice	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	88	EarlyModern	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_pomegranate_nut_fowl	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	89	EarlyModern	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_herb_plum_meat_stew	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	90	EarlyModern	Prepared	Stew	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_stuffed_fruit_platter	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	91	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_crisp_rice_crust_cake	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	92	EarlyModern	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_rose_nut_nougat	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	93	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_safavid_sour_fruit_leather_soup	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	94	EarlyModern	Prepared	Soup	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_dum_pukht_meat_rice	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	95	EarlyModern	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_murgh_musallam	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	96	EarlyModern	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_kofta_nut_sauce	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	97	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_eggplant_nut_korma	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	98	EarlyModern	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_tomato_meat_qorma	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	99	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_chile_lamb_skewers	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	100	EarlyModern	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_pistachio_like_kulfi	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	101	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
earlymodern_food_mughal_mango_like_ice	DatabaseSeeder/Seeders/FoodCatalogue/EarlyModern/earlymodern.food-items.tsv	102	EarlyModern	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
