unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
renaissance_jewellery_common_pin_11,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,pin,a knotted gold pin,gold,Tiny,Good,90,98,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_hairpin_12,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,hairpin,a flower-head brass hairpin,brass,Tiny,Standard,20,107,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_circlet_13,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,circlet,a star glass circlet,glass,Tiny,VeryGood,27,116,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_diadem_14,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,diadem,a bird bone diadem,bone,Tiny,Good,34,125,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_waist_chain_15,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,waist chain,a vine shell waist chain,shell,Tiny,Standard,41,134,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_belt_ornament_16,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,belt ornament,a geometric ivory belt ornament,ivory,Tiny,Poor,48,143,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_badge_17,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,badge,a cloud pearl badge,pearl,Tiny,Standard,55,152,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_temple_ring_18,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,temple ring,a shell amber temple ring,amber,Tiny,Good,62,8,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_torc_19,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,torc,a reed coral torc,coral,Tiny,Good,69,17,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_wreath_20,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,wreath,a rosette garnet wreath,garnet,Tiny,Standard,76,26,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_prayer_beads_21,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal devotional,Renaissance and Early Modern common,prayer bead strand,a checker agate prayer bead strand,agate,Tiny,VeryGood,83,35,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_devotional_medal_22,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal devotional,Renaissance and Early Modern common,devotional medal,a braided carnelian devotional medal,carnelian,Tiny,Good,90,44,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_devotional_badge_23,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal devotional,Renaissance and Early Modern common,devotional badge,a radiating lapis lazuli devotional badge,lapis lazuli,Tiny,Standard,20,53,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Wear_Badge; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_prayer_cord_24,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal devotional,Renaissance and Early Modern common,prayer cord,a leaf-scroll linen prayer cord,linen,Tiny,Poor,27,62,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Standard Jewellery; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Jewellery and devotional work,Weaving,Renaissance personal devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_votive_token_25,Renaissance,Renaissance / Early Modern,Jewellery & devotional,institutional devotional,Renaissance and Early Modern common,votive token,a sunburst jade votive token,jade,Small,Standard,34,71,Era / Renaissance Era; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance institutional devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_scripture_box_26,Renaissance,Renaissance / Early Modern,Jewellery & devotional,institutional devotional,Renaissance and Early Modern common,small scripture box,a water-wave quartz small scripture box,quartz,Small,Good,41,80,Era / Renaissance Era; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance institutional devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_offering_bowl_27,Renaissance,Renaissance / Early Modern,Jewellery & devotional,institutional devotional,Renaissance and Early Modern common,offering bowl,a knotted silver offering bowl,silver,Small,Good,48,89,Era / Renaissance Era; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance institutional devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_incense_holder_28,Renaissance,Renaissance / Early Modern,Jewellery & devotional,institutional devotional,Renaissance and Early Modern common,incense holder,a flower-head pewter incense holder,pewter,Small,Standard,55,98,Era / Renaissance Era; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance institutional devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_portable_panel_29,Renaissance,Renaissance / Early Modern,Jewellery & devotional,institutional devotional,Renaissance and Early Modern common,small devotional panel,a star wood small devotional panel,wood,Small,VeryGood,62,107,Era / Renaissance Era; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Destroyable_Misc,Jewellery and devotional work,Carpentry,Renaissance institutional devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_processional_ornament_30,Renaissance,Renaissance / Early Modern,Jewellery & devotional,institutional devotional,Renaissance and Early Modern common,processional ornament,a bird brass processional ornament,brass,Small,Good,69,116,Era / Renaissance Era; Functions / Household Items / Household Religious Items; Market / Religious Goods / Devotional Goods,Holdable; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance institutional devotional catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_ring_31,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,ring,a vine silver ring,silver,Tiny,Standard,76,125,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_signet_ring_32,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,ring,a geometric gold ring,gold,Tiny,VeryGood,83,134,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_pendant_33,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,pendant,a cloud brass pendant,brass,Tiny,Standard,90,143,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_bead_necklace_34,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,necklace,a shell glass necklace,glass,Tiny,Good,20,152,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_chain_necklace_35,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,necklace,a reed bone necklace,bone,Tiny,Good,27,8,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_bracelet_36,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,bracelet,a rosette shell bracelet,shell,Tiny,Standard,34,17,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_armlet_37,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,armlet,a checker ivory armlet,ivory,Tiny,VeryGood,41,26,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_anklet_38,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,anklet,a braided pearl anklet,pearl,Tiny,Good,48,35,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_earrings_39,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,earrings,a radiating amber earrings,amber,Tiny,Standard,55,44,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_brooch_40,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,brooch,a leaf-scroll coral brooch,coral,Tiny,Poor,62,53,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_pin_41,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,pin,a sunburst garnet pin,garnet,Tiny,Standard,69,62,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_hairpin_42,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,hairpin,a water-wave agate hairpin,agate,Tiny,Good,76,71,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_circlet_43,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,circlet,a knotted carnelian circlet,carnelian,Tiny,Good,83,80,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_diadem_44,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,diadem,a flower-head lapis lazuli diadem,lapis lazuli,Tiny,Standard,90,89,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_waist_chain_45,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,waist chain,a star turquoise waist chain,turquoise,Tiny,VeryGood,20,98,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_belt_ornament_46,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,belt ornament,a bird jade belt ornament,jade,Tiny,Good,27,107,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_badge_47,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,badge,a vine quartz badge,quartz,Tiny,Standard,34,116,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_temple_ring_48,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,temple ring,a geometric faience temple ring,faience,Tiny,Poor,41,125,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
renaissance_jewellery_common_torc_49,Renaissance,Renaissance / Early Modern,Jewellery & devotional,personal adornment,Renaissance and Early Modern common,torc,a cloud pewter torc,pewter,Tiny,Standard,48,134,Era / Renaissance Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Renaissance personal adornment catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
