unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
earlymodern_jewellery_it_belt_ornament_116,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Italian states,belt ornament,a checker gold belt ornament,gold,Tiny,Standard,55,125,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Italian states; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_it_badge_117,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Italian states,badge,a braided brass badge,brass,Tiny,VeryGood,62,134,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Italian states; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_it_temple_ring_118,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Italian states,temple ring,a radiating glass temple ring,glass,Tiny,Good,69,143,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Italian states; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_it_torc_119,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Italian states,torc,a leaf-scroll bone torc,bone,Tiny,Standard,76,152,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Italian states; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_it_wreath_120,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Italian states,wreath,a sunburst shell wreath,shell,Tiny,Poor,83,8,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Italian states; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_ring_121,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,ring,a sunburst agate ring,agate,Tiny,Standard,90,17,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_signet_ring_122,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,ring,a water-wave carnelian ring,carnelian,Tiny,VeryGood,20,26,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_pendant_123,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,pendant,a knotted lapis lazuli pendant,lapis lazuli,Tiny,Good,27,35,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_bead_necklace_124,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,necklace,a flower-head turquoise necklace,turquoise,Tiny,Standard,34,44,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_chain_necklace_125,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,necklace,a star jade necklace,jade,Tiny,VeryGood,41,53,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_bracelet_126,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,bracelet,a bird quartz bracelet,quartz,Tiny,Good,48,62,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_armlet_127,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,armlet,a vine faience armlet,faience,Tiny,Standard,55,71,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_anklet_128,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,anklet,a geometric pewter anklet,pewter,Tiny,Poor,62,80,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_earrings_129,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,earrings,a cloud copper earrings,copper,Tiny,Standard,69,89,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_brooch_130,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,brooch,a shell bronze brooch,bronze,Tiny,Good,76,98,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_pin_131,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,pin,a reed silver pin,silver,Tiny,Good,83,107,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_hairpin_132,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,hairpin,a rosette gold hairpin,gold,Tiny,Standard,90,116,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_circlet_133,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,circlet,a checker brass circlet,brass,Tiny,VeryGood,20,125,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_diadem_134,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,diadem,a braided glass diadem,glass,Tiny,Good,27,134,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_waist_chain_135,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,waist chain,a radiating bone waist chain,bone,Tiny,Standard,34,143,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_belt_ornament_136,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,belt ornament,a leaf-scroll shell belt ornament,shell,Tiny,Poor,41,152,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_badge_137,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,badge,a sunburst ivory badge,ivory,Tiny,Standard,48,8,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_temple_ring_138,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,temple ring,a water-wave pearl temple ring,pearl,Tiny,Good,55,17,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_torc_139,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,torc,a knotted amber torc,amber,Tiny,Good,62,26,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_scb_wreath_140,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Scandinavian Baltic,wreath,a flower-head coral wreath,coral,Tiny,Standard,69,35,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Scandinavian Baltic; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_ring_141,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,ring,a geometric ivory ring,ivory,Tiny,VeryGood,76,44,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_signet_ring_142,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,ring,a cloud pearl ring,pearl,Tiny,Good,83,53,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_pendant_143,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,pendant,a shell amber pendant,amber,Tiny,Standard,90,62,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_bead_necklace_144,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,necklace,a reed coral necklace,coral,Tiny,Poor,20,71,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_chain_necklace_145,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,necklace,a rosette garnet necklace,garnet,Tiny,Standard,27,80,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_bracelet_146,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,bracelet,a checker agate bracelet,agate,Tiny,Good,34,89,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_armlet_147,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,armlet,a braided carnelian armlet,carnelian,Tiny,Good,41,98,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_anklet_148,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,anklet,a radiating lapis lazuli anklet,lapis lazuli,Tiny,Standard,48,107,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_earrings_149,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,earrings,a leaf-scroll turquoise earrings,turquoise,Tiny,VeryGood,55,116,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_brooch_150,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,brooch,a sunburst jade brooch,jade,Tiny,Good,62,125,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_pin_151,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,pin,a water-wave quartz pin,quartz,Tiny,Standard,69,134,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_hairpin_152,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,hairpin,a knotted faience hairpin,faience,Tiny,Poor,76,143,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_circlet_153,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,circlet,a flower-head pewter circlet,pewter,Tiny,Standard,83,152,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_diadem_154,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,diadem,a star copper diadem,copper,Tiny,Good,90,8,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_waist_chain_155,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,waist chain,a bird bronze waist chain,bronze,Tiny,Good,20,17,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_belt_ornament_156,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,belt ornament,a vine silver belt ornament,silver,Tiny,Standard,27,26,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_badge_157,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,badge,a geometric gold badge,gold,Tiny,VeryGood,34,35,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_temple_ring_158,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,temple ring,a cloud brass temple ring,brass,Tiny,Good,41,44,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_torc_159,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,torc,a shell glass torc,glass,Tiny,Standard,48,53,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_plh_wreath_160,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Polish Lithuanian Hungarian frontier,wreath,a reed bone wreath,bone,Tiny,Poor,55,62,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Polish Lithuanian Hungarian frontier; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_rus_ring_161,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Russian Petrine and post Petrine,ring,a leaf-scroll gold ring,gold,Tiny,Standard,62,71,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Russian Petrine and post Petrine; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_rus_signet_ring_162,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Russian Petrine and post Petrine,ring,a sunburst brass ring,brass,Tiny,Excellent,69,80,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Russian Petrine and post Petrine; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_rus_pendant_163,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Russian Petrine and post Petrine,pendant,a water-wave glass pendant,glass,Tiny,Good,76,89,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Russian Petrine and post Petrine; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_rus_bead_necklace_164,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Russian Petrine and post Petrine,necklace,a knotted bone necklace,bone,Tiny,Standard,83,98,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Russian Petrine and post Petrine; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_rus_chain_necklace_165,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Russian Petrine and post Petrine,necklace,a flower-head shell necklace,shell,Tiny,VeryGood,90,107,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Russian Petrine and post Petrine; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_rus_bracelet_166,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Russian Petrine and post Petrine,bracelet,a star ivory bracelet,ivory,Tiny,Good,20,116,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Russian Petrine and post Petrine; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
