unique_reference,sdesc,fdesc
medieval_jewellery_common_straw_festival_ring,a straw festival ring,"A straw festival ring is a compact band of straw twisted into a pale, dry braid, made with dry stems twisted into a rough circle rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Fine wear gathers around the ring's highest places, leaving dry stems twisted into a rough circle easier to pick out. The straw festival ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_common_leather_token_bracelet,a leather token bracelet,"The form is simple enough to survive frequent wearing, but not so plain that it disappears. A single punched hole near the knot breaks up the line of worked leather with creases at the folds. The hidden side of the leather token bracelet is plainer, so attention stays on a single punched hole near the knot and the visible finish. The piece would signal commoner taste while remaining straightforward jewellery."
medieval_jewellery_common_jet_bead_keepsake_string,a jet bead keepsake string,"A jet bead keepsake string carries its value in the rhythm of its material: black jet polished until it gives back a quiet reflection. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Fine wear gathers around the necklace's highest places, leaving black beads broken by one pale spacer easier to pick out. The jet bead keepsake string feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_common_small_amber_bead_charm,a small amber bead charm,"A small amber bead charm carries its value in the rhythm of its material: honey-coloured amber with cloudy threads caught inside. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Close inspection of the small amber bead charm shows small tool marks rather than cast-perfect smoothness. The small amber bead charm reads as commoner adornment rather than a tool, charm, or container."
medieval_jewellery_garland_dried_flower_neck_garland,a dried flower neck garland,"The piece is light and pliant, built from dried flowers papery at the edges and brittle along the stems rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The dry pieces rustle faintly rather than bending back into shape. The dried flower neck garland leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_wilted_flower_neck_garland,a wilted flower neck garland,"Fresh or faded, wilted flower neck garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The wilted flower neck garland leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_fresh_flower_neck_garland,a fresh flower neck garland,"Fresh or faded, fresh flower neck garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with a line of tiny punch marks interrupting the line of petals and leaves. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh flower neck garland reads as festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_dried_jasmine_garland,a dried jasmine garland,"Fresh or faded, dried jasmine garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with a softened seam where the maker closed it interrupting the line of petals and leaves. The dry pieces rustle faintly rather than bending back into shape. The dried jasmine garland reads as temporary festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_wilted_jasmine_garland,a wilted jasmine garland,"The piece is light and pliant, built from wilted flowers with limp stems and darkening petal tips rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The drooping parts still show where the brighter fresh shape used to be. The wilted jasmine garland is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_garland_fresh_jasmine_garland,a fresh jasmine garland,"The piece is light and pliant, built from jasmine flowers strung in small pale stars rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh jasmine garland feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_dried_marigold_garland,a dried marigold garland,"The piece is light and pliant, built from dried flowers papery at the edges and brittle along the stems rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The dry pieces rustle faintly rather than bending back into shape. The piece would signal temporary festival taste while remaining straightforward jewellery."
medieval_jewellery_garland_wilted_marigold_garland,a wilted marigold garland,"The piece is light and pliant, built from wilted flowers with limp stems and darkening petal tips rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The drooping parts still show where the brighter fresh shape used to be. The wilted marigold garland feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_fresh_marigold_garland,a fresh marigold garland,"Fresh or faded, fresh marigold garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with a line of tiny punch marks interrupting the line of petals and leaves. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh marigold garland leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_dried_rose_chaplet,a dried rose chaplet,"A dried rose chaplet has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried rose chaplet carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_garland_wilted_rose_chaplet,a wilted rose chaplet,"Fresh or faded, wilted rose chaplet keeps the uneven look of something made by hand from living material. The binding is visible in places, with a small flattened spot from long handling interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The piece would signal temporary festival taste while remaining straightforward jewellery."
medieval_jewellery_garland_fresh_rose_chaplet,a fresh rose chaplet,"Fresh or faded, fresh rose chaplet keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh rose chaplet reads as festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_dried_ivy_wreath,a dried ivy wreath,"A dried ivy wreath has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The piece would signal temporary festival taste while remaining straightforward jewellery."
medieval_jewellery_garland_wilted_ivy_wreath,a wilted ivy wreath,"Fresh or faded, wilted ivy wreath keeps the uneven look of something made by hand from living material. The binding is visible in places, with a softened seam where the maker closed it interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The wilted ivy wreath reads as temporary festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_fresh_ivy_wreath,a fresh ivy wreath,"A fresh ivy wreath has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh ivy wreath carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_garland_dried_laurel_wreath,a dried laurel wreath,"A dried laurel wreath has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried laurel wreath feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_wilted_laurel_wreath,a wilted laurel wreath,"Fresh or faded, wilted laurel wreath keeps the uneven look of something made by hand from living material. The binding is visible in places, with a smooth hand-worn polish interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The piece would signal temporary festival taste while remaining straightforward jewellery."
medieval_jewellery_garland_fresh_laurel_wreath,a fresh laurel wreath,"The piece is light and pliant, built from laurel leaves laid in a clean repeating line rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh laurel wreath feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_dried_violet_wrist_garland,a dried violet wrist garland,"A dried violet wrist garland has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried violet wrist garland leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_wilted_violet_wrist_garland,a wilted violet wrist garland,"Fresh or faded, wilted violet wrist garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The wilted violet wrist garland carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_garland_fresh_violet_wrist_garland,a fresh violet wrist garland,"A fresh violet wrist garland is gathered from violets gathered into small dark-faced clusters, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh violet wrist garland reads as festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_dried_blossom_anklet,a dried blossom anklet,"Fresh or faded, dried blossom anklet keeps the uneven look of something made by hand from living material. The binding is visible in places, with a line of tiny punch marks interrupting the line of petals and leaves. The dry pieces rustle faintly rather than bending back into shape. The dried blossom anklet carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_garland_wilted_blossom_anklet,a wilted blossom anklet,"A wilted blossom anklet is gathered from wilted flowers with limp stems and darkening petal tips, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. The drooping parts still show where the brighter fresh shape used to be. The wilted blossom anklet leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_fresh_blossom_anklet,a fresh blossom anklet,"A fresh blossom anklet has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh blossom anklet is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_garland_dried_daisy_head_garland,a dried daisy head garland,"A dried daisy head garland is gathered from dried flowers papery at the edges and brittle along the stems, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. The dry pieces rustle faintly rather than bending back into shape. The dried daisy head garland leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_wilted_daisy_head_garland,a wilted daisy head garland,"The piece is light and pliant, built from wilted flowers with limp stems and darkening petal tips rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The drooping parts still show where the brighter fresh shape used to be. The wilted daisy head garland feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_fresh_daisy_head_garland,a fresh daisy head garland,"The piece is light and pliant, built from daisies with pale petals radiating around yellow centres rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh daisy head garland reads as festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_dried_lotus_garland,a dried lotus garland,"A dried lotus garland has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried lotus garland carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_garland_wilted_lotus_garland,a wilted lotus garland,"The piece is light and pliant, built from wilted flowers with limp stems and darkening petal tips rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The drooping parts still show where the brighter fresh shape used to be. The wilted lotus garland feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_fresh_lotus_garland,a fresh lotus garland,"A fresh lotus garland is gathered from lotus petals folded and tied into a broad soft chain, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh lotus garland leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_dried_lily_chaplet,a dried lily chaplet,"Fresh or faded, dried lily chaplet keeps the uneven look of something made by hand from living material. The binding is visible in places, with a softened seam where the maker closed it interrupting the line of petals and leaves. The dry pieces rustle faintly rather than bending back into shape. The dried lily chaplet feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_garland_wilted_lily_chaplet,a wilted lily chaplet,"Fresh or faded, wilted lily chaplet keeps the uneven look of something made by hand from living material. The binding is visible in places, with a smooth hand-worn polish interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The piece would signal temporary festival taste while remaining straightforward jewellery."
medieval_jewellery_garland_fresh_lily_chaplet,a fresh lily chaplet,"The piece is light and pliant, built from lily petals bound carefully so their long curves are not crushed rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh lily chaplet leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_garland_dried_chamomile_wrist_garland,a dried chamomile wrist garland,"A dried chamomile wrist garland is gathered from dried flowers papery at the edges and brittle along the stems, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. The dry pieces rustle faintly rather than bending back into shape. The dried chamomile wrist garland reads as temporary festival adornment rather than a tool, charm, or container."
medieval_jewellery_garland_wilted_chamomile_wrist_garland,a wilted chamomile wrist garland,"Fresh or faded, wilted chamomile wrist garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The piece would signal temporary festival taste while remaining straightforward jewellery."
medieval_jewellery_garland_fresh_chamomile_wrist_garland,a fresh chamomile wrist garland,"A fresh chamomile wrist garland is gathered from chamomile, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh chamomile wrist garland carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_ring_thin_copper_ring,a thin copper ring,"A thin copper ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as warm reddish copper darkened in the recesses, with the inner surface left plain and comfortable. Fine wear gathers around the ring's highest places, leaving a faint solder seam easier to pick out. The thin copper ring feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_ring_hammered_bronze_ring,a hammered bronze ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Brown-gold bronze with rubbed high points forms a steady circle, broken only by hammer facets that do not quite line up. Fine wear gathers around the ring's highest places, leaving hammer facets that do not quite line up easier to pick out. The hammered bronze ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_plain_pewter_ring,a plain pewter ring,"A plain pewter ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as soft grey pewter with a low satin sheen, with the inner surface left plain and comfortable. Small handling marks cross the plain pewter ring unevenly, especially where it would brush cloth or skin. The plain pewter ring feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_ring_brass_twist_ring,a brass twist ring,"At close range, brass twist ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. Two visible strands crossing at the front draws the eye around the band. Close inspection of the brass twist ring shows small tool marks rather than cast-perfect smoothness. The brass twist ring carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_ring_narrow_iron_ring,a narrow iron ring,"A narrow iron ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as dark wrought iron with a waxed, workmanlike finish, with the inner surface left plain and comfortable. Close inspection of the narrow iron ring shows small tool marks rather than cast-perfect smoothness. The narrow iron ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_silver_wire_ring,a silver wire ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale silver brightened at its raised surfaces forms a steady circle, broken only by a wire loop wound twice around itself. Small handling marks cross the silver wire ring unevenly, especially where it would brush cloth or skin. The silver wire ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_sterling_silver_band,a sterling silver band,"A sterling silver band keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as clean, pale silver with a crisp shine, with the inner surface left plain and comfortable. The worked parts of the sterling silver band are decorative, but none suggest a moving catch or concealed compartment. The piece would signal merchant taste while remaining straightforward jewellery."
medieval_jewellery_ring_silver_gilt_finger_ring,a silver-gilt finger ring,"At close range, silver-gilt finger ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. A worn paler edge beneath the gilding draws the eye around the band. The worked parts of the silver-gilt finger ring are decorative, but none suggest a moving catch or concealed compartment. The silver-gilt finger ring feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_ring_small_gold_ring,a small gold ring,"A small gold ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as deep yellow gold with a warm, steady shine, with the inner surface left plain and comfortable. Rubbing has brightened the exposed parts of the small gold ring without making it look neglected. The small gold ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_electrum_finger_ring,an electrum finger ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale yellow electrum, neither fully silver nor fully gold in colour forms a steady circle, broken only by a pale yellow sheen. Fine wear gathers around the ring's highest places, leaving a pale yellow sheen easier to pick out. The electrum finger ring carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_ring_carved_bone_ring,a carved bone ring,"A carved bone ring is a compact band of pale bone burnished by handling, made with shallow cross-cut scoring rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Fine wear gathers around the ring's highest places, leaving shallow cross-cut scoring easier to pick out. The piece would signal commoner taste while remaining straightforward jewellery."
medieval_jewellery_ring_dark_jet_ring,a dark jet ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Black jet polished until it gives back a quiet reflection forms a steady circle, broken only by a black surface polished like still water. Close inspection of the dark jet ring shows small tool marks rather than cast-perfect smoothness. The dark jet ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_amber_set_bronze_ring,an amber-set bronze ring,"An amber-set bronze ring is a compact band of brown-gold bronze with rubbed high points, made with a raised amber bead rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Close inspection of the amber-set bronze ring shows small tool marks rather than cast-perfect smoothness. The amber-set bronze ring carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_ring_coral_set_silver_ring,a coral-set silver ring,"A coral-set silver ring is a compact band of pale silver brightened at its raised surfaces, made with a small coral cabochon rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Fine wear gathers around the ring's highest places, leaving a small coral cabochon easier to pick out. The coral-set silver ring feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_ring_garnet_set_gold_ring,a garnet-set gold ring,"A garnet-set gold ring is a compact band of deep yellow gold with a warm, steady shine, made with visible garnet detail worked into the public face rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Small handling marks cross the garnet-set gold ring unevenly, especially where it would brush cloth or skin. The garnet-set gold ring reads as noble adornment rather than a tool, charm, or container."
medieval_jewellery_ring_carnelisilver_ring,a carnelian silver ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale silver brightened at its raised surfaces forms a steady circle, broken only by visible carnelian detail worked into the public face. The hidden side of the carnelian silver ring is plainer, so attention stays on visible carnelian detail worked into the public face and the visible finish. The carnelian silver ring reads as merchant adornment rather than a tool, charm, or container."
medieval_jewellery_ring_turquoise_brass_ring,a turquoise brass ring,"A turquoise brass ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as yellow brass polished brighter on the edges, with the inner surface left plain and comfortable. The hidden side of the turquoise brass ring is plainer, so attention stays on visible turquoise detail worked into the public face and the visible finish. The turquoise brass ring feels selected for appearance first, with practical wearing kept secondary."
medieval_jewellery_ring_rock_crystal_ring,a rock crystal ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale silver brightened at its raised surfaces forms a steady circle, broken only by visible rock crystal detail worked into the public face. Small handling marks cross the rock crystal ring unevenly, especially where it would brush cloth or skin. The rock crystal ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_lapis_signet_like_ring,a lapis signet-like ring,"A lapis signet-like ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as pale silver brightened at its raised surfaces, with the inner surface left plain and comfortable. The worked parts of the lapis signet-like ring are decorative, but none suggest a moving catch or concealed compartment. The lapis signet-like ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_jade_thumb_ring,a jade thumb ring,"A jade thumb ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as green jade smoothed to a cool waxy finish, with the inner surface left plain and comfortable. Small handling marks cross the jade thumb ring unevenly, especially where it would brush cloth or skin. The jade thumb ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_ring_agate_bead_ring,an agate bead ring,"An agate bead ring is a compact band of agate, made with natural banding through the stone rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Small handling marks cross the agate bead ring unevenly, especially where it would brush cloth or skin. The agate bead ring reads as ordinary market adornment rather than a tool, charm, or container."
medieval_jewellery_ring_bloodstone_signet_ring,a bloodstone signet ring,"At close range, bloodstone signet ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. A dark flat bezel draws the eye around the band. The worked parts of the bloodstone signet ring are decorative, but none suggest a moving catch or concealed compartment. The bloodstone signet ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_ring_moonstone_gold_ring,a moonstone gold ring,"A moonstone gold ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as deep yellow gold with a warm, steady shine, with the inner surface left plain and comfortable. Rubbing has brightened the exposed parts of the moonstone gold ring without making it look neglected. The moonstone gold ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_ring_onyx_silver_ring,an onyx silver ring,"An onyx silver ring is a compact band of pale silver brightened at its raised surfaces, made with visible onyx detail worked into the public face rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. The worked parts of the onyx silver ring are decorative, but none suggest a moving catch or concealed compartment. The onyx silver ring reads as merchant adornment rather than a tool, charm, or container."
medieval_jewellery_ring_rose_quartz_love_ring,a rose quartz love ring,"At close range, rose quartz love ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. Visible quartz detail worked into the public face draws the eye around the band. Fine wear gathers around the ring's highest places, leaving visible quartz detail worked into the public face easier to pick out. The rose quartz love ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_ring_amethyst_court_ring,an amethyst court ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Deep yellow gold with a warm, steady shine forms a steady circle, broken only by visible amethyst detail worked into the public face. Fine wear gathers around the ring's highest places, leaving visible amethyst detail worked into the public face easier to pick out. The amethyst court ring carries value through visible material and workmanship, not through hidden mechanism."
medieval_jewellery_ring_sapphire_court_ring,a sapphire court ring,"A sapphire court ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as deep yellow gold with a warm, steady shine, with the inner surface left plain and comfortable. Small handling marks cross the sapphire court ring unevenly, especially where it would brush cloth or skin. The sapphire court ring leaves room for local marks or motifs without needing a different base object."
medieval_jewellery_ring_emerald_court_ring,an emerald court ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Deep yellow gold with a warm, steady shine forms a steady circle, broken only by visible emerald detail worked into the public face. Small handling marks cross the emerald court ring unevenly, especially where it would brush cloth or skin. The emerald court ring is meant to be noticed in wear, but nothing about it implies armour or magic."
medieval_jewellery_ring_ruby_court_ring,a ruby court ring,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Deep yellow gold with a warm, steady shine forms a steady circle, broken only by visible ruby detail worked into the public face. The hidden side of the ruby court ring is plainer, so attention stays on visible ruby detail worked into the public face and the visible finish. The ruby court ring is meant to be noticed in wear, but nothing about it implies armour or magic."
