unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
preindustrial_jewellery_torc_19,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,torc,a rosette coral torc,coral,Tiny,Good,69,17,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_wreath_20,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,wreath,a checker garnet wreath,garnet,Tiny,Standard,76,26,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_ring_21,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,ring,a braided agate ring,agate,Tiny,VeryGood,83,35,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_signet_ring_22,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,ring,a radiating carnelian ring,carnelian,Tiny,Good,90,44,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_pendant_23,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,pendant,a leaf-scroll lapis lazuli pendant,lapis lazuli,Tiny,Standard,20,53,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_bead_necklace_24,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,necklace,a sunburst turquoise necklace,turquoise,Tiny,Poor,27,62,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_chain_necklace_25,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,necklace,a water-wave jade necklace,jade,Tiny,Standard,34,71,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_bracelet_26,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,bracelet,a knotted quartz bracelet,quartz,Tiny,Good,41,80,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_armlet_27,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,armlet,a flower-head faience armlet,faience,Tiny,Good,48,89,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_anklet_28,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,anklet,a star pewter anklet,pewter,Tiny,Standard,55,98,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_earrings_29,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,earrings,a bird copper earrings,copper,Tiny,VeryGood,62,107,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_brooch_30,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,brooch,a vine bronze brooch,bronze,Tiny,Good,69,116,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_pin_31,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,pin,a geometric silver pin,silver,Tiny,Standard,76,125,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_hairpin_32,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,hairpin,a cloud gold hairpin,gold,Tiny,Poor,83,134,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_circlet_33,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,circlet,a shell brass circlet,brass,Tiny,Standard,90,143,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_diadem_34,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,diadem,a reed glass diadem,glass,Tiny,Good,20,152,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_waist_chain_35,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,waist chain,a rosette bone waist chain,bone,Tiny,Good,27,8,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_belt_ornament_36,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,belt ornament,a checker shell belt ornament,shell,Tiny,Standard,34,17,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_badge_37,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,badge,a braided ivory badge,ivory,Tiny,VeryGood,41,26,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_temple_ring_38,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,temple ring,a radiating pearl temple ring,pearl,Tiny,Good,48,35,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_torc_39,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,torc,a leaf-scroll amber torc,amber,Tiny,Standard,55,44,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_wreath_40,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,wreath,a sunburst coral wreath,coral,Tiny,Poor,62,53,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_ring_41,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,ring,a water-wave garnet ring,garnet,Tiny,Standard,69,62,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_signet_ring_42,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,ring,a knotted agate ring,agate,Tiny,Excellent,76,71,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_pendant_43,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,pendant,a flower-head carnelian pendant,carnelian,Tiny,Good,83,80,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_bead_necklace_44,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,necklace,a star lapis lazuli necklace,lapis lazuli,Tiny,Standard,90,89,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_chain_necklace_45,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,necklace,a bird turquoise necklace,turquoise,Tiny,VeryGood,20,98,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
preindustrial_jewellery_bracelet_46,Pre-industrial,Antiquity / Medieval / Renaissance / Early Modern,Jewellery & devotional,personal adornment,cross-cultural,bracelet,a vine jade bracelet,jade,Tiny,Good,27,107,Era / Pre-Industrial Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Pre-industrial personal adornment catalogue; culture admission cross-cultural; availability Antiquity / Medieval / Renaissance / Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
