unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
renaissance_door_common_courtyard_gate_22,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a checker cedar courtyard gate,cedar,VeryLarge,Good,27600,276,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_warehouse_gate_23,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a radiating teak warehouse gate,teak,VeryLarge,Standard,29400,287,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_garden_gate_24,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a sunburst wrought iron garden gate,wrought iron,VeryLarge,Poor,31200,45,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_grille_25,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,grille,a knotted brass metal grille,brass,Large,Standard,33000,56,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_barrier_26,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,barrier,a star wrought iron barred barrier,wrought iron,Large,Good,34800,67,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_hatch_27,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,hatch,a vine pine service hatch,pine,Large,Good,36600,78,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_wicket_28,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,wicket,a cloud teak wicket gate,teak,Large,Standard,38400,89,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_panel_door_29,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a reed teak door leaf,teak,Large,VeryGood,40200,100,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_braced_door_30,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a checker wood braced door,wood,Large,Good,42000,111,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lockable_door_31,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a radiating oak lockable door,oak,Large,Standard,43800,122,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_secure_door_32,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a sunburst pine secure door,pine,Large,Poor,45600,133,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_shutter_33,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,shutter,a knotted cedar shuttered opening,cedar,Large,Standard,47400,144,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_screen_34,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,screen,a star bamboo screen door,bamboo,Large,Good,49200,155,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lattice_gate_35,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a vine bronze lattice gate,bronze,VeryLarge,Good,51000,166,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_courtyard_gate_36,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a cloud oak courtyard gate,oak,VeryLarge,Standard,52800,177,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_warehouse_gate_37,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a reed cedar warehouse gate,cedar,VeryLarge,VeryGood,54600,188,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_garden_gate_38,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a checker teak garden gate,teak,VeryLarge,Good,56400,199,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_grille_39,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,grille,a radiating bronze metal grille,bronze,Large,Standard,24000,210,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_barrier_40,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,barrier,a sunburst brass barred barrier,brass,Large,Poor,25800,221,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_hatch_41,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,hatch,a knotted oak service hatch,oak,Large,Standard,27600,232,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_wicket_42,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,wicket,a star cedar wicket gate,cedar,Large,Good,29400,243,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_panel_door_43,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a vine cedar door leaf,cedar,Large,Good,31200,254,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_braced_door_44,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a cloud teak braced door,teak,Large,Standard,33000,265,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lockable_door_45,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a reed wood lockable door,wood,Large,VeryGood,34800,276,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_secure_door_46,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,door,a checker oak secure door,oak,Large,Good,36600,287,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_shutter_47,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,shutter,a radiating pine shuttered opening,pine,Large,Standard,38400,45,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_screen_48,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,screen,a sunburst cedar screen door,cedar,Large,Poor,40200,56,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_lattice_gate_49,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a knotted wrought iron lattice gate,wrought iron,VeryLarge,Standard,42000,67,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_courtyard_gate_50,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a star bronze courtyard gate,bronze,VeryLarge,Good,43800,78,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_warehouse_gate_51,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a vine oak warehouse gate,oak,VeryLarge,Good,45600,89,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_garden_gate_52,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,gate,a cloud cedar garden gate,cedar,VeryLarge,Standard,47400,100,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_grille_53,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,grille,a reed wrought iron metal grille,wrought iron,Large,VeryGood,49200,111,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
renaissance_door_common_barrier_54,Renaissance,Renaissance / Early Modern,"Doors, locks & gates",door or gate,Renaissance and Early Modern common,barrier,a checker bronze barred barrier,bronze,Large,Good,51000,122,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Renaissance and Early Modern common; availability Renaissance / Early Modern. Door behaviour is limited to the attached supported component profile."
