StableReference	Layer	Domain	SourceFile	SourceLine	EraAdmissions	Material	Components	ProfileBindings	PriceEvidence	Craftable	Lifecycle	Validation	ResolvedNeutralComponents	CraftReferences	OutfitReferences	LifecycleTarget	CatalogueSourceSha256
industrialised_agriculture_forestry_fishing_0013_reinforced_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	14	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0013_reinforced_rake			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0014_reinforced_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	15	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0014_reinforced_fork			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0015_reinforced_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	16	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0015_reinforced_spade		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0016_reinforced_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	17	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0016_reinforced_shears			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0017_reinforced_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	18	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0017_reinforced_net			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0018_reinforced_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	19	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0018_reinforced_trap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0019_reinforced_basket	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	20	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0019_reinforced_basket			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0020_reinforced_yoke	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	21	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0020_reinforced_yoke		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0021_compact_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	22	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0021_compact_scrap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0022_compact_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	23	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0022_compact_hoe			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0023_compact_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	24	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0023_compact_rake			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0024_compact_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	25	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0024_compact_fork			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0025_compact_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	26	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0025_compact_spade		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0026_compact_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	27	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0026_compact_shears			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0027_compact_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	28	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0027_compact_net			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0028_compact_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	29	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0028_compact_trap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0029_compact_basket	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	30	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0029_compact_basket			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0030_compact_yoke	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	31	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0030_compact_yoke		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0031_heavy_duty_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	32	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0031_heavy_duty_scrap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0032_heavy_duty_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	33	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0032_heavy_duty_hoe			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0033_heavy_duty_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	34	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0033_heavy_duty_rake			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0034_heavy_duty_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	35	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0034_heavy_duty_fork			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0035_heavy_duty_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	36	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0035_heavy_duty_spade		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0036_heavy_duty_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	37	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0036_heavy_duty_shears			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0037_heavy_duty_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	38	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0037_heavy_duty_net			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0038_heavy_duty_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	39	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0038_heavy_duty_trap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0039_heavy_duty_basket	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	40	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0039_heavy_duty_basket			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0040_heavy_duty_yoke	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	41	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0040_heavy_duty_yoke		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0041_folding_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	42	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0041_folding_scrap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0042_folding_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	43	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0042_folding_hoe			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0043_folding_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	44	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0043_folding_rake			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0044_folding_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	45	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0044_folding_fork			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0045_folding_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	46	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0045_folding_spade		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0046_folding_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	47	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0046_folding_shears			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0047_folding_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	48	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0047_folding_net			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0048_folding_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	49	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0048_folding_trap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0049_folding_basket	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	50	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0049_folding_basket			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0050_folding_yoke	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	51	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true	salvage	parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0050_folding_yoke		industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0051_portable_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	52	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0051_portable_scrap			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0052_portable_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	53	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0052_portable_hoe			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0053_portable_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	54	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0053_portable_rake			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0054_portable_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	55	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	true		parsed;production-unreviewed	Holdable	craft_industrialised_agriculture_forestry_fishing_0054_portable_fork			9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0055_portable_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	56	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	false	salvage	parsed;production-unreviewed	Holdable			industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0056_portable_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	57	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0057_portable_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	58	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0058_portable_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	59	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0059_portable_basket	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	60	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0060_portable_yoke	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	61	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	false	salvage	parsed;production-unreviewed	Holdable			industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0061_workshop_scrap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	62	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0062_workshop_hoe	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	63	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0063_workshop_rake	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	64	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0064_workshop_fork	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	65	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0065_workshop_spade	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	66	industrial;modern;nuclear;information	cotton	Holdable		industrial_tools	false	salvage	parsed;production-unreviewed	Holdable			industrialised_agriculture_forestry_fishing_0001_plain_scrap	9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0066_workshop_shears	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	67	industrial;modern;nuclear;information	leather	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0067_workshop_net	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	68	industrial;modern;nuclear;information	mild steel	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
industrialised_agriculture_forestry_fishing_0068_workshop_trap	shared-industrialised	Agriculture, forestry and fishing	Items/agriculture-forestry-fishing.items.tsv	69	industrial;modern;nuclear;information	oak	Holdable		industrial_tools	false		parsed;production-unreviewed	Holdable				9c7a30b8cfe6045f1ab3f4caadeb7b5be2a811fa45539bf907c44d870302bdc4
