StableReference	LongDescription	FullDescription
renaissance_personal_western_counting_house_cashiers_purse		The divided cashier's waist purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_personal_western_counting_house_seal_case		The fitted merchant-seal belt case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_personal_western_counting_house_account_satchel		The flap-front account satchel is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_personal_western_counting_house_sample_wallet		The folding cloth-sample wallet is built chiefly from linen, with a deliberate silhouette and carefully fitted edges. The linen is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the western counting house setting.
renaissance_domestic_western_counting_house_venetian_beaker		The clear ribbed glass beaker is built chiefly from soda-lime glass, with a deliberate silhouette and carefully fitted edges. The soda-lime glass is gathered more thickly at the rim and base, giving the form a deliberate hand-made weight. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the western counting house setting.
renaissance_domestic_western_counting_house_pewter_plate		The broad pewter dining plate is built chiefly from pewter, with a deliberate silhouette and carefully fitted edges. The pewter is worked into shallow planes and firm edges that catch the light without appearing machine-finished. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_domestic_western_counting_house_painted_bowl		The painted faience table bowl is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the western counting house setting.
renaissance_domestic_western_counting_house_brass_ewer		The slender hammered brass ewer is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the western counting house setting.
renaissance_domestic_western_counting_house_counting_room_tray		The narrow walnut refreshment tray is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the western counting house setting.
renaissance_domestic_western_counting_house_merchant_salt_box		The compartmented merchant's salt box is built chiefly from boxwood, with a deliberate silhouette and carefully fitted edges. The boxwood grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the western counting house setting.
renaissance_trade_civic_guild_civic_till_chest		The civic dues till chest is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild civic setting.
renaissance_trade_civic_guild_seal_register_coffer		The wax-sealable seal-register coffer is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the civic guild seal setting.
renaissance_trade_civic_guild_standard_weight_box		The fitted standard-weight box is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild standard setting.
renaissance_trade_civic_guild_charter_packet_chest		The shallow charter-packet chest is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the civic guild charter setting.
renaissance_trade_civic_guild_customs_sample_case		The divided customs sample case is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the civic guild customs setting.
renaissance_furniture_civic_guild_charter_cupboard	A deep charter cupboard is positioned here, its oak surfaces contributing a practical presence to the room.	The deep charter cupboard is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild charter setting.
renaissance_furniture_civic_guild_counting_table	A six-place guild counting table is positioned here, its oak surfaces contributing a practical presence to the room.	The six-place guild counting table is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the civic guild counting setting.
renaissance_furniture_civic_guild_municipal_bookcase	A tall municipal record bookcase is positioned here, its oak surfaces contributing a practical presence to the room.	The tall municipal record bookcase is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild municipal setting.
renaissance_furniture_civic_guild_standard_measure_shelves	A fitted standard-measure shelf is positioned here, its oak surfaces contributing a practical presence to the room.	The fitted standard-measure shelf is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the civic guild standard setting.
renaissance_furniture_civic_guild_seal_office_sideboard	A panelled seal-office sideboard is positioned here, its walnut surfaces contributing a practical presence to the room.	The panelled seal-office sideboard is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The broad face is bordered by a simple frame, leaving its marks and divisions clear from across a furnished room. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild seal setting.
renaissance_personal_civic_guild_clerks_document_pouch		The clerk's beltable document pouch is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild clerks setting.
renaissance_personal_civic_guild_seal_officers_case		The brass-mounted seal officer's case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the civic guild seal setting.
renaissance_personal_civic_guild_tally_satchel		The stout civic tally satchel is built chiefly from canvas, with a deliberate silhouette and carefully fitted edges. The canvas surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the civic guild tally setting.
renaissance_personal_civic_guild_fee_purse		The reinforced fee-collector's purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the civic guild fee setting.
renaissance_domestic_civic_guild_tankard		The broad pewter guild tankard is built chiefly from pewter, with a deliberate silhouette and carefully fitted edges. The pewter is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the civic guild tankard setting.
renaissance_domestic_civic_guild_service_pitcher		The hammered brass service pitcher is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the civic guild service setting.
renaissance_domestic_civic_guild_communal_bowl		The deep stoneware communal bowl is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the civic guild communal setting.
renaissance_domestic_civic_guild_serving_board		The long oak guildhall serving board is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The broad face is bordered by a simple frame, leaving its marks and divisions clear from across a furnished room. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the civic guild serving setting.
renaissance_domestic_civic_guild_pewter_charger		The wide civic pewter charger is built chiefly from pewter, with a deliberate silhouette and carefully fitted edges. The pewter is worked into shallow planes and firm edges that catch the light without appearing machine-finished. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the civic guild pewter setting.
renaissance_domestic_civic_guild_ceramic_salt_cellar		The lidded faience salt cellar is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the civic guild ceramic setting.
renaissance_trade_warehouse_dock_tally_chest		The wax-sealable dock tally chest is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the warehouse dock tally setting.
renaissance_trade_warehouse_dock_bonded_cargo_coffer		The heavily secured bonded cargo coffer is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the warehouse dock bonded setting.
renaissance_trade_warehouse_dock_bottle_sample_chest		The padded bottle-sample chest is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock bottle setting.
renaissance_trade_warehouse_dock_cask_gauge_box		The divided cask-gauge box is built chiefly from ash, with a deliberate silhouette and carefully fitted edges. The ash grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the warehouse dock cask setting.
renaissance_trade_warehouse_dock_marked_export_rundlet		The cooper-marked export rundlet is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the warehouse dock marked setting.
renaissance_furniture_warehouse_dock_warehouse_bin_rack	A many-bayed warehouse bin rack is positioned here, its pine surfaces contributing a practical presence to the room.	The many-bayed warehouse bin rack is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the warehouse dock warehouse setting.
renaissance_furniture_warehouse_dock_bottle_rack	A slotted warehouse bottle rack is positioned here, its oak surfaces contributing a practical presence to the room.	The slotted warehouse bottle rack is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the warehouse dock bottle setting.
renaissance_furniture_warehouse_dock_cask_cradle_rack	A heavy cask-cradle rack is positioned here, its oak surfaces contributing a practical presence to the room.	The heavy cask-cradle rack is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the warehouse dock cask setting.
renaissance_furniture_warehouse_dock_dockside_counter	A tar-darkened dockside counter is positioned here, its oak surfaces contributing a practical presence to the room.	The tar-darkened dockside counter is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock dockside setting.
renaissance_furniture_warehouse_dock_cask_rinsing_vat	A fixed cask-rinsing vat is positioned here, its oak surfaces contributing a practical presence to the room.	The fixed cask-rinsing vat is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock cask setting.
renaissance_personal_warehouse_dock_stevedore_belt_pouch		The stout stevedore's belt pouch is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock stevedore setting.
renaissance_personal_warehouse_dock_warehouse_key_pouch		The reinforced warehouse key pouch is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock warehouse setting.
renaissance_personal_warehouse_dock_tallyman_satchel		The waxed tallyman's shoulder satchel is built chiefly from canvas, with a deliberate silhouette and carefully fitted edges. The canvas surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock tallyman setting.
renaissance_personal_warehouse_dock_porter_back_basket		The deep wicker porter's back basket is built chiefly from wicker, with a deliberate silhouette and carefully fitted edges. The wicker surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the warehouse dock porter setting.
renaissance_domestic_warehouse_dock_dockside_mug		The thick stoneware dockside mug is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the warehouse dock dockside setting.
renaissance_domestic_warehouse_dock_communal_water_pitcher		The large earthenware dock pitcher is built chiefly from earthenware, with a deliberate silhouette and carefully fitted edges. Its fired earthenware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base keep the vessel stable during repeated service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the warehouse dock communal setting.
renaissance_domestic_warehouse_dock_mess_trencher		The rough oak warehouse trencher is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the warehouse dock mess setting.
renaissance_domestic_warehouse_dock_salt_box		The small lidded dockside salt box is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the warehouse dock salt setting.
renaissance_domestic_warehouse_dock_ration_tray		The broad pine ration tray is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the warehouse dock ration setting.
renaissance_domestic_warehouse_dock_vinegar_flask		The squat stoneware vinegar flask is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the warehouse dock vinegar setting.
renaissance_trade_shipboard_purser_pursers_till_chest		The sea-braced purser's till chest is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the shipboard purser pursers setting.
renaissance_trade_shipboard_purser_captains_chart_chest		The shallow captain's chart chest is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the shipboard purser captains setting.
renaissance_trade_shipboard_purser_bottle_tally_case		The fitted ship's bottle-tally case is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the shipboard purser bottle setting.
renaissance_trade_shipboard_purser_medicine_store_chest		The partitioned shipboard medicine chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the shipboard purser medicine setting.
renaissance_trade_shipboard_purser_provision_rundlet		The tarred shipboard provision rundlet is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The broad face is bordered by a simple frame, leaving its marks and divisions clear from across a furnished room. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the shipboard purser provision setting.
renaissance_furniture_shipboard_purser_locker_wall	A bank of shipboard purser lockers is positioned here, its oak surfaces contributing a practical presence to the room.	The bank of shipboard purser lockers is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the shipboard purser locker setting.
renaissance_furniture_shipboard_purser_chart_cupboard	A narrow bulkhead chart cupboard is positioned here, its oak surfaces contributing a practical presence to the room.	The narrow bulkhead chart cupboard is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the shipboard purser chart setting.
renaissance_furniture_shipboard_purser_bottle_cradle_shelves	A braced shipboard bottle shelf is positioned here, its oak surfaces contributing a practical presence to the room.	The braced shipboard bottle shelf is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the shipboard purser bottle setting.
renaissance_furniture_shipboard_purser_mess_table	A bolted ship's mess table is positioned here, its oak surfaces contributing a practical presence to the room.	The bolted ship's mess table is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the shipboard purser mess setting.
renaissance_furniture_shipboard_purser_water_butt	A fixed shipboard water butt is positioned here, its oak surfaces contributing a practical presence to the room.	The fixed shipboard water butt is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The broad face is bordered by a simple frame, leaving its marks and divisions clear from across a furnished room. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the shipboard purser water setting.
renaissance_personal_shipboard_purser_pursers_coin_purse		The close-fastened purser's coin purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the shipboard purser pursers setting.
renaissance_personal_shipboard_purser_boatswains_key_pouch		The broad boatswain's key pouch is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the shipboard purser boatswains setting.
renaissance_personal_shipboard_purser_chart_case		The shoulder-slung leather chart case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the shipboard purser chart setting.
