manifest_reference	admissions	context	service_name	ordered_entries	course_order	portion_rationale	coverage	review_status
industrial_food_serving_urban_cafe	industrial;modern;nuclear;information	hospitality	urban cafe service	item:industrialised_food_baking_004:100g;liquid:industrialised_food_stimulant_004:250ml	1;1	Small purchased refreshment; venue markup remains outside edible price.	urban;hospitality;middle income	proposed
industrial_food_serving_railway_worker	industrial	transport	railway worker packed meal	item:industrial_food_ration_001:300g;item:industrialised_food_preserve_condiment_002:50g;liquid:industrialised_food_non_alcoholic_008:500ml	1;1;1	Portable shift food using an Industrial-only processed component.	transport;working class;portable	proposed
modern_food_serving_airline_tray	modern;nuclear;information	aviation	early airline tray meal	item:modern_food_composite_001:280g;item:modern_food_plant_001:100g;item:modern_food_dessert_001:70g;liquid:modern_food_non_alcoholic_001:180ml	1;1;2;1	Separate compact courses; tray and vessels belong logistics.	transport;institutional;portion controlled	proposed
modern_food_serving_office_lunch	modern;nuclear;information	workplace	office canteen lunch	item:modern_food_composite_002:380g;item:industrialised_food_fruit_nut_003:120g;liquid:modern_food_stimulant_001:250ml	1;2;2	Canteen main with separate fruit and drink.	workplace;middle income;urban	proposed
modern_food_serving_drive_in	modern;nuclear;information	hospitality	roadside quick-service meal	item:modern_food_composite_003:320g;item:modern_food_snack_001:140g;liquid:modern_food_non_alcoholic_002:350ml	1;1;1	Food remains independent of disposable packaging.	road travel;hospitality;convenience	proposed
modern_food_serving_canteen_vegetarian	modern;nuclear;information	institution	vegetarian canteen meal	item:modern_food_plant_002:350g;item:industrialised_food_staples_003:220g;liquid:industrialised_food_non_alcoholic_009:300ml	1;1;1	Substantial plant meal; allergen and ingredient review controls the label.	institutional;vegetarian;urban	proposed
modern_food_serving_migrant_household	modern;nuclear;information	household	migrant household supper	item:modern_food_noodle_dumpling_001:400g;item:industrialised_food_preserve_condiment_003:40g;liquid:industrialised_food_non_alcoholic_010:300ml	1;1;1	Demonstrates migration without tying a foodway to a technology profile.	migration;household;global foodways	proposed
nuclear_food_serving_emergency_shelter	nuclear;information	emergency	emergency shelter meal	item:nuclear_food_ration_001:320g;item:industrialised_food_fruit_nut_004:100g;liquid:nuclear_food_non_alcoholic_001:500ml	1;1;1	Durable but nutritionally plausible emergency components.	emergency;institutional;portable	proposed
nuclear_food_serving_factory_night	nuclear;information	workplace	night-shift factory meal	item:nuclear_food_composite_001:420g;item:nuclear_food_snack_001:80g;liquid:nuclear_food_stimulant_001:300ml	1;2;1	Main, later snack and stimulant drink for overnight work.	workplace;shift work;industrial	proposed
nuclear_food_serving_frozen_dinner	nuclear;information	household	convenience dinner service	item:nuclear_food_composite_002:420g;item:industrialised_food_plant_004:100g;item:nuclear_food_dessert_001:90g	1;1;2	Separate side and dessert despite shared convenience context.	household;convenience;cold chain	proposed
information_food_serving_office_delivery	information	workplace	office delivery meal	item:information_food_composite_001:380g;item:information_food_snack_001:80g;liquid:information_food_non_alcoholic_001:330ml	1;2;1	Exact meal contents; delivery package and service are external.	workplace;service economy;urban	proposed
information_food_serving_care_texture	information	care institution	texture-modified care meal	item:information_food_infant_dietetic_001:320g;item:information_food_fruit_nut_001:100g;liquid:information_food_non_alcoholic_002:250ml	1;2;1	Texture and nutrition require reviewed profiles; no automatic clinical claim.	care;dietetic;institutional	proposed
information_food_serving_field_response	information	emergency	field-response meal	item:information_food_ration_001:300g;item:industrialised_food_snack_001:80g;liquid:information_food_non_alcoholic_003:500ml	1;1;1	Portable emergency components with separate hydration.	emergency;field work;portable	proposed
information_food_serving_plant_cafe	information	hospitality	plant-focused cafe meal	item:information_food_composite_002:350g;item:information_food_dessert_001:90g;liquid:information_food_stimulant_001:250ml	1;2;2	Plant-focused offering whose exact dietary status depends on ingredient metadata.	hospitality;plant foods;urban	proposed
industrialised_food_serving_livestock_feed	industrial;modern;nuclear;information	animal feeding	working-horse feed issue	item:industrialised_food_animal_feed_001:2500g;liquid:industrialised_food_non_alcoholic_011:3000ml	1;1	Bulk feed and water-like liquid are separate; species suitability is builder metadata.	stable;working animal;feed	proposed
modern_food_serving_pet_feed	modern;nuclear;information	animal feeding	household pet feeding	item:modern_food_animal_feed_001:300g;liquid:industrialised_food_non_alcoholic_012:500ml	1;1	Separate feed and hydration; exact species purpose is metadata.	household;pet;feed	proposed
