unique_reference,sdesc,fdesc
preindustrial_jewellery_brooch_50,a reed copper brooch,The copper brooch is worked into a reed pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_pin_51,a rosette bronze pin,The bronze pin is worked into a rosette pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_hairpin_52,a checker silver hairpin,The silver hairpin is worked into a checker pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_circlet_53,a braided gold circlet,The gold circlet is worked into a braided pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_diadem_54,a radiating brass diadem,The brass diadem is worked into a radiating pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_waist_chain_55,a leaf-scroll glass waist chain,The glass waist chain is worked into a leaf-scroll pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_belt_ornament_56,a sunburst bone belt ornament,The bone belt ornament is worked into a sunburst pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_badge_57,a water-wave shell badge,The shell badge is worked into a water-wave pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_temple_ring_58,a knotted ivory temple ring,The ivory temple ring is worked into a knotted pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_torc_59,a flower-head pearl torc,The pearl torc is worked into a flower-head pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_jewellery_wreath_60,a star amber wreath,The amber wreath is worked into a star pattern with smooth inner surfaces and visible tool marks at the joins. Its fastening is plainly made for ordinary wear and does not conceal a mechanism.
preindustrial_door_panel_door_01,a braided wood door leaf,"The wood door leaf is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_braced_door_02,a leaf-scroll oak braced door,"The oak braced door is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lockable_door_03,a water-wave pine lockable door,"The pine lockable door is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_secure_door_04,a flower-head cedar secure door,"The cedar secure door is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_shutter_05,a bird teak shuttered opening,"The teak shuttered opening is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_screen_06,a geometric wood screen door,"The wood screen door is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lattice_gate_07,a shell oak lattice gate,"The oak lattice gate is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_courtyard_gate_08,a rosette cedar courtyard gate,"The cedar courtyard gate is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_warehouse_gate_09,a braided teak warehouse gate,"The teak warehouse gate is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_garden_gate_10,a leaf-scroll wrought iron garden gate,"The wrought iron garden gate is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_grille_11,a water-wave wrought iron metal grille,"The wrought iron metal grille is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_barrier_12,a flower-head bronze barred barrier,"The bronze barred barrier is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_hatch_13,a bird pine service hatch,"The pine service hatch is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_wicket_14,a geometric teak wicket gate,"The teak wicket gate is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_panel_door_15,a shell teak door leaf,"The teak door leaf is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_braced_door_16,a rosette wood braced door,"The wood braced door is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lockable_door_17,a braided oak lockable door,"The oak lockable door is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_secure_door_18,a leaf-scroll pine secure door,"The pine secure door is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_shutter_19,a water-wave cedar shuttered opening,"The cedar shuttered opening is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_screen_20,a flower-head teak screen door,"The teak screen door is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lattice_gate_21,a bird bronze lattice gate,"The bronze lattice gate is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_courtyard_gate_22,a geometric oak courtyard gate,"The oak courtyard gate is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_warehouse_gate_23,a shell cedar warehouse gate,"The cedar warehouse gate is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_garden_gate_24,a rosette teak garden gate,"The teak garden gate is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_grille_25,a braided brass metal grille,"The brass metal grille is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_barrier_26,a leaf-scroll wrought iron barred barrier,"The wrought iron barred barrier is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_hatch_27,a water-wave oak service hatch,"The oak service hatch is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_wicket_28,a flower-head cedar wicket gate,"The cedar wicket gate is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_panel_door_29,a bird cedar door leaf,"The cedar door leaf is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_braced_door_30,a geometric teak braced door,"The teak braced door is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lockable_door_31,a shell wood lockable door,"The wood lockable door is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_secure_door_32,a rosette oak secure door,"The oak secure door is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_shutter_33,a braided pine shuttered opening,"The pine shuttered opening is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_screen_34,a leaf-scroll wood screen door,"The wood screen door is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lattice_gate_35,a water-wave wrought iron lattice gate,"The wrought iron lattice gate is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_courtyard_gate_36,a flower-head bronze courtyard gate,"The bronze courtyard gate is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_warehouse_gate_37,a bird oak warehouse gate,"The oak warehouse gate is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_garden_gate_38,a geometric cedar garden gate,"The cedar garden gate is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_grille_39,a shell bronze metal grille,"The bronze metal grille is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_barrier_40,a rosette brass barred barrier,"The brass barred barrier is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_hatch_41,a braided wood service hatch,"The wood service hatch is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_wicket_42,a leaf-scroll oak wicket gate,"The oak wicket gate is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_panel_door_43,a water-wave pine door leaf,"The pine door leaf is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_braced_door_44,a flower-head cedar braced door,"The cedar braced door is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lockable_door_45,a bird teak lockable door,"The teak lockable door is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_secure_door_46,a geometric wood secure door,"The wood secure door is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_shutter_47,a shell oak shuttered opening,"The oak shuttered opening is framed with a firm outer rail and a shell worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_screen_48,a rosette teak screen door,"The teak screen door is framed with a firm outer rail and a rosette worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_lattice_gate_49,a braided teak lattice gate,"The teak lattice gate is framed with a firm outer rail and a braided worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_courtyard_gate_50,a leaf-scroll wrought iron courtyard gate,"The wrought iron courtyard gate is framed with a firm outer rail and a leaf-scroll worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_warehouse_gate_51,a water-wave bronze warehouse gate,"The bronze warehouse gate is framed with a firm outer rail and a water-wave worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_garden_gate_52,a flower-head oak garden gate,"The oak garden gate is framed with a firm outer rail and a flower-head worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_grille_53,a bird wrought iron metal grille,"The wrought iron metal grille is framed with a firm outer rail and a bird worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_barrier_54,a geometric bronze barred barrier,"The bronze barred barrier is framed with a firm outer rail and a geometric worked face. Its hinge edge, closing edge, and lower corners show the ordinary abrasion of fitting and use."
preindustrial_door_hasp_55,a water-wave pewter iron hasp,"The pewter iron hasp has a water-wave worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hook_latch_56,a knotted wrought iron hook latch,"The wrought iron hook latch has a knotted worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_strike_plate_57,a flower-head bronze strike plate,"The bronze strike plate has a flower-head worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hinge_pair_58,a star brass hinge pair,"The brass hinge pair has a star worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_keyring_59,a bird copper keyring,"The copper keyring has a bird worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_escutcheon_60,a vine pewter keyhole escutcheon,"The pewter keyhole escutcheon has a vine worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_warded_lock_61,a geometric wrought iron warded lock,"The wrought iron warded lock has a geometric worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_good_warded_lock_62,a cloud bronze fine warded lock,"The bronze fine warded lock has a cloud worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_master_warded_lock_63,a shell brass master warded lock,"The brass master warded lock has a shell worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_warded_key_64,a reed copper warded key,"The copper warded key has a reed worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_ring_key_65,a rosette pewter ring bow key,"The pewter ring bow key has a rosette worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_door_latch_66,a checker wrought iron door latch,"The wrought iron door latch has a checker worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_gate_dropbar_67,a braided bronze gate drop bar,"The bronze gate drop bar has a braided worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_door_bar_68,a radiating brass door bar,"The brass door bar has a radiating worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_portcullis_pawl_69,a leaf-scroll copper winch pawl,"The copper winch pawl has a leaf-scroll worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hasp_70,a sunburst pewter iron hasp,"The pewter iron hasp has a sunburst worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hook_latch_71,a water-wave wrought iron hook latch,"The wrought iron hook latch has a water-wave worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_strike_plate_72,a knotted bronze strike plate,"The bronze strike plate has a knotted worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hinge_pair_73,a flower-head brass hinge pair,"The brass hinge pair has a flower-head worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_keyring_74,a star copper keyring,"The copper keyring has a star worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_escutcheon_75,a bird pewter keyhole escutcheon,"The pewter keyhole escutcheon has a bird worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_warded_lock_76,a vine wrought iron warded lock,"The wrought iron warded lock has a vine worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_good_warded_lock_77,a geometric bronze fine warded lock,"The bronze fine warded lock has a geometric worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_master_warded_lock_78,a cloud brass master warded lock,"The brass master warded lock has a cloud worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_warded_key_79,a shell copper warded key,"The copper warded key has a shell worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_ring_key_80,a reed pewter ring bow key,"The pewter ring bow key has a reed worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_door_latch_81,a rosette wrought iron door latch,"The wrought iron door latch has a rosette worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_gate_dropbar_82,a checker bronze gate drop bar,"The bronze gate drop bar has a checker worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_door_bar_83,a braided brass door bar,"The brass door bar has a braided worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_portcullis_pawl_84,a radiating copper winch pawl,"The copper winch pawl has a radiating worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hasp_85,a leaf-scroll pewter iron hasp,"The pewter iron hasp has a leaf-scroll worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
preindustrial_door_hook_latch_86,a sunburst wrought iron hook latch,"The wrought iron hook latch has a sunburst worked face, rubbed bearing edges, and a plainly accessible working surface. It represents only the behaviour supplied by its fitted mechanical component."
