planning_reference	family	shared_imnf_bases	industrial_i_bases	modern_mnf_bases	nuclear_nf_bases	information_f_bases	identity_reservations	coverage	production_routes	reuse_rule	evidence_packages	design_brief	review_status
food_scope_intermediates	processed-intermediates	14	3	4	2	2	industrialised_food_intermediate_{001..014};industrial_food_intermediate_{001..003};modern_food_intermediate_{001..004};nuclear_food_intermediate_{001..002};information_food_intermediate_{001..002}	flours, meals, extracts, concentrates, cultures, powders and cooking stocks for household, institutional and mechanised chains	household;artisanal;institutional;mechanised	adopt valid pre-industrial intermediates; new records require an identified consuming craft or edible use	PROCESS;NUT;PRICE	Consumed food-production intermediates, excluding raw crops, chemical reagents and packaging materials.	proposed
food_scope_desserts	desserts	18	3	6	2	4	industrialised_food_dessert_{001..018};industrial_food_dessert_{001..003};modern_food_dessert_{001..006};nuclear_food_dessert_{001..002};information_food_dessert_{001..004}	confectionery, sweet baking, puddings and frozen-dessert identities without unsupported temperature claims	household;artisanal;institutional;mechanised	reuse historic sweets; add new textures, leavening, stabilisation, cold-chain identity and mass-production economics	SWEET;NUT;PRICE	Distinct later desserts; flavour alone does not justify another base unless it changes ingredients, taste and economics materially.	proposed
food_scope_snacks	snacks	16	2	5	2	3	industrialised_food_snack_{001..016};industrial_food_snack_{001..002};modern_food_snack_{001..005};nuclear_food_snack_{001..002};information_food_snack_{001..003}	street, workplace, school, leisure, convenience and transport snacks across class and climate	household;artisanal;institutional;mechanised	reuse portable earlier foods; new rows require changed process, portion, nutrition or preservation rather than a wrapper	GLOBAL;NUT;PRICE	Portable edible units and shared servings, always viable without retail packaging.	proposed
food_scope_rations	rations	12	3	4	2	3	industrialised_food_ration_{001..012};industrial_food_ration_{001..003};modern_food_ration_{001..004};nuclear_food_ration_{001..002};information_food_ration_{001..003}	travel, military, naval, emergency, relief, expedition and institutional ration components	household;artisanal;institutional;mechanised	reuse historic preserved foods as exact ration components; add processed components rather than monolithic imaginary meal packs	RATION;NUT;PRICE	Edible ration components; complete issues and menus are serving manifests or logistics graphs.	proposed
food_scope_infant_dietetic	infant-and-dietetic	8	1	3	2	3	industrialised_food_infant_dietetic_{001..008};industrial_food_infant_dietetic_001;modern_food_infant_dietetic_{001..003};nuclear_food_infant_dietetic_{001..002};information_food_infant_dietetic_{001..003}	infant, fortified, convalescent, texture-modified and ordinary dietetic foods for household and care institutions	household;institutional;mechanised	reuse ordinary suitable foods without claiming suitability; drug-bearing therapeutic products remain medical	NUT;CARE;PRICE	Documented ordinary nutrition products with explicit ingredients and no unsupported medical claim.	proposed
food_scope_animal_feed	processed-animal-feeds	8	2	2	1	2	industrialised_food_animal_feed_{001..008};industrial_food_animal_feed_{001..002};modern_food_animal_feed_{001..002};nuclear_food_animal_feed_001;information_food_animal_feed_{001..002}	livestock, poultry, working-animal and pet feeds across farm, stable, kennel, household and institution	household;artisanal;institutional;mechanised	reuse raw fodder from agriculture; add cooked, compounded or nutritionally standardised feeds with a declared feed purpose	FEED;NUT;PRICE	Processed feed only; species-purpose metadata informs builders without claiming a universal feeding-rule subsystem.	proposed
food_scope_non_alcoholic	non-alcoholic-drinks	12	2	4	2	3	industrialised_food_non_alcoholic_{001..012};industrial_food_non_alcoholic_{001..002};modern_food_non_alcoholic_{001..004};nuclear_food_non_alcoholic_{001..002};information_food_non_alcoholic_{001..003}	water-based, dairy, fruit, grain, carbonated and oral-nutrition drinks across domestic, public and institutional service	household;artisanal;institutional;mechanised	reuse unchanged stock liquids; add distinct processing, composition or freshness behavior, not a named container	BEVERAGE;NUT;PRICE	New liquid identities with exact hydration, nutrition and later freshness contracts.	proposed
food_scope_stimulants	stimulant-infusions	8	1	3	1	2	industrialised_food_stimulant_{001..008};industrial_food_stimulant_001;modern_food_stimulant_{001..003};nuclear_food_stimulant_001;information_food_stimulant_{001..002}	coffee, tea, cacao and other documented stimulant infusions across producing regions, trade, workplace and hospitality	household;artisanal;institutional;mechanised	reuse existing infusions when composition matches; new concentration or processing forms require health-profile linkage	STIM;TRADE;PRICE	Caffeine-bearing drinks and intermediates with explicit dose evidence and no culture inferred from technology profile.	proposed
food_scope_alcohol	alcoholic-drinks	12	2	4	1	2	industrialised_food_alcohol_{001..012};industrial_food_alcohol_{001..002};modern_food_alcohol_{001..004};nuclear_food_alcohol_001;information_food_alcohol_{001..002}	beer, wine, cider, spirits, mixed and reduced-alcohol forms across household, licensed service, ritual and institution	household;artisanal;institutional;mechanised	reuse historic beverages; add distinct fermentation, distillation, blending, strength or serving-base identities	ALCOHOL;TRADE;PRICE	Later beverage forms with exact alcohol content; cocktails with separable garnish remain liquid plus serving entries.	proposed
food_scope_beverage_intermediates	beverage-intermediates	8	1	2	1	1	industrialised_food_beverage_intermediate_{001..008};industrial_food_beverage_intermediate_001;modern_food_beverage_intermediate_{001..002};nuclear_food_beverage_intermediate_001;information_food_beverage_intermediate_001	roasted, dried, concentrated, cultured, carbonated and dispensing inputs for domestic and commercial drink production	household;artisanal;institutional;mechanised	adopt matching historic syrups, musts and brewing inputs; every new intermediate names a consuming route	BEVERAGE;PROCESS;PRICE	Consumed beverage-production inputs; containers, cylinders and dispensing equipment remain other domains.	proposed
