category,unique_reference,sdesc,noun,material,size,quality,weight_g,cost,components,tags,morph,notes,fdesc
Shared commoner and ephemeral adornment,medieval_jewellery_common_little_shell_child_necklace,a little shell child necklace,necklace,shell,VerySmall,Standard,28.0,5.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Children's Jewellery,,,"The little shell child necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is pale shell showing irregular growth lines, with small shells spaced on plain cord giving the eye a place to pause. The hidden side of the little shell child necklace is plainer, so attention stays on small shells spaced on plain cord and the visible finish. The piece would signal child or apprentice taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_common_rush_woven_finger_ring,a rush-woven finger ring,ring,rush,Tiny,Standard,3.0,1.0m,Holdable; Wear_Ring; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Ephemeral Jewellery,,,"A rush-woven finger ring is a compact band of rush stems bent and plaited into springy loops, made with a woven overlap tucked beneath the band rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Small handling marks cross the rush-woven finger ring unevenly, especially where it would brush cloth or skin. The piece would signal temporary festival taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_common_straw_festival_ring,a straw festival ring,ring,straw,Tiny,Standard,2.0,1.0m,Holdable; Wear_Ring; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Ephemeral Jewellery,,,"A straw festival ring is a compact band of straw twisted into a pale, dry braid, made with dry stems twisted into a rough circle rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Fine wear gathers around the ring's highest places, leaving dry stems twisted into a rough circle easier to pick out. The straw festival ring is meant to be noticed in wear, but nothing about it implies armour or magic."
Shared commoner and ephemeral adornment,medieval_jewellery_common_leather_token_bracelet,a leather token bracelet,bracelet,leather,VerySmall,Standard,18.0,5.0m,Holdable; Wear_Bracelet; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Commoner Jewellery,,,"The form is simple enough to survive frequent wearing, but not so plain that it disappears. A single punched hole near the knot breaks up the line of worked leather with creases at the folds. The hidden side of the leather token bracelet is plainer, so attention stays on a single punched hole near the knot and the visible finish. The piece would signal commoner taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_common_jet_bead_keepsake_string,a jet bead keepsake string,necklace,jet,VerySmall,Standard,44.0,22.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,,,"A jet bead keepsake string carries its value in the rhythm of its material: black jet polished until it gives back a quiet reflection. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Fine wear gathers around the necklace's highest places, leaving black beads broken by one pale spacer easier to pick out. The jet bead keepsake string feels selected for appearance first, with practical wearing kept secondary."
Shared commoner and ephemeral adornment,medieval_jewellery_common_small_amber_bead_charm,a small amber bead charm,pendant,amber,Tiny,Standard,10.0,18.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Commoner Jewellery,,,"A small amber bead charm carries its value in the rhythm of its material: honey-coloured amber with cloudy threads caught inside. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Close inspection of the small amber bead charm shows small tool marks rather than cast-perfect smoothness. The small amber bead charm reads as commoner adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_flower_neck_garland,a dried flower neck garland,garland,dried flower,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"The piece is light and pliant, built from dried flowers papery at the edges and brittle along the stems rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The dry pieces rustle faintly rather than bending back into shape. The dried flower neck garland leaves room for local marks or motifs without needing a different base object."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_flower_neck_garland,a wilted flower neck garland,garland,wilted flower,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_flower_neck_garland` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"Fresh or faded, wilted flower neck garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The wilted flower neck garland leaves room for local marks or motifs without needing a different base object."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_flower_neck_garland,a fresh flower neck garland,garland,fresh flower,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Functions / Worn Items / Jewellery / Garlands / Fresh Garlands; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_flower_neck_garland` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"Fresh or faded, fresh flower neck garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with a line of tiny punch marks interrupting the line of petals and leaves. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh flower neck garland reads as festival adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_jasmine_garland,a dried jasmine garland,garland,dried flower,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"Fresh or faded, dried jasmine garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with a softened seam where the maker closed it interrupting the line of petals and leaves. The dry pieces rustle faintly rather than bending back into shape. The dried jasmine garland reads as temporary festival adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_jasmine_garland,a wilted jasmine garland,garland,wilted flower,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_jasmine_garland` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"The piece is light and pliant, built from wilted flowers with limp stems and darkening petal tips rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The drooping parts still show where the brighter fresh shape used to be. The wilted jasmine garland is meant to be noticed in wear, but nothing about it implies armour or magic."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_jasmine_garland,a fresh jasmine garland,garland,jasmine,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Functions / Worn Items / Jewellery / Garlands / Fresh Garlands; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_jasmine_garland` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"The piece is light and pliant, built from jasmine flowers strung in small pale stars rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh jasmine garland feels selected for appearance first, with practical wearing kept secondary."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_marigold_garland,a dried marigold garland,garland,dried flower,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"The piece is light and pliant, built from dried flowers papery at the edges and brittle along the stems rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The dry pieces rustle faintly rather than bending back into shape. The piece would signal temporary festival taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_marigold_garland,a wilted marigold garland,garland,wilted flower,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_marigold_garland` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"The piece is light and pliant, built from wilted flowers with limp stems and darkening petal tips rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. The drooping parts still show where the brighter fresh shape used to be. The wilted marigold garland feels selected for appearance first, with practical wearing kept secondary."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_marigold_garland,a fresh marigold garland,garland,marigold,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Neck_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Neck Garlands; Functions / Worn Items / Jewellery / Garlands / Fresh Garlands; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_marigold_garland` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"Fresh or faded, fresh marigold garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with a line of tiny punch marks interrupting the line of petals and leaves. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh marigold garland leaves room for local marks or motifs without needing a different base object."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_rose_chaplet,a dried rose chaplet,chaplet,dried flower,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Chaplet; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chaplets; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"A dried rose chaplet has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried rose chaplet carries value through visible material and workmanship, not through hidden mechanism."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_rose_chaplet,a wilted rose chaplet,chaplet,wilted flower,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Chaplet; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chaplets; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_rose_chaplet` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"Fresh or faded, wilted rose chaplet keeps the uneven look of something made by hand from living material. The binding is visible in places, with a small flattened spot from long handling interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The piece would signal temporary festival taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_rose_chaplet,a fresh rose chaplet,chaplet,rose,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Chaplet; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chaplets; Functions / Worn Items / Jewellery / Garlands / Fresh Garlands; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_rose_chaplet` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"Fresh or faded, fresh rose chaplet keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh rose chaplet reads as festival adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_ivy_wreath,a dried ivy wreath,wreath,ivy,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Wreath; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Functions / Worn Items / Jewellery / Wreaths / Dried Wreaths; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"A dried ivy wreath has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The piece would signal temporary festival taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_ivy_wreath,a wilted ivy wreath,wreath,ivy,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Wreath; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Functions / Worn Items / Jewellery / Wreaths / Flower Wreaths; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_ivy_wreath` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"Fresh or faded, wilted ivy wreath keeps the uneven look of something made by hand from living material. The binding is visible in places, with a softened seam where the maker closed it interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The wilted ivy wreath reads as temporary festival adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_ivy_wreath,a fresh ivy wreath,wreath,ivy,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Wreath; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Functions / Worn Items / Jewellery / Wreaths / Fresh Wreaths; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_ivy_wreath` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"A fresh ivy wreath has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh ivy wreath carries value through visible material and workmanship, not through hidden mechanism."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_laurel_wreath,a dried laurel wreath,wreath,laurel,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Wreath; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Functions / Worn Items / Jewellery / Wreaths / Dried Wreaths; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"A dried laurel wreath has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried laurel wreath feels selected for appearance first, with practical wearing kept secondary."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_laurel_wreath,a wilted laurel wreath,wreath,laurel,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Wreath; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Functions / Worn Items / Jewellery / Wreaths / Flower Wreaths; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_laurel_wreath` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"Fresh or faded, wilted laurel wreath keeps the uneven look of something made by hand from living material. The binding is visible in places, with a smooth hand-worn polish interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The piece would signal temporary festival taste while remaining straightforward jewellery."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_laurel_wreath,a fresh laurel wreath,wreath,laurel,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Wreath; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Functions / Worn Items / Jewellery / Wreaths / Fresh Wreaths; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_laurel_wreath` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"The piece is light and pliant, built from laurel leaves laid in a clean repeating line rather than metal or stone. Its best-looking blossoms and leaves have been turned outward, while the knots and small crushed places hide nearer the wearer. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh laurel wreath feels selected for appearance first, with practical wearing kept secondary."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_violet_wrist_garland,a dried violet wrist garland,garland,dried flower,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Wrist_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Garlands; Functions / Worn Items / Jewellery / Garlands / Dried Garlands; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"A dried violet wrist garland has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. The dry pieces rustle faintly rather than bending back into shape. The dried violet wrist garland leaves room for local marks or motifs without needing a different base object."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_violet_wrist_garland,a wilted violet wrist garland,garland,wilted flower,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Wrist_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Garlands; Functions / Worn Items / Jewellery / Garlands / Flower Garlands; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_violet_wrist_garland` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"Fresh or faded, wilted violet wrist garland keeps the uneven look of something made by hand from living material. The binding is visible in places, with faint tool chatter along the inner face interrupting the line of petals and leaves. The drooping parts still show where the brighter fresh shape used to be. The wilted violet wrist garland carries value through visible material and workmanship, not through hidden mechanism."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_violet_wrist_garland,a fresh violet wrist garland,garland,violet,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Wrist_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Garlands; Functions / Worn Items / Jewellery / Garlands / Fresh Garlands; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_violet_wrist_garland` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"A fresh violet wrist garland is gathered from violets gathered into small dark-faced clusters, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh violet wrist garland reads as festival adornment rather than a tool, charm, or container."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_dried_blossom_anklet,a dried blossom anklet,anklet,dried flower,VerySmall,Substandard,24.0,1.0m,Holdable; Wear_Ankle_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Garlands; Functions / Worn Items / Jewellery / Garlands / Dried Garlands; Market / Jewellery / Ephemeral Jewellery,,Final dried morph target for a short-lived organic jewellery chain.,"Fresh or faded, dried blossom anklet keeps the uneven look of something made by hand from living material. The binding is visible in places, with a line of tiny punch marks interrupting the line of petals and leaves. The dry pieces rustle faintly rather than bending back into shape. The dried blossom anklet carries value through visible material and workmanship, not through hidden mechanism."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_wilted_blossom_anklet,a wilted blossom anklet,anklet,wilted flower,VerySmall,Poor,28.0,1.0m,Holdable; Wear_Ankle_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Garlands; Functions / Worn Items / Jewellery / Garlands / Flower Garlands; Market / Jewellery / Ephemeral Jewellery,morphs to `medieval_jewellery_garland_dried_blossom_anklet` after 1-3 in-game days,Intermediate wilted morph target; can dry further if retained.,"A wilted blossom anklet is gathered from wilted flowers with limp stems and darkening petal tips, the stems tucked back through the binding instead of hidden under a clasp. Small irregularities show where fingers have hurried the work, leaving some petals proud and others pressed down. The drooping parts still show where the brighter fresh shape used to be. The wilted blossom anklet leaves room for local marks or motifs without needing a different base object."
Shared commoner and ephemeral adornment,medieval_jewellery_garland_fresh_blossom_anklet,a fresh blossom anklet,anklet,blossom,VerySmall,Standard,30.0,3.0m,Holdable; Wear_Ankle_Garland; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Garlands; Functions / Worn Items / Jewellery / Garlands / Fresh Garlands; Market / Jewellery / Festival Jewellery,morphs to `medieval_jewellery_garland_wilted_blossom_anklet` after 6-24 in-game hours,Fresh short-lived organic jewellery; use the listed timed morph target.,"A fresh blossom anklet has the slightly fragile look of festival jewellery, all colour, stem, and soft pressure. The maker has used the natural bends of the material rather than forcing it into a perfect circle. A few petals are already bruised at the edges, but the piece still reads as freshly made. The fresh blossom anklet is meant to be noticed in wear, but nothing about it implies armour or magic."
