stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
preindustrial_food_marrow_broth_liquid	Shared	Broth	marrow-rich broth	pearly marrow-rich broth	Dissolved marrow lends this broth a pearly haze and generous golden beads.	It tastes buttery, beef-rich, and deeply gelatinous.	Warm marrow and roast bone fill the aroma.	yellow	0	.85	3	.50	Universal
preindustrial_food_cultured_cow_dairy_drink	Shared	DairyDrink	cultured cow dairy drink	thick white cultured dairy	A smooth white cultured drink clings lightly to the sides of its vessel.	It tastes creamy, cleanly sour, and refreshing.	The aroma is lactic, cool, and faintly grassy.	white	0	.85	3	2	RegionalOldWorld
preindustrial_food_cultured_sheep_dairy_drink	Shared	DairyDrink	cultured sheep dairy drink	rich ivory cultured dairy	Sheep dairy makes this cultured drink ivory, dense, and faintly glossy.	Rich milk sweetness meets an assertive tartness.	It smells creamy, pastoral, and pleasantly sour.	white	0	.85	4	2	RegionalOldWorld
preindustrial_food_cultured_goat_dairy_drink	Shared	DairyDrink	cultured goat dairy drink	tangy pale cultured dairy	This pale cultured dairy drink has a light body and lively sour aroma.	It tastes tangy, mineral, and distinctly goaty.	The scent is sharp dairy with a grassy note.	white	0	.85	3	2	RegionalOldWorld
preindustrial_food_thinned_yoghurt_drink	Shared	DairyDrink	thinned yoghurt drink	cool salted yoghurt drink	Water and salt loosen yoghurt into a smooth, cooling white drink.	It tastes tart, lightly salty, and very refreshing.	Cultured milk gives it a clean sour fragrance.	white	0	.90	2	3	RegionalOldWorld
preindustrial_food_herbed_yoghurt_drink	Shared	DairyDrink	herbed yoghurt drink	green-flecked yoghurt drink	Fine green herbs remain suspended through this pale cultured drink.	Fresh leaves brighten its creamy, salty tang.	It smells of yoghurt and newly chopped herbs.	white	0	.90	2	3	RegionalOldWorld
preindustrial_food_honeyed_cultured_dairy	Shared	DairyDrink	honeyed cultured dairy	sweet ivory cultured drink	Honey lends an ivory cultured dairy drink a faint amber sheen.	Floral sweetness softens the clean lactic sourness.	It smells creamy, honeyed, and gently fermented.	white	0	.85	3	2	Universal
preindustrial_food_spiced_cultured_dairy	Shared	DairyDrink	spiced cultured dairy	aromatic pale dairy drink	Warm spice flecks show against the pale body of cultured dairy.	Aromatic heat follows its cooling creamy tang.	The fragrance combines sour milk and ground spice.	white	0	.85	3	2	RegionalOldWorld
preindustrial_food_sweet_whey_drink	Shared	DairyDrink	sweet whey drink	translucent yellow whey drink	Fresh whey appears translucent yellow with a very light dairy body.	It tastes gently sweet, tart, and faintly milky.	The smell is clean whey and fresh curd.	yellow	0	.95	1	2	Universal
preindustrial_food_soured_whey_drink	Shared	DairyDrink	soured whey drink	sharp cloudy whey drink	Fermentation clouds this whey slightly and gives it a sharper aroma.	It tastes briskly sour with a mineral dairy finish.	It smells lactic, yeasty, and lightly cheesy.	yellow	.01	.90	1	2	RegionalOldWorld
preindustrial_food_buttermilk_table_drink	Shared	DairyDrink	buttermilk table drink	thin tangy buttermilk	Butter-making leaves this pale drink thin, cloudy, and lightly flecked.	It tastes refreshing, tart, and softly buttery.	The aroma is cultured cream and fresh churn.	white	0	.90	1.50	2	RegionalOldWorld
preindustrial_food_pressed_apple_must	Shared	FruitDrink	pressed apple must	cloudy gold apple must	Fresh pressing leaves this apple liquid cloudy gold with fine fruit sediment.	It tastes crisp, tart, and naturally sweet.	Raw apple and crushed peel scent the must.	yellow	0	.90	1	2	RegionalOldWorld
preindustrial_food_pressed_pear_must	Shared	FruitDrink	pressed pear must	pale fragrant pear must	This pale fruit must has a soft haze and delicate floral perfume.	It tastes mellow, juicy, and honey-sweet.	Ripe pear and fresh-cut flesh shape the aroma.	white	0	.90	1	2	RegionalOldWorld
preindustrial_food_pressed_grape_must	Shared	FruitDrink	pressed grape must	purple-red grape must	Skins tint this freshly pressed grape must a vivid translucent purple-red.	It tastes winey, sweet, and lightly tannic.	Crushed grapes give it a lush fruity fragrance.	magenta	0	.90	1	2	RegionalOldWorld
preindustrial_food_mixed_berry_pressing	Shared	FruitDrink	mixed berry pressing	dark crimson berry drink	Tiny seeds and pulp cloud this dark crimson pressed berry liquid.	It tastes sharply fruity with concentrated sweetness.	The smell is vivid berries and crushed leaves.	red	0	.90	1	2	Universal
preindustrial_food_plum_pressing	Shared	FruitDrink	pressed plum drink	ruby-purple plum drink	Soft plum pulp gives the pressed drink a rich ruby-purple haze.	It tastes sweet-sour, winey, and full-bodied.	Ripe plum skins lend a dark fruity aroma.	magenta	0	.90	1	2	RegionalOldWorld
preindustrial_food_fig_water_drink	Shared	FruitDrink	fig-steeped fruit drink	amber fig-steeped drink	Steeped figs tint the water amber and leave tiny seeds suspended.	It tastes earthy, honeyed, and softly fruity.	The aroma is dried fig and warm sweetness.	bold yellow	0	.90	1	2	RegionalOldWorld
preindustrial_food_date_water_drink	Shared	FruitDrink	date-steeped fruit drink	brown-gold date drink	Soft dates lend this strained drink a clear brown-gold colour.	Caramel sweetness follows a faint earthy note.	It smells of ripe dates and dark syrup.	bold yellow	0	.90	1	2	Islamicate
preindustrial_food_melon_water_drink	Shared	FruitDrink	melon water drink	pale green melon drink	Crushed melon flesh makes this drink pale green and softly cloudy.	It tastes cooling, watery, and delicately sweet.	Fresh melon gives a mild floral fragrance.	green	0	.95	.50	3	RegionalOldWorld
preindustrial_food_tart_citrus_pressing	Shared	FruitDrink	tart citrus pressing	bright yellow citrus drink	Fresh citrus juice shines bright yellow with fine pulp throughout.	It tastes sharply acidic, fragrant, and refreshing.	The scent is vivid peel and fresh-cut citrus.	bold yellow	0	.90	.50	2	MaritimeTrade
preindustrial_food_tamarind_water_drink	Shared	FruitDrink	tamarind water drink	russet tart fruit drink	Tamarind pulp clouds this water a warm russet-brown shade.	It tastes fruity, sour, and faintly caramel-like.	The aroma is tart fruit with an earthy sweetness.	bold yellow	0	.90	.50	2	SouthAsian
preindustrial_food_pineapple_pressing	Shared	FruitDrink	pressed pineapple drink	bright gold tropical drink	Fibrous pulp clouds this vivid gold pressed tropical fruit liquid.	It tastes piercingly tart, lush, and sweet.	The scent is powerful pineapple and fresh rind.	bold yellow	0	.90	1	2	IndigenousAmerican
preindustrial_food_guava_pressing	Shared	FruitDrink	pressed guava drink	cloudy pink guava drink	Guava pulp makes this pressed drink cloudy pink and seed-flecked.	It tastes floral, grainy, and sweet-tart.	Ripe guava gives an intense perfumed aroma.	pink	0	.90	1	2	IndigenousAmerican
preindustrial_food_barley_water_drink	Shared	GrainDrink	barley water drink	pale cloudy barley water	Boiled barley leaves this strained drink pale, cloudy, and softly starchy.	It tastes mildly malty with gentle cereal sweetness.	The smell is warm grain and faint toast.	white	0	.95	1	2	RegionalOldWorld
preindustrial_food_toasted_barley_drink	Shared	GrainDrink	toasted barley drink	clear brown toasted-grain drink	Roasted barley colours this strained drink a clear medium brown.	It tastes nutty, toasted, and slightly bitter.	The aroma suggests malt, biscuit, and roast grain.	bold yellow	0	.95	1	2	RegionalOldWorld
preindustrial_food_wheat_water_drink	Shared	GrainDrink	wheat water drink	cloudy cream wheat water	Cooked wheat starch gives this water a cloudy cream appearance.	It tastes softly wheaten, mild, and faintly sweet.	Warm bread grain shapes its gentle aroma.	white	0	.95	1	2	RegionalOldWorld
preindustrial_food_rye_water_drink	Shared	GrainDrink	rye water drink	grey-brown rye water	Dark rye lends this strained grain water a grey-brown hue.	It tastes earthy, sour-tinged, and robust.	The scent is dark bread and damp grain.	bold yellow	0	.95	1	2	European
preindustrial_food_rice_water_drink	Shared	GrainDrink	rice water drink	milky white rice water	Rice starch makes this drink milky white despite its light body.	It tastes clean, soothing, and gently starchy.	Steamed rice gives it a quiet sweet aroma.	white	0	.95	1	2	EastAsian
preindustrial_food_toasted_rice_drink	Shared	GrainDrink	toasted rice drink	pale gold roasted-rice drink	Toasted rice colours the strained liquor pale gold and clear.	It tastes nutty, light, and delicately scorched.	The fragrance recalls roasted rice and warm straw.	yellow	0	.95	1	2	EastAsian
preindustrial_food_millet_water_drink	Shared	GrainDrink	millet water drink	soft yellow millet water	Fine millet particles leave this grain drink soft yellow and hazy.	It tastes grassy, mild, and faintly nutty.	Warm millet gives a dry cereal fragrance.	yellow	0	.95	1	2	RegionalOldWorld
preindustrial_food_sorghum_water_drink	Shared	GrainDrink	sorghum water drink	russet cloudy sorghum water	Reddish sorghum meal gives the light drink a russet cloudiness.	It tastes earthy, mineral, and subtly sweet.	The smell is warm sorghum and dry grass.	bold yellow	0	.95	1	2	SubSaharanAfrican
preindustrial_food_maize_water_drink	Shared	GrainDrink	maize water drink	cloudy yellow maize water	Fine maize meal remains suspended in this cloudy yellow drink.	It tastes distinctly corny, mild, and sweet.	Fresh meal gives it a warm maize aroma.	yellow	0	.95	1	2	IndigenousAmerican
preindustrial_food_sprouted_grain_drink	Shared	GrainDrink	sprouted grain drink	pale sweet sprout drink	Crushed sprouts make this strained grain drink pale and faintly green.	It tastes fresh, grassy, and naturally malty.	The aroma is young grain and damp straw.	green	0	.95	1	2	Universal
preindustrial_food_honeyed_grain_water	Shared	GrainDrink	honeyed grain water	amber-sweet grain water	A little honey gives cloudy grain water an amber surface glint.	It tastes floral, cereal-soft, and gently sweet.	Honey and warm meal mingle in the scent.	yellow	0	.95	1.50	2	Universal
preindustrial_food_spiced_grain_water	Shared	GrainDrink	spiced grain water	aromatic tan grain drink	Ground spice flecks remain suspended through a light tan grain drink.	It tastes warm, cereal-like, and gently aromatic.	The fragrance combines grain with crushed spice.	bold yellow	0	.95	1	2	RegionalOldWorld
preindustrial_food_juniper_smoked_small_beer	Shared	FermentedDrink	juniper-smoked small beer	pale smoky juniper beer	Juniper twigs used over the malt fire leave this weak beer pale gold beneath a thin resin-scented haze.	Light cereal sweetness meets dry evergreen bitterness and a restrained smoky close.	Fresh yeast mingles with juniper wood and cool malt.	yellow	.03	.85	1	2	RegionalOldWorld
preindustrial_food_smoked_malt_strong_beer	Shared	FermentedDrink	smoked-malt strong beer	deep amber smoked beer	Dark malt dried over a smoky fire gives this strong beer a deep amber body and a persistent cream-coloured head.	Toast and caramel grain lead into woody smoke, firm bitterness, and alcoholic warmth.	The foam smells of browned malt, hearth smoke, and active yeast.	bold yellow	.08	.65	1.50	1	RegionalOldWorld
preindustrial_food_wheat_beer	Shared	FermentedDrink	wheat beer	pale hazy wheat beer	Suspended yeast makes this pale wheat beer opaquely golden.	It tastes soft, bready, and lightly tart.	Fresh dough and fermentation shape its smell.	yellow	.05	.75	1	1.50	RegionalOldWorld
preindustrial_food_rye_beer	Shared	FermentedDrink	rye beer	dark russet rye beer	Rye malt gives this beer a dark russet colour and close foam.	It tastes earthy, spicy, and faintly sour.	Dark bread and warm yeast rise together.	bold yellow	.05	.75	1	1.50	European
preindustrial_food_millet_beer	Shared	FermentedDrink	millet beer	cloudy yellow millet beer	Fine grain sediment clouds this softly fermenting yellow beer.	It tastes grassy, tart, and mildly yeasty.	The scent is sour grain and dry straw.	yellow	.03	.85	1	2	SubSaharanAfrican
preindustrial_food_sorghum_beer	Shared	FermentedDrink	sorghum beer	cloudy red-brown sorghum beer	Russet grain sediment gives this sorghum beer a thick red-brown cast.	It tastes earthy, sour, and faintly sweet.	Fermented sorghum lends a robust aroma.	bold yellow	.04	.75	1.50	1.50	SubSaharanAfrican
preindustrial_food_maize_beer	Shared	FermentedDrink	maize beer	cloudy golden maize beer	A loose layer of foam rests over a cloudy golden fermented maize drink.	It tastes corny, tart, and gently alcoholic.	Sour maize and yeast scent the liquid.	yellow	.03	.85	1.50	2	IndigenousAmerican
preindustrial_food_rice_beer	Shared	FermentedDrink	rice beer	pale milky rice beer	Fermented rice leaves this drink pale, milky, and softly effervescent.	It tastes mellow, sour-sweet, and yeasty.	Rice mash and light alcohol shape its aroma.	white	.04	.75	1	1.50	EastAsian
preindustrial_food_sprouted_grain_ale	Shared	FermentedDrink	sprouted grain ale	amber sprouted-grain ale	Mixed sprouted grains give this ale an uneven amber haze.	It tastes malty, grassy, and modestly bitter.	Sprouts, toast, and yeast fill the nose.	yellow	.05	.75	1.50	1.50	Universal
preindustrial_food_small_grain_beer	Shared	FermentedDrink	small grain beer	thin pale household beer	This weak pale beer shows little foam and a light grain haze.	It tastes thin, bready, and gently sour.	The smell is mild malt and active yeast.	yellow	.02	.90	.50	3	RegionalOldWorld
preindustrial_food_honey_ferment	Shared	FermentedDrink	honey ferment	clear gold honey ferment	Fermented honey produces a clear gold drink with sparse rising bubbles.	It tastes floral, dry, and warmly alcoholic.	Honey, wax, and yeast perfume the drink.	bold yellow	.08	.65	.50	1	Universal
preindustrial_food_light_honey_ferment	Shared	FermentedDrink	light honey ferment	pale sparkling honey drink	A weak honey ferment shines pale yellow beneath a lively bead of bubbles.	It tastes floral, fresh, and only mildly dry.	Wildflower honey and yeast scent the glass.	yellow	.03	.85	.50	2	Universal
preindustrial_food_fruit_honey_ferment	Shared	FermentedDrink	fruit-honey ferment	ruby honey-fruit ferment	Fruit skins tint this fermented honey drink a clear ruby shade.	It tastes tart, floral, and softly alcoholic.	Ripe fruit and honey mingle in its aroma.	red	.08	.65	.50	1	RegionalOldWorld
preindustrial_food_spiced_honey_ferment	Shared	FermentedDrink	spiced honey ferment	amber aromatic honey ferment	Warm spice flecks deepen the amber colour of fermented honey.	It tastes floral, warming, and richly dry.	Honey and crushed aromatics fill the nose.	bold yellow	.10	.50	.50	.50	RegionalOldWorld
preindustrial_food_apple_ferment	Shared	FermentedDrink	fermented apple drink	gold fermented apple drink	Fine bubbles travel through a clear gold drink pressed from fermented apples.	It tastes crisp, tart, and lightly tannic.	Apple peel and fermentation scent the drink.	yellow	.05	.75	.50	1.50	RegionalOldWorld
preindustrial_food_pear_ferment	Shared	FermentedDrink	fermented pear drink	pale fermented pear drink	This pale gold pear ferment has a delicate haze and lively bubbles.	It tastes floral, dry, and softly sweet.	Ripe pear gives a gentle perfumed smell.	yellow	.05	.75	.50	1.50	RegionalOldWorld
preindustrial_food_plum_ferment	Shared	FermentedDrink	fermented plum drink	purple-red plum ferment	Plum skins colour this fermented drink a dark translucent purple-red.	It tastes winey, sour, and fruit-rich.	The aroma is ripe plum and warm alcohol.	magenta	.08	.65	.50	1	RegionalOldWorld
preindustrial_food_berry_ferment	Shared	FermentedDrink	fermented berry drink	crimson berry ferment	A crimson fermented berry drink carries seed sediment at the bottom.	It tastes sharply fruity, dry, and tannic.	Wild berries and yeast give a vivid scent.	red	.06	.75	.50	1.50	Universal
preindustrial_food_herb_ferment	Shared	FermentedDrink	fermented herb drink	green-brown herb ferment	Herbs and fermentation colour this drink a cloudy green-brown.	It tastes sour, grassy, and gently bitter.	The smell is leafy, yeasty, and sharp.	green	.02	.90	.25	2	Universal
preindustrial_food_bread_ferment	Shared	FermentedDrink	fermented bread drink	cloudy brown bread ferment	Soaked dark bread leaves this weak ferment cloudy brown and lightly foaming.	It tastes sour, toasted, and faintly sweet.	Rye crust and yeast dominate the aroma.	bold yellow	.02	.90	1	3	RegionalOldWorld
preindustrial_food_raisin_restored_grape_wine	Shared	Wine	raisin-restored grape wine	golden raisin-restored wine	Soaked raisins have restored body and sweetness to a pale grape wine, leaving it golden and slightly viscous.	Dried-fruit richness rounds the wine's acidity before a warm honeyed finish.	Raisin, grape skin, and faint fermentation rise from the cup.	yellow	.12	.50	.25	.50	RegionalOldWorld
preindustrial_food_amber_grape_wine	Shared	Wine	amber grape wine	deep amber skin wine	Extended skin contact gives this wine a deep amber colour.	It tastes tannic, dry, and orchard-fruity.	Grape skin and dried flowers shape the nose.	bold yellow	.12	.50	0	.50	RegionalOldWorld
preindustrial_food_pine_resin_grape_wine	Shared	Wine	pine-resin grape wine	amber resin-scented wine	Pine resin used to seal the wine vessel lends the amber drink a faint haze and an unmistakable woodland perfume.	Dry grape acidity is followed by sharp resin, herbs, and a warming tannic close.	Its aroma combines fermented grapes, pine needles, and fresh-cut wood.	bold yellow	.15	.25	0	.25	RegionalOldWorld
preindustrial_food_rose_grape_wine	Shared	Wine	rose grape wine	clear pink grape wine	This clear pink wine carries the colour of briefly steeped grape skins.	It tastes fresh, lightly tannic, and berry-like.	Red fruit and flowers scent the wine.	pink	.12	.50	0	.50	RegionalOldWorld
preindustrial_food_sweet_grape_wine	Shared	Wine	sweet grape wine	lush gold dessert wine	A viscous golden wine moves slowly and shines beneath the light.	It tastes honeyed, fruity, and warmly alcoholic.	Ripe grapes and dried fruit perfume it.	bold yellow	.15	.25	.25	.25	RegionalOldWorld
preindustrial_food_dried_grape_wine	Shared	Wine	dried-grape wine	dark raisin-sweet wine	Wine from dried grapes appears dark amber with a dense glossy body.	It tastes raisin-rich, sweet, and concentrated.	Dried fruit and warm alcohol fill the nose.	bold yellow	.18	.25	.25	.25	RegionalOldWorld
preindustrial_food_spiced_grape_wine	Shared	Wine	spiced grape wine	aromatic ruby spiced wine	Whole spices lend a ruby wine a darker cast and warm perfume.	It tastes fruity, warming, and pepper-fragrant.	Grape, spice, and citrus peel scent it.	red	.15	.25	0	.25	RegionalOldWorld
preindustrial_food_honeyed_grape_wine	Shared	Wine	honeyed grape wine	amber honeyed wine	Honey softens this amber grape wine and gives it a rounded body.	It tastes floral, winey, and richly sweet.	Honey and ripe grape share the aroma.	bold yellow	.15	.25	.25	.25	RegionalOldWorld
preindustrial_food_apple_wine	Shared	Wine	apple wine	clear gold apple wine	Fully fermented apple juice produces a clear and warming gold wine.	It tastes dry, tart, and orchard-fragrant.	Mature apple and alcohol scent the glass.	yellow	.12	.50	0	.50	RegionalOldWorld
preindustrial_food_pear_wine	Shared	Wine	pear wine	pale floral pear wine	A pale wine has been fermented from fragrant ripe pears, retaining slight cloudiness from the fruit.	It tastes dry, floral, and softly rounded.	Pear skin and white flowers mark the nose.	white	.12	.50	0	.50	RegionalOldWorld
preindustrial_food_plum_wine	Shared	Wine	plum wine	ruby-purple plum wine	A clear ruby-purple wine carries the dark colour of ripe plums.	It tastes sweet-sour, warming, and winey.	Plum skin and stone fruit scent it.	magenta	.15	.25	.25	.25	RegionalOldWorld
preindustrial_food_pomegranate_wine	Shared	Wine	pomegranate wine	clear crimson pomegranate wine	A clear crimson wine shows a vivid jewel-like colour in the cup.	It tastes tart, tannic, and fruit-bright.	Pomegranate rind and red fruit perfume it.	red	.12	.50	0	.50	Islamicate
preindustrial_food_clear_grain_spirit	Shared	Spirit	clear grain spirit	colourless grain spirit	This colourless spirit catches the light without haze or sediment.	It tastes fiery, dry, and faintly cereal-like.	Hot alcohol carries a whisper of grain.	white	.40	.10	0	0	RegionalOldWorld
preindustrial_food_aged_grain_spirit	Shared	Spirit	aged grain spirit	amber aged grain spirit	Time in wood gives this strong grain spirit a clear amber hue.	It tastes warming, toasted, and faintly woody.	Alcohol, oak, and grain fill the nose.	bold yellow	.40	.10	0	0	RegionalOldWorld
preindustrial_food_fruit_spirit	Shared	Spirit	clear fruit spirit	colourless fruit spirit	A clear strong spirit retains a delicate trace of distilled fruit.	It tastes fiery, dry, and subtly fruity.	Sharp alcohol carries ripe fruit fragrance.	white	.40	.10	0	0	RegionalOldWorld
preindustrial_food_grape_spirit	Shared	Spirit	grape spirit	pale grape-derived spirit	This distilled grape spirit is pale gold and brilliantly clear.	It tastes hot, winey, and softly sweet.	Grape skins and alcohol define the aroma.	yellow	.40	.10	0	0	RegionalOldWorld
preindustrial_food_honey_spirit	Shared	Spirit	honey spirit	clear honey-derived spirit	A colourless spirit preserves a faint floral character from fermented honey.	It tastes fiery, dry, and delicately floral.	Hot alcohol carries beeswax and flowers.	white	.40	.10	0	0	RegionalOldWorld
preindustrial_food_spiced_spirit	Shared	Spirit	spiced distilled spirit	amber aromatic spirit	Steeped spices tint a powerful distilled spirit clear amber.	It tastes hot, aromatic, and lingeringly warm.	Alcohol and crushed spice dominate the smell.	bold yellow	.50	0	0	0	RegionalOldWorld
preindustrial_food_roasted_barley_infusion	Shared	Tea	roasted barley infusion	clear brown grain infusion	Roasted barley steeps this clear caffeine-free infusion medium brown.	It tastes nutty, toasted, and gently bitter.	Roast grain and warm biscuit scent it.	bold yellow	0	1	0	4	RegionalOldWorld
preindustrial_food_roasted_rice_infusion	Shared	Tea	roasted rice infusion	pale gold rice infusion	Toasted rice gives this clear infusion a pale golden colour.	It tastes light, nutty, and delicately scorched.	The aroma recalls rice and warm straw.	yellow	0	1	0	4	EastAsian
preindustrial_food_fresh_leaf_infusion	Shared	Tea	fresh leaf infusion	clear green leaf infusion	Fresh edible leaves colour this clear hot infusion a light green.	It tastes grassy, mild, and faintly bitter.	Crushed green leaves shape its fragrance.	green	0	1	0	4	Universal
preindustrial_food_dried_leaf_infusion	Shared	Tea	dried leaf infusion	amber dried-leaf infusion	Dried leaves release an amber colour and fine sediment while steeping.	It tastes herbal, tannic, and softly dry.	Dried foliage and warm hay scent it.	bold yellow	0	1	0	4	Universal
preindustrial_food_flower_infusion	Shared	Tea	flower infusion	pale floral infusion	Steeped petals lend this clear water a delicate blush of colour.	It tastes floral, light, and gently sweet.	Fresh blossoms provide a perfumed aroma.	pink	0	1	0	4	Universal
preindustrial_food_root_spice_infusion	Shared	Tea	root and spice infusion	amber root-spice infusion	Sliced roots and spice make this hot infusion deep amber.	It tastes earthy, warming, and aromatic.	Root, bark, and spice rise in steam.	bold yellow	0	1	0	4	RegionalOldWorld
preindustrial_food_fruit_peel_infusion	Shared	Tea	fruit peel infusion	bright peel-scented infusion	Fruit peel colours this clear infusion yellow with tiny oil droplets.	It tastes tart, fragrant, and faintly bitter.	Fresh rind gives a vivid citrus-like scent.	yellow	0	1	0	4	MaritimeTrade
preindustrial_food_honeyed_herb_infusion	Shared	Tea	honeyed herb infusion	golden sweet herb infusion	Honey gives a green-flecked herbal infusion a golden glow.	It tastes floral, leafy, and soothingly sweet.	Honey and fresh herbs scent the steam.	yellow	0	.95	.25	3	Universal
preindustrial_food_light_roast_coffee	Shared	Coffee	light-roast coffee infusion	clear russet coffee	A light roasting leaves this coffee infusion clear russet rather than black.	It tastes bright, bitter, and faintly fruity.	Roasted beans give a sharp fragrant aroma.	bold yellow	0	.95	0	3	CoffeeTrade
preindustrial_food_coffee_husk_infusion	Shared	Coffee	coffee-husk infusion	clear russet coffee-fruit tea	Dried coffee-fruit husks tint this clear infusion russet and leave a few curled fragments at the bottom.	It tastes gently tart and raisin-like, with only a distant roasted bitterness.	Dried cherry skin, hay, and warm fruit scent the rising steam.	bold yellow	0	.95	0	3	CoffeeTrade
preindustrial_food_spiced_coffee_infusion	Shared	Coffee	spiced coffee infusion	aromatic black coffee	Warm spice flecks show against the dark body of brewed coffee.	It tastes bitter, aromatic, and gently hot.	Coffee roast mingles with crushed spice.	black	0	.95	0	3	CoffeeTrade
