stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
earlymodern_food_liquid_shipboard_spruce_beer	EarlyModern	FermentedDrink	shipboard spruce-molasses beer	brown spruce molasses beer	Spruce tips and molasses ferment into a brown shipboard beer, with lively bubbles and a loose tan head.	Resinous evergreen meets dark cane sweetness over a lightly sour fermented base.	Its aroma suggests crushed spruce, molasses, yeast, and a tarred cask.	Bold Orange	0.03	0.85	1	1	EraSpecific
earlymodern_food_liquid_company_tamarind_punch	EarlyModern	FruitDrink	company-settlement tamarind punch	cloudy brown tamarind punch	Tamarind pulp clouds this Indian Ocean company-settlement punch brown, while citrus peel and spice drift near the surface.	Assertive sour fruit is rounded by sugar, ginger, and a faint peppery bite.	It smells of tamarind pod, lime rind, ginger root, and palm sugar.	Bold Orange	0	0.85	1	1.50	EraSpecific
earlymodern_food_liquid_roux_brown_gravy	EarlyModern	Sauce	roux-bound brown gravy	glossy roux-bound gravy	Flour browned in fat binds this refined meat gravy into a smooth chestnut sauce that coats the back of a spoon.	Roasted stock and toasted flour give deep savour, balanced by onion and pepper.	Its dense fragrance recalls pan drippings, brown flour, onion, and herbs.	Bold Orange	0	0.50	2	0	EraSpecific
earlymodern_food_liquid_butter_caper_sauce	EarlyModern	Sauce	butter-mounted caper sauce	pale butter caper sauce	Carefully worked butter makes this court sauce pale and glossy, with chopped capers dispersed through the warm emulsion.	Rich butter is cut by caper brine, lemonlike acidity, and a salty finish.	It smells of melted butter, crushed capers, sour juice, and parsley.	Bold Yellow	0	0.25	2	0	EraSpecific
earlymodern_food_liquid_cream_mushroom_sauce	EarlyModern	Sauce	cream-bound mushroom sauce	taupe cream mushroom sauce	Finely minced mushrooms fleck a smooth taupe cream sauce whose slow pour gathers thickly around roasted food.	Dairy richness carries woodland mushroom, nutmeg, and a restrained pepper warmth.	Its aroma blends cooked cream, browned caps, nutmeg, and shallot.	White	0	0.50	2	0	EraSpecific
earlymodern_food_liquid_anchovy_lemon_essence	EarlyModern	Sauce	anchovy-lemon table essence	clear brown anchovy essence	Clarified anchovy liquor and citrus make this early bottled table essence clear brown, with only fine sediment below.	Intense marine salt is sharpened by citrus peel, spice, and fermented depth.	It has a penetrating smell of cured fish, lemon rind, vinegar, and clove.	Bold Black	0	0.50	0.50	0	EraSpecific
earlymodern_food_liquid_tomato_herb_sauce	EarlyModern	Sauce	early tomato-herb cooking sauce	red tomato herb sauce	Cooked New World tomatoes form a red seedy sauce in early European adoption contexts, brightened by chopped garden herbs.	Fruit acidity and gentle sweetness support garlic, pepper, and a fresh herbal finish.	It smells of simmered tomato, crushed garlic, basil-like leaves, and warm oil.	Bold Red	0	0.50	1.50	0	EraSpecific
earlymodern_food_liquid_tokugawa_ponzu	EarlyModern	Sauce	Tokugawa citrus-soy ponzu	dark citrus soy seasoning	Soy liquor and pressed citrus form this Tokugawa seasoning, a clear dark brown liquid with a sharp aromatic surface.	Salty fermentation meets brisk citrus and a clean, savoury marine undertone.	The sauce smells of soy, fresh peel, dried fish, and rice wine.	Bold Black	0.01	0.50	0.50	0	EraSpecific
earlymodern_food_liquid_cherry_ratafia	EarlyModern	Spirit	cherry-kernel ratafia cordial	ruby cherry ratafia	Cherries and cracked kernels steep in brandy to produce this ruby cordial, with a slight syrupy weight in the glass.	Sweet red fruit leads into almondlike kernel bitterness and warming spirit.	It smells of ripe cherries, stone kernels, brandy, and refined sugar.	Bold Red	0.25	0.25	1	0	EraSpecific
earlymodern_food_liquid_orangeflower_brandy_cordial	EarlyModern	Spirit	orange-flower brandy cordial	clear orange-flower cordial	Distilled orange blossom water perfumes this clear brandy cordial, which carries no colour beyond a faint golden cast.	Alcoholic heat opens into citrus flower, honey, and a delicate bitter-orange close.	Its fragrance is bright with brandy, white blossom, orange peel, and syrup.	Bold Yellow	0.25	0.25	1	0	EraSpecific
earlymodern_food_liquid_juniper_coriander_cordial	EarlyModern	Spirit	juniper-coriander cordial spirit	clear juniper coriander spirit	Juniper berries and coriander seed flavour this clear distilled cordial, leaving a few droplets of aromatic oil at the rim.	Piney juniper dominates before citruslike coriander and dry spirit take over.	It smells sharply of crushed evergreen berries, coriander, and clean alcohol.	Green	0.40	0.10	0.25	0	EraSpecific
earlymodern_food_liquid_plantation_molasses_syrup	EarlyModern	Syrup	Atlantic plantation molasses syrup	black plantation molasses	This nearly black refinery syrup comes from an Atlantic plantation sugar system dependent on enslaved and coerced labour.	Burnt cane sweetness, mineral bitterness, and smoke make its flavour heavy and persistent.	It smells of boiled cane juice, dark caramel, iron kettles, and char.	Bold Black	0	0.10	4	0	EraSpecific
earlymodern_food_liquid_coffeehouse_orgeat	EarlyModern	Syrup	coffeehouse orgeat concentrate	milky coffeehouse orgeat	Almonds and orange-flower water make this coffeehouse syrup milky white, with sugar giving it a slow ribboning pour.	Dense almond sweetness is lifted by citrus blossom and a faint kernel bitterness.	Its perfume combines almond paste, orange flowers, sugar, and cool water.	White	0	0.25	3	0	EraSpecific
