Tag name	Tag parent name	Tag hierarchy
Plough	Agricultural Tools	Functions / Tools / Agricultural Tools / Plough
Ploughshare	Agricultural Tools	Functions / Tools / Agricultural Tools / Ploughshare
Pruning Hook	Agricultural Tools	Functions / Tools / Agricultural Tools / Pruning Hook
Rake	Agricultural Tools	Functions / Tools / Agricultural Tools / Rake
Reaping Hook	Agricultural Tools	Functions / Tools / Agricultural Tools / Reaping Hook
Seed Dibber	Agricultural Tools	Functions / Tools / Agricultural Tools / Seed Dibber
Sickle	Agricultural Tools	Functions / Tools / Agricultural Tools / Sickle
Winnowing Basket	Agricultural Tools	Functions / Tools / Agricultural Tools / Winnowing Basket
Winnowing Fork	Agricultural Tools	Functions / Tools / Agricultural Tools / Winnowing Fork
Winnowing Tray	Agricultural Tools	Functions / Tools / Agricultural Tools / Winnowing Tray
Yoke	Agricultural Tools	Functions / Tools / Agricultural Tools / Yoke
Armouring Tools	Tools	Functions / Tools / Armouring Tools
Armourer's Anvil	Armouring Tools	Functions / Tools / Armouring Tools / Armourer's Anvil
Armourer's Forming Bags	Armouring Tools	Functions / Tools / Armouring Tools / Armourer's Forming Bags
Armourer's Pliers	Armouring Tools	Functions / Tools / Armouring Tools / Armourer's Pliers
Armourer's Stake	Armouring Tools	Functions / Tools / Armouring Tools / Armourer's Stake
Ball Stake	Armouring Tools	Functions / Tools / Armouring Tools / Ball Stake
Dishing Form	Armouring Tools	Functions / Tools / Armouring Tools / Dishing Form
Planishing Hammer	Armouring Tools	Functions / Tools / Armouring Tools / Planishing Hammer
Plate Snips	Armouring Tools	Functions / Tools / Armouring Tools / Plate Snips
Raising Hammer	Armouring Tools	Functions / Tools / Armouring Tools / Raising Hammer
T-Stake	Armouring Tools	Functions / Tools / Armouring Tools / T-Stake
Bookbinding Tools	Tools	Functions / Tools / Bookbinding Tools
Backing Hammer	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Backing Hammer
Book Plough	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Book Plough
Book Press	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Book Press
Bookbinder's Needle	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Bookbinder's Needle
Bookbinder's Punch	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Bookbinder's Punch
Bookbinder's Sewing Frame	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Bookbinder's Sewing Frame
Endband Needle	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Endband Needle
Leather Paring Knife	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Leather Paring Knife
Lying Press	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Lying Press
Sewing Support Cords	Bookbinding Tools	Functions / Tools / Bookbinding Tools / Sewing Support Cords
Brewing Tools	Tools	Functions / Tools / Brewing Tools
Brew Copper	Brewing Tools	Functions / Tools / Brewing Tools / Brew Copper
Fermenting Gyle Tun	Brewing Tools	Functions / Tools / Brewing Tools / Fermenting Gyle Tun
Hop Back	Brewing Tools	Functions / Tools / Brewing Tools / Hop Back
Lauter Tun	Brewing Tools	Functions / Tools / Brewing Tools / Lauter Tun
Mash Tun	Brewing Tools	Functions / Tools / Brewing Tools / Mash Tun
Mashing Paddle	Brewing Tools	Functions / Tools / Brewing Tools / Mashing Paddle
Sparging Ladle	Brewing Tools	Functions / Tools / Brewing Tools / Sparging Ladle
Wort Grant	Brewing Tools	Functions / Tools / Brewing Tools / Wort Grant
Butcher Tools	Tools	Functions / Tools / Butcher Tools
Butcher Cleaning Tools	Butcher Tools	Functions / Tools / Butcher Tools / Butcher Cleaning Tools
Carcass Scraper	Butcher Cleaning Tools	Functions / Tools / Butcher Tools / Butcher Cleaning Tools / Carcass Scraper
Field Dressing Tools	Butcher Tools	Functions / Tools / Butcher Tools / Field Dressing Tools
Boning Knife	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Boning Knife
Carcass Hook	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Carcass Hook
Fleshing Knife	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Fleshing Knife
Gut Hook Knife	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Gut Hook Knife
Meat Saw	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Meat Saw
Pelting Blade	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Pelting Blade
Skinning Knife	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Skinning Knife
Splitting Saw	Field Dressing Tools	Functions / Tools / Butcher Tools / Field Dressing Tools / Splitting Saw
Meat Cutting Tools	Butcher Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools
Bone Saw	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Bone Saw
Breaking Knife	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Breaking Knife
Butcher's Knife	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Butcher's Knife
Cimeter Knife	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Cimeter Knife
Cleaver	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Cleaver
Portioning Blade	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Portioning Blade
Trimming Knife	Meat Cutting Tools	Functions / Tools / Butcher Tools / Meat Cutting Tools / Trimming Knife
Meat Processing Tools	Butcher Tools	Functions / Tools / Butcher Tools / Meat Processing Tools
Larding Needle	Meat Processing Tools	Functions / Tools / Butcher Tools / Meat Processing Tools / Larding Needle
Meat Grinder	Meat Processing Tools	Functions / Tools / Butcher Tools / Meat Processing Tools / Meat Grinder
Slicing Machine	Meat Processing Tools	Functions / Tools / Butcher Tools / Meat Processing Tools / Slicing Machine
Stuffing Funnel	Meat Processing Tools	Functions / Tools / Butcher Tools / Meat Processing Tools / Stuffing Funnel
Tenderizing Mallet	Meat Processing Tools	Functions / Tools / Butcher Tools / Meat Processing Tools / Tenderizing Mallet
Meat Storage Tools	Butcher Tools	Functions / Tools / Butcher Tools / Meat Storage Tools
Butcher Hook	Meat Storage Tools	Functions / Tools / Butcher Tools / Meat Storage Tools / Butcher Hook
Cooler Box	Meat Storage Tools	Functions / Tools / Butcher Tools / Meat Storage Tools / Cooler Box
Hanging Rack	Meat Storage Tools	Functions / Tools / Butcher Tools / Meat Storage Tools / Hanging Rack
Meat Bin	Meat Storage Tools	Functions / Tools / Butcher Tools / Meat Storage Tools / Meat Bin
Special Butcher Tools	Butcher Tools	Functions / Tools / Butcher Tools / Special Butcher Tools
Bone Dust Scraper	Special Butcher Tools	Functions / Tools / Butcher Tools / Special Butcher Tools / Bone Dust Scraper
Meat Injector	Special Butcher Tools	Functions / Tools / Butcher Tools / Special Butcher Tools / Meat Injector
Saw Guide	Special Butcher Tools	Functions / Tools / Butcher Tools / Special Butcher Tools / Saw Guide
Sinew Remover	Special Butcher Tools	Functions / Tools / Butcher Tools / Special Butcher Tools / Sinew Remover
Calligraphy Tools	Tools	Functions / Tools / Calligraphy Tools
Calligrapher's Brush	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Calligrapher's Brush
Manuscript Pricker	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Manuscript Pricker
Pen Rack	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Pen Rack
Pen Rest	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Pen Rest
Pen Wiper	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Pen Wiper
Qalam Cutter	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Qalam Cutter
Quill Curing Sand	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Quill Curing Sand
Ruling Board	Calligraphy Tools	Functions / Tools / Calligraphy Tools / Ruling Board
Cleaning	Tools	Functions / Tools / Cleaning
Broom	Cleaning	Functions / Tools / Cleaning / Broom
Dustpan and Broom	Broom	Functions / Tools / Cleaning / Broom / Dustpan and Broom
Indoor Broom	Broom	Functions / Tools / Cleaning / Broom / Indoor Broom
Millet Broom	Broom	Functions / Tools / Cleaning / Broom / Millet Broom
Outdoor Broom	Broom	Functions / Tools / Cleaning / Broom / Outdoor Broom
Shop Broom	Broom	Functions / Tools / Cleaning / Broom / Shop Broom
Straw Broom	Broom	Functions / Tools / Cleaning / Broom / Straw Broom
Brush	Cleaning	Functions / Tools / Cleaning / Brush
Bottlebrush	Brush	Functions / Tools / Cleaning / Brush / Bottlebrush
Drain Brush	Brush	Functions / Tools / Cleaning / Brush / Drain Brush
Grout Brush	Brush	Functions / Tools / Cleaning / Brush / Grout Brush
Scrub Brush	Brush	Functions / Tools / Cleaning / Brush / Scrub Brush
Stem Brush	Brush	Functions / Tools / Cleaning / Brush / Stem Brush
Toilet Brush	Brush	Functions / Tools / Cleaning / Brush / Toilet Brush
Wirebrush	Brush	Functions / Tools / Cleaning / Brush / Wirebrush
Chamois	Cleaning	Functions / Tools / Cleaning / Chamois
Cleaning Rag	Cleaning	Functions / Tools / Cleaning / Cleaning Rag
Dishcloth	Cleaning	Functions / Tools / Cleaning / Dishcloth
Duster	Cleaning	Functions / Tools / Cleaning / Duster
Mop	Cleaning	Functions / Tools / Cleaning / Mop
Scourer	Cleaning	Functions / Tools / Cleaning / Scourer
Soap	Cleaning	Functions / Tools / Cleaning / Soap
Sponge	Cleaning	Functions / Tools / Cleaning / Sponge
Squeegee	Cleaning	Functions / Tools / Cleaning / Squeegee
Steel Wool	Cleaning	Functions / Tools / Cleaning / Steel Wool
Construction Tools	Tools	Functions / Tools / Construction Tools
Cement Mixer	Construction Tools	Functions / Tools / Construction Tools / Cement Mixer
Construction Chisel	Construction Tools	Functions / Tools / Construction Tools / Construction Chisel
Construction Hammer	Construction Tools	Functions / Tools / Construction Tools / Construction Hammer
Construction Ladder	Construction Tools	Functions / Tools / Construction Tools / Construction Ladder
Construction Mallet	Construction Tools	Functions / Tools / Construction Tools / Construction Mallet
Construction Pliers	Construction Tools	Functions / Tools / Construction Tools / Construction Pliers
Construction Rivet Gun	Construction Tools	Functions / Tools / Construction Tools / Construction Rivet Gun
Construction Riveter	Construction Tools	Functions / Tools / Construction Tools / Construction Riveter
Construction Saw	Construction Tools	Functions / Tools / Construction Tools / Construction Saw
Construction Screwdriver	Construction Tools	Functions / Tools / Construction Tools / Construction Screwdriver
Construction Spanner	Construction Tools	Functions / Tools / Construction Tools / Construction Spanner
Construction Stapler	Construction Tools	Functions / Tools / Construction Tools / Construction Stapler
Construction Trowel	Construction Tools	Functions / Tools / Construction Tools / Construction Trowel
Construction Wrench	Construction Tools	Functions / Tools / Construction Tools / Construction Wrench
Masonry Tools	Construction Tools	Functions / Tools / Construction Tools / Masonry Tools
Dressing Axe	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Dressing Axe
Earth Rammer	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Earth Rammer
Line Pin	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Line Pin
Mason's Hammer	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Mason's Hammer
Mason's Line	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Mason's Line
Mason's Square	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Mason's Square
Mason's Trowel	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Mason's Trowel
Mortar Hoe	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Mortar Hoe
Plastering Trowel	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Plastering Trowel
Point Chisel	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Point Chisel
Tooth Chisel	Masonry Tools	Functions / Tools / Construction Tools / Masonry Tools / Tooth Chisel
Wedge	Construction Tools	Functions / Tools / Construction Tools / Wedge
Wheelbarrow	Construction Tools	Functions / Tools / Construction Tools / Wheelbarrow
Cooking	Tools	Functions / Tools / Cooking
Cooking Utensils	Cooking	Functions / Tools / Cooking / Cooking Utensils
Bamboo Mat	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Bamboo Mat
Basting Brush	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Basting Brush
Cake Lifter	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cake Lifter
Can Opener	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Can Opener
Carving Fork	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Carving Fork
Cherry Pitter	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cherry Pitter
Chopping Board	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Chopping Board
Colander	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Colander
Cookie Cutter	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cookie Cutter
Cooking Knife	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife
Bread Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Bread Knife
Butter Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Butter Knife
Carving Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Carving Knife
Chef's Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Chef's Knife
Filleting Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Filleting Knife
Oyster Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Oyster Knife
Santoku Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Santoku Knife
Serrated Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Serrated Knife
Steak Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Steak Knife
Utility Knife	Cooking Knife	Functions / Tools / Cooking / Cooking Utensils / Cooking Knife / Utility Knife
Cooking Spoon	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cooking Spoon
Cooking Tongs	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cooking Tongs
Cooling Rack	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Cooling Rack
Dough Scraper	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Dough Scraper
Drying Rack	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Drying Rack
Egg Beater	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Egg Beater
Fish Scaler	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Fish Scaler
Fishbone Tweezers	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Fishbone Tweezers
Garlic Press	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Garlic Press
Grater	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Grater
Box Grater	Grater	Functions / Tools / Cooking / Cooking Utensils / Grater / Box Grater
Hand Grater	Grater	Functions / Tools / Cooking / Cooking Utensils / Grater / Hand Grater
Zester	Grater	Functions / Tools / Cooking / Cooking Utensils / Grater / Zester
Honey Dipper	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Honey Dipper
Icing Comb	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Icing Comb
Juice Press	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Juice Press
Julienne Peeler	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Julienne Peeler
Kitchen Funnel	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Kitchen Funnel
Ladle	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Ladle
Marinade Injector	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Marinade Injector
Measuring Cup	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Measuring Cup
Meat Tenderiser	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Meat Tenderiser
Mixer	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Mixer
Mixing Bowl	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Mixing Bowl
Mortar and Pestle	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Mortar and Pestle
Nut Cracker	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Nut Cracker
Paring Knife	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Paring Knife
Peeler	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Peeler
Swivel Peeler	Peeler	Functions / Tools / Cooking / Cooking Utensils / Peeler / Swivel Peeler
Piping Bag	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Piping Bag
Pizza Cutter	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Pizza Cutter
Pizza Peel	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Pizza Peel
Pizza Stone	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Pizza Stone
Potato Masher	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Potato Masher
Potato Ricer	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Potato Ricer
Rolling Pin	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Rolling Pin
Scoop	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Scoop
Bulk Scoop	Scoop	Functions / Tools / Cooking / Cooking Utensils / Scoop / Bulk Scoop
Icecream Scoop	Scoop	Functions / Tools / Cooking / Cooking Utensils / Scoop / Icecream Scoop
Seafood Pick	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Seafood Pick
Serving Spoon	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Serving Spoon
Sifter	Cooking Utensils	Functions / Tools / Cooking / Cooking Utensils / Sifter
