OutfitReference	Name	Description	EraAdmissions	ItemStableReferences
industrialised_outfit_024	Industrialised retail loadout 24	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0100_workshop_scarf;industrialised_clothing_footwear_uniforms_0101_workshop_skirt;industrialised_clothing_footwear_uniforms_0102_workshop_socks;industrialised_clothing_footwear_uniforms_0103_workshop_vest
industrialised_outfit_025	Industrialised institutional loadout 25	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0104_workshop_coat;industrialised_clothing_footwear_uniforms_0105_workshop_smock;industrialised_clothing_footwear_uniforms_0107_institutional_apron;industrialised_clothing_footwear_uniforms_0108_institutional_shirt
industrialised_outfit_026	Industrialised transport loadout 26	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0109_institutional_trousers;industrialised_clothing_footwear_uniforms_0110_institutional_boots;industrialised_clothing_footwear_uniforms_0111_institutional_dress;industrialised_clothing_footwear_uniforms_0112_institutional_jacket
industrialised_outfit_027	Industrialised civic loadout 27	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0113_institutional_hat;industrialised_clothing_footwear_uniforms_0114_institutional_gloves;industrialised_clothing_footwear_uniforms_0115_institutional_scarf;industrialised_clothing_footwear_uniforms_0116_institutional_skirt
industrialised_outfit_028	Industrialised commercial loadout 28	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0117_institutional_socks;industrialised_clothing_footwear_uniforms_0118_institutional_vest;industrialised_clothing_footwear_uniforms_0119_institutional_coat;industrialised_clothing_footwear_uniforms_0120_institutional_smock
industrialised_outfit_029	Industrialised medical loadout 29	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0122_weatherproof_apron;industrialised_clothing_footwear_uniforms_0123_weatherproof_shirt;industrialised_clothing_footwear_uniforms_0124_weatherproof_trousers;industrialised_clothing_footwear_uniforms_0125_weatherproof_boots
industrialised_outfit_030	Industrialised service loadout 30	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0126_weatherproof_dress;industrialised_clothing_footwear_uniforms_0127_weatherproof_jacket;industrialised_clothing_footwear_uniforms_0128_weatherproof_hat;industrialised_clothing_footwear_uniforms_0129_weatherproof_gloves
industrialised_outfit_031	Industrialised domestic loadout 31	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0130_weatherproof_scarf;industrialised_clothing_footwear_uniforms_0131_weatherproof_skirt;industrialised_clothing_footwear_uniforms_0132_weatherproof_socks;industrialised_clothing_footwear_uniforms_0133_weatherproof_vest
industrialised_outfit_032	Industrialised workshop loadout 32	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0134_weatherproof_coat;industrialised_clothing_footwear_uniforms_0135_weatherproof_smock;industrialised_clothing_footwear_uniforms_0137_service_apron;industrialised_clothing_footwear_uniforms_0138_service_shirt
industrialised_outfit_033	Industrialised field loadout 33	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0139_service_trousers;industrialised_clothing_footwear_uniforms_0140_service_boots;industrialised_clothing_footwear_uniforms_0141_service_dress;industrialised_clothing_footwear_uniforms_0142_service_jacket
industrialised_outfit_034	Industrialised retail loadout 34	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0143_service_hat;industrialised_clothing_footwear_uniforms_0144_service_gloves;industrialised_clothing_footwear_uniforms_0145_service_scarf;industrialised_clothing_footwear_uniforms_0146_service_skirt
industrialised_outfit_035	Industrialised institutional loadout 35	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0147_service_socks;industrialised_clothing_footwear_uniforms_0148_service_vest;industrialised_clothing_footwear_uniforms_0149_service_coat;industrialised_clothing_footwear_uniforms_0150_service_smock
industrialised_outfit_036	Industrialised transport loadout 36	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0152_precision_apron;industrialised_clothing_footwear_uniforms_0153_precision_shirt;industrialised_clothing_footwear_uniforms_0154_precision_trousers;industrialised_clothing_footwear_uniforms_0155_precision_boots
industrialised_outfit_037	Industrialised civic loadout 37	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0156_precision_dress;industrialised_clothing_footwear_uniforms_0157_precision_jacket;industrialised_clothing_footwear_uniforms_0158_precision_hat;industrialised_clothing_footwear_uniforms_0159_precision_gloves
industrialised_outfit_038	Industrialised commercial loadout 38	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0160_precision_scarf;industrialised_clothing_footwear_uniforms_0161_precision_skirt;industrialised_clothing_footwear_uniforms_0162_precision_socks;industrialised_clothing_footwear_uniforms_0163_precision_vest
industrialised_outfit_039	Industrialised medical loadout 39	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0164_precision_coat;industrialised_clothing_footwear_uniforms_0165_precision_smock;industrialised_clothing_footwear_uniforms_0167_economy_apron;industrialised_clothing_footwear_uniforms_0168_economy_shirt
industrialised_outfit_040	Industrialised service loadout 40	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0169_economy_trousers;industrialised_clothing_footwear_uniforms_0170_economy_boots;industrialised_clothing_footwear_uniforms_0171_economy_dress;industrialised_clothing_footwear_uniforms_0172_economy_jacket
industrialised_outfit_041	Industrialised domestic loadout 41	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0173_economy_hat;industrialised_clothing_footwear_uniforms_0174_economy_gloves;industrialised_clothing_footwear_uniforms_0175_economy_scarf;industrialised_clothing_footwear_uniforms_0176_economy_skirt
industrialised_outfit_042	Industrialised workshop loadout 42	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0177_economy_socks;industrialised_clothing_footwear_uniforms_0178_economy_vest;industrialised_clothing_footwear_uniforms_0179_economy_coat;industrialised_clothing_footwear_uniforms_0180_economy_smock
industrialised_outfit_043	Industrialised field loadout 43	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0182_lined_apron;industrialised_clothing_footwear_uniforms_0183_lined_shirt;industrialised_clothing_footwear_uniforms_0184_lined_trousers;industrialised_clothing_footwear_uniforms_0185_lined_boots
industrialised_outfit_044	Industrialised retail loadout 44	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0186_lined_dress;industrialised_clothing_footwear_uniforms_0187_lined_jacket;industrialised_clothing_footwear_uniforms_0188_lined_hat;industrialised_clothing_footwear_uniforms_0189_lined_gloves
industrialised_outfit_045	Industrialised institutional loadout 45	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0190_lined_scarf;industrialised_clothing_footwear_uniforms_0191_lined_skirt;industrialised_clothing_footwear_uniforms_0192_lined_socks;industrialised_clothing_footwear_uniforms_0193_lined_vest
industrialised_outfit_046	Industrialised transport loadout 46	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0194_lined_coat;industrialised_clothing_footwear_uniforms_0195_lined_smock;industrialised_clothing_footwear_uniforms_0197_ventilated_apron;industrialised_clothing_footwear_uniforms_0198_ventilated_shirt
industrialised_outfit_047	Industrialised civic loadout 47	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0199_ventilated_trousers;industrialised_clothing_footwear_uniforms_0200_ventilated_boots;industrialised_clothing_footwear_uniforms_0201_ventilated_dress;industrialised_clothing_footwear_uniforms_0202_ventilated_jacket
industrialised_outfit_048	Industrialised commercial loadout 48	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0203_ventilated_hat;industrialised_clothing_footwear_uniforms_0204_ventilated_gloves;industrialised_clothing_footwear_uniforms_0205_ventilated_scarf;industrialised_clothing_footwear_uniforms_0206_ventilated_skirt
industrialised_outfit_049	Industrialised medical loadout 49	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0207_ventilated_socks;industrialised_clothing_footwear_uniforms_0208_ventilated_vest;industrialised_clothing_footwear_uniforms_0209_ventilated_coat;industrialised_clothing_footwear_uniforms_0210_ventilated_smock
industrialised_outfit_050	Industrialised service loadout 50	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0212_stackable_apron;industrialised_clothing_footwear_uniforms_0213_stackable_shirt;industrialised_clothing_footwear_uniforms_0214_stackable_trousers;industrialised_clothing_footwear_uniforms_0215_stackable_boots
industrialised_outfit_051	Industrialised domestic loadout 51	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0216_stackable_dress;industrialised_clothing_footwear_uniforms_0217_stackable_jacket;industrialised_clothing_footwear_uniforms_0218_stackable_hat;industrialised_clothing_footwear_uniforms_0219_stackable_gloves
industrialised_outfit_052	Industrialised workshop loadout 52	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0220_stackable_scarf;industrialised_clothing_footwear_uniforms_0221_stackable_skirt;industrialised_clothing_footwear_uniforms_0222_stackable_socks;industrialised_clothing_footwear_uniforms_0223_stackable_vest
industrialised_outfit_053	Industrialised field loadout 53	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0224_stackable_coat;industrialised_clothing_footwear_uniforms_0225_stackable_smock;industrialised_clothing_footwear_uniforms_0227_field_apron;industrialised_clothing_footwear_uniforms_0228_field_shirt
industrialised_outfit_054	Industrialised retail loadout 54	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0229_field_trousers;industrialised_clothing_footwear_uniforms_0230_field_boots;industrialised_clothing_footwear_uniforms_0231_field_dress;industrialised_clothing_footwear_uniforms_0232_field_jacket
industrialised_outfit_055	Industrialised institutional loadout 55	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0233_field_hat;industrialised_clothing_footwear_uniforms_0234_field_gloves;industrialised_clothing_footwear_uniforms_0235_field_scarf;industrialised_clothing_footwear_uniforms_0236_field_skirt
industrialised_outfit_056	Industrialised transport loadout 56	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0237_field_socks;industrialised_clothing_footwear_uniforms_0238_field_vest;industrialised_clothing_footwear_uniforms_0239_field_coat;industrialised_clothing_footwear_uniforms_0240_field_smock
industrialised_outfit_057	Industrialised civic loadout 57	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0242_countertop_apron;industrialised_clothing_footwear_uniforms_0243_countertop_shirt;industrialised_clothing_footwear_uniforms_0244_countertop_trousers;industrialised_clothing_footwear_uniforms_0245_countertop_boots
industrialised_outfit_058	Industrialised commercial loadout 58	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0246_countertop_dress;industrialised_clothing_footwear_uniforms_0247_countertop_jacket;industrialised_clothing_footwear_uniforms_0248_countertop_hat;industrialised_clothing_footwear_uniforms_0249_countertop_gloves
industrialised_outfit_059	Industrialised medical loadout 59	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0250_countertop_scarf;industrialised_clothing_footwear_uniforms_0251_countertop_skirt;industrialised_clothing_footwear_uniforms_0252_countertop_socks;industrialised_clothing_footwear_uniforms_0253_countertop_vest
industrialised_outfit_060	Industrialised service loadout 60	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0254_countertop_coat;industrialised_clothing_footwear_uniforms_0255_countertop_smock;industrialised_clothing_footwear_uniforms_0257_wall_mounted_apron;industrialised_clothing_footwear_uniforms_0258_wall_mounted_shirt
industrialised_outfit_061	Industrialised domestic loadout 61	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0259_wall_mounted_trousers;industrialised_clothing_footwear_uniforms_0260_wall_mounted_boots;industrialised_clothing_footwear_uniforms_0261_wall_mounted_dress;industrialised_clothing_footwear_uniforms_0262_wall_mounted_jacket
industrialised_outfit_062	Industrialised workshop loadout 62	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0263_wall_mounted_hat;industrialised_clothing_footwear_uniforms_0264_wall_mounted_gloves;industrialised_clothing_footwear_uniforms_0265_wall_mounted_scarf;industrialised_clothing_footwear_uniforms_0266_wall_mounted_skirt
industrialised_outfit_063	Industrialised field loadout 63	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0267_wall_mounted_socks;industrialised_clothing_footwear_uniforms_0268_wall_mounted_vest;industrialised_clothing_footwear_uniforms_0269_wall_mounted_coat;industrialised_clothing_footwear_uniforms_0270_wall_mounted_smock
industrialised_outfit_064	Industrialised retail loadout 64	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0272_travel_apron;industrialised_clothing_footwear_uniforms_0273_travel_shirt;industrialised_clothing_footwear_uniforms_0274_travel_trousers;industrialised_clothing_footwear_uniforms_0275_travel_boots
industrialised_outfit_065	Industrialised institutional loadout 65	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0276_travel_dress;industrialised_clothing_footwear_uniforms_0277_travel_jacket;industrialised_clothing_footwear_uniforms_0278_travel_hat;industrialised_clothing_footwear_uniforms_0279_travel_gloves
industrialised_outfit_066	Industrialised transport loadout 66	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0280_travel_scarf;industrialised_clothing_footwear_uniforms_0281_travel_skirt;industrialised_clothing_footwear_uniforms_0282_travel_socks;industrialised_clothing_footwear_uniforms_0283_travel_vest
industrialised_outfit_067	Industrialised civic loadout 67	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0284_travel_coat;industrialised_clothing_footwear_uniforms_0285_travel_smock;industrialised_clothing_footwear_uniforms_0287_utility_apron;industrialised_clothing_footwear_uniforms_0288_utility_shirt
industrialised_outfit_068	Industrialised commercial loadout 68	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0289_utility_trousers;industrialised_clothing_footwear_uniforms_0290_utility_boots;industrialised_clothing_footwear_uniforms_0291_utility_dress;industrialised_clothing_footwear_uniforms_0292_utility_jacket
industrialised_outfit_069	Industrialised medical loadout 69	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0293_utility_hat;industrialised_clothing_footwear_uniforms_0294_utility_gloves;industrialised_clothing_footwear_uniforms_0295_utility_scarf;industrialised_clothing_footwear_uniforms_0296_utility_skirt
industrialised_outfit_070	Industrialised service loadout 70	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0297_utility_socks;industrialised_clothing_footwear_uniforms_0298_utility_vest;industrialised_clothing_footwear_uniforms_0299_utility_coat;industrialised_clothing_footwear_uniforms_0300_utility_smock
industrialised_outfit_071	Industrialised domestic loadout 71	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0302_plain_apron;industrialised_clothing_footwear_uniforms_0303_plain_shirt;industrialised_clothing_footwear_uniforms_0304_plain_trousers;industrialised_clothing_footwear_uniforms_0305_plain_boots
industrialised_outfit_072	Industrialised workshop loadout 72	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0306_plain_dress;industrialised_clothing_footwear_uniforms_0307_plain_jacket;industrialised_clothing_footwear_uniforms_0308_plain_hat;industrialised_clothing_footwear_uniforms_0309_plain_gloves
industrialised_outfit_073	Industrialised field loadout 73	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0310_plain_scarf;industrialised_clothing_footwear_uniforms_0311_plain_skirt;industrialised_clothing_footwear_uniforms_0312_plain_socks;industrialised_clothing_footwear_uniforms_0313_plain_vest
industrialised_outfit_074	Industrialised retail loadout 74	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0314_plain_coat;industrialised_clothing_footwear_uniforms_0315_plain_smock;industrialised_clothing_footwear_uniforms_0317_reinforced_apron;industrialised_clothing_footwear_uniforms_0318_reinforced_shirt
industrialised_outfit_075	Industrialised institutional loadout 75	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0319_reinforced_trousers;industrialised_clothing_footwear_uniforms_0320_reinforced_boots;industrialised_clothing_footwear_uniforms_0321_reinforced_dress;industrialised_clothing_footwear_uniforms_0322_reinforced_jacket
industrialised_outfit_076	Industrialised transport loadout 76	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0323_reinforced_hat;industrialised_clothing_footwear_uniforms_0324_reinforced_gloves;industrialised_clothing_footwear_uniforms_0325_reinforced_scarf;industrialised_clothing_footwear_uniforms_0326_reinforced_skirt
industrialised_outfit_077	Industrialised civic loadout 77	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0327_reinforced_socks;industrialised_clothing_footwear_uniforms_0328_reinforced_vest;industrialised_clothing_footwear_uniforms_0329_reinforced_coat;industrialised_clothing_footwear_uniforms_0330_reinforced_smock
industrialised_outfit_078	Industrialised commercial loadout 78	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0332_compact_apron;industrialised_clothing_footwear_uniforms_0333_compact_shirt;industrialised_clothing_footwear_uniforms_0334_compact_trousers;industrialised_clothing_footwear_uniforms_0335_compact_boots
