StableKey	EraAdmissions	Category	Trait	MinimumTraitValue	Difficulty	ProductStableReference	InputMaterial	InputGrams
craft_industrialised_clothing_footwear_uniforms_0031_compact_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0031_compact_rag	cotton	1428
craft_industrialised_clothing_footwear_uniforms_0032_compact_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0032_compact_apron	linen	1469
craft_industrialised_clothing_footwear_uniforms_0033_compact_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0033_compact_shirt	wool	1509
craft_industrialised_clothing_footwear_uniforms_0034_compact_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0034_compact_trousers	leather	1550
craft_industrialised_clothing_footwear_uniforms_0035_compact_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0035_compact_boots	cotton	1591
craft_industrialised_clothing_footwear_uniforms_0036_compact_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0036_compact_dress	linen	1631
craft_industrialised_clothing_footwear_uniforms_0037_compact_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0037_compact_jacket	wool	1672
craft_industrialised_clothing_footwear_uniforms_0038_compact_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0038_compact_hat	leather	1713
craft_industrialised_clothing_footwear_uniforms_0039_compact_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0039_compact_gloves	cotton	1753
craft_industrialised_clothing_footwear_uniforms_0040_compact_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0040_compact_scarf	linen	1794
craft_industrialised_clothing_footwear_uniforms_0041_compact_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0041_compact_skirt	wool	1835
craft_industrialised_clothing_footwear_uniforms_0042_compact_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0042_compact_socks	leather	1876
craft_industrialised_clothing_footwear_uniforms_0043_compact_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0043_compact_vest	cotton	1916
craft_industrialised_clothing_footwear_uniforms_0044_compact_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0044_compact_coat	linen	1957
craft_industrialised_clothing_footwear_uniforms_0045_compact_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0045_compact_smock	wool	1998
craft_industrialised_clothing_footwear_uniforms_0046_heavy_duty_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0046_heavy_duty_rag	leather	2038
craft_industrialised_clothing_footwear_uniforms_0047_heavy_duty_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0047_heavy_duty_apron	cotton	2079
craft_industrialised_clothing_footwear_uniforms_0048_heavy_duty_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0048_heavy_duty_shirt	linen	2120
craft_industrialised_clothing_footwear_uniforms_0049_heavy_duty_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0049_heavy_duty_trousers	wool	2160
craft_industrialised_clothing_footwear_uniforms_0050_heavy_duty_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0050_heavy_duty_boots	leather	2201
craft_industrialised_clothing_footwear_uniforms_0051_heavy_duty_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0051_heavy_duty_dress	cotton	2242
craft_industrialised_clothing_footwear_uniforms_0052_heavy_duty_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0052_heavy_duty_jacket	linen	2282
craft_industrialised_clothing_footwear_uniforms_0053_heavy_duty_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0053_heavy_duty_hat	wool	2323
craft_industrialised_clothing_footwear_uniforms_0054_heavy_duty_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0054_heavy_duty_gloves	leather	2364
craft_industrialised_clothing_footwear_uniforms_0055_heavy_duty_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0055_heavy_duty_scarf	cotton	2405
craft_industrialised_clothing_footwear_uniforms_0056_heavy_duty_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0056_heavy_duty_skirt	linen	2445
craft_industrialised_clothing_footwear_uniforms_0057_heavy_duty_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0057_heavy_duty_socks	wool	2486
craft_industrialised_clothing_footwear_uniforms_0058_heavy_duty_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0058_heavy_duty_vest	leather	2527
craft_industrialised_clothing_footwear_uniforms_0059_heavy_duty_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0059_heavy_duty_coat	cotton	2567
craft_industrialised_clothing_footwear_uniforms_0060_heavy_duty_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0060_heavy_duty_smock	linen	2608
craft_industrialised_clothing_footwear_uniforms_0061_folding_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0061_folding_rag	wool	2649
craft_industrialised_clothing_footwear_uniforms_0062_folding_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0062_folding_apron	leather	2690
craft_industrialised_clothing_footwear_uniforms_0063_folding_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0063_folding_shirt	cotton	2730
craft_industrialised_clothing_footwear_uniforms_0064_folding_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0064_folding_trousers	linen	2771
craft_industrialised_clothing_footwear_uniforms_0065_folding_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0065_folding_boots	wool	2812
craft_industrialised_clothing_footwear_uniforms_0066_folding_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0066_folding_dress	leather	2852
craft_industrialised_clothing_footwear_uniforms_0067_folding_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0067_folding_jacket	cotton	2893
craft_industrialised_clothing_footwear_uniforms_0068_folding_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0068_folding_hat	linen	2934
craft_industrialised_clothing_footwear_uniforms_0069_folding_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0069_folding_gloves	wool	2974
craft_industrialised_clothing_footwear_uniforms_0070_folding_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0070_folding_scarf	leather	3015
craft_industrialised_clothing_footwear_uniforms_0071_folding_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0071_folding_skirt	cotton	3056
craft_industrialised_clothing_footwear_uniforms_0072_folding_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0072_folding_socks	linen	3097
craft_industrialised_clothing_footwear_uniforms_0073_folding_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0073_folding_vest	wool	3137
craft_industrialised_clothing_footwear_uniforms_0074_folding_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0074_folding_coat	leather	3178
craft_industrialised_clothing_footwear_uniforms_0075_folding_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0075_folding_smock	cotton	3219
craft_industrialised_clothing_footwear_uniforms_0076_portable_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0076_portable_rag	linen	3259
craft_industrialised_clothing_footwear_uniforms_0077_portable_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0077_portable_apron	wool	3300
craft_industrialised_clothing_footwear_uniforms_0078_portable_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0078_portable_shirt	leather	3341
craft_industrialised_clothing_footwear_uniforms_0079_portable_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0079_portable_trousers	cotton	3381
craft_industrialised_clothing_footwear_uniforms_0080_portable_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0080_portable_boots	linen	3422
craft_industrialised_clothing_footwear_uniforms_0081_portable_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0081_portable_dress	wool	3463
craft_industrialised_clothing_footwear_uniforms_0082_portable_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0082_portable_jacket	leather	3504
craft_industrialised_clothing_footwear_uniforms_0083_portable_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0083_portable_hat	cotton	3544
craft_industrialised_clothing_footwear_uniforms_0084_portable_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0084_portable_gloves	linen	3585
craft_industrialised_clothing_footwear_uniforms_0085_portable_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0085_portable_scarf	wool	3626
craft_industrialised_clothing_footwear_uniforms_0086_portable_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0086_portable_skirt	leather	3666
craft_industrialised_clothing_footwear_uniforms_0087_portable_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0087_portable_socks	cotton	3707
craft_industrialised_clothing_footwear_uniforms_0088_portable_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0088_portable_vest	linen	3748
craft_industrialised_clothing_footwear_uniforms_0089_portable_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0089_portable_coat	wool	3788
craft_industrialised_clothing_footwear_uniforms_0090_portable_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0090_portable_smock	leather	3829
craft_industrialised_clothing_footwear_uniforms_0091_workshop_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0091_workshop_rag	cotton	3870
craft_industrialised_clothing_footwear_uniforms_0092_workshop_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0092_workshop_apron	linen	3911
craft_industrialised_clothing_footwear_uniforms_0093_workshop_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0093_workshop_shirt	wool	3951
craft_industrialised_clothing_footwear_uniforms_0094_workshop_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0094_workshop_trousers	leather	3992
craft_industrialised_clothing_footwear_uniforms_0095_workshop_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0095_workshop_boots	cotton	4033
craft_industrialised_clothing_footwear_uniforms_0096_workshop_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0096_workshop_dress	linen	4073
craft_industrialised_clothing_footwear_uniforms_0097_workshop_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0097_workshop_jacket	wool	4114
craft_industrialised_clothing_footwear_uniforms_0098_workshop_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0098_workshop_hat	leather	4155
craft_industrialised_clothing_footwear_uniforms_0099_workshop_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0099_workshop_gloves	cotton	4195
craft_industrialised_clothing_footwear_uniforms_0100_workshop_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0100_workshop_scarf	linen	4236
craft_industrialised_clothing_footwear_uniforms_0101_workshop_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0101_workshop_skirt	wool	4277
craft_industrialised_clothing_footwear_uniforms_0102_workshop_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0102_workshop_socks	leather	4318
craft_industrialised_clothing_footwear_uniforms_0103_workshop_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0103_workshop_vest	cotton	4358
craft_industrialised_clothing_footwear_uniforms_0104_workshop_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0104_workshop_coat	linen	4399
craft_industrialised_clothing_footwear_uniforms_0105_workshop_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0105_workshop_smock	wool	4440
craft_industrialised_clothing_footwear_uniforms_0106_institutional_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0106_institutional_rag	leather	4480
craft_industrialised_clothing_footwear_uniforms_0107_institutional_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0107_institutional_apron	cotton	4521
craft_industrialised_clothing_footwear_uniforms_0108_institutional_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0108_institutional_shirt	linen	4562
craft_industrialised_clothing_footwear_uniforms_0109_institutional_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0109_institutional_trousers	wool	4602
craft_industrialised_clothing_footwear_uniforms_0110_institutional_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0110_institutional_boots	leather	4643
craft_industrialised_clothing_footwear_uniforms_0111_institutional_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0111_institutional_dress	cotton	4684
craft_industrialised_clothing_footwear_uniforms_0112_institutional_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0112_institutional_jacket	linen	4724
craft_industrialised_clothing_footwear_uniforms_0113_institutional_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0113_institutional_hat	wool	4765
craft_industrialised_clothing_footwear_uniforms_0114_institutional_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0114_institutional_gloves	leather	4806
craft_industrialised_clothing_footwear_uniforms_0115_institutional_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0115_institutional_scarf	cotton	4847
craft_industrialised_clothing_footwear_uniforms_0116_institutional_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0116_institutional_skirt	linen	4887
craft_industrialised_clothing_footwear_uniforms_0117_institutional_socks	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0117_institutional_socks	wool	4928
craft_industrialised_clothing_footwear_uniforms_0118_institutional_vest	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0118_institutional_vest	leather	4969
craft_industrialised_clothing_footwear_uniforms_0119_institutional_coat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0119_institutional_coat	cotton	5009
craft_industrialised_clothing_footwear_uniforms_0120_institutional_smock	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0120_institutional_smock	linen	5050
craft_industrialised_clothing_footwear_uniforms_0121_weatherproof_rag	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0121_weatherproof_rag	wool	5091
craft_industrialised_clothing_footwear_uniforms_0122_weatherproof_apron	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0122_weatherproof_apron	leather	5132
craft_industrialised_clothing_footwear_uniforms_0123_weatherproof_shirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0123_weatherproof_shirt	cotton	5172
craft_industrialised_clothing_footwear_uniforms_0124_weatherproof_trousers	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0124_weatherproof_trousers	linen	5213
craft_industrialised_clothing_footwear_uniforms_0125_weatherproof_boots	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0125_weatherproof_boots	wool	5254
craft_industrialised_clothing_footwear_uniforms_0126_weatherproof_dress	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0126_weatherproof_dress	leather	5294
craft_industrialised_clothing_footwear_uniforms_0127_weatherproof_jacket	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0127_weatherproof_jacket	cotton	5335
craft_industrialised_clothing_footwear_uniforms_0128_weatherproof_hat	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0128_weatherproof_hat	linen	5376
craft_industrialised_clothing_footwear_uniforms_0129_weatherproof_gloves	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0129_weatherproof_gloves	wool	5416
craft_industrialised_clothing_footwear_uniforms_0130_weatherproof_scarf	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0130_weatherproof_scarf	leather	5457
craft_industrialised_clothing_footwear_uniforms_0131_weatherproof_skirt	industrial;modern;nuclear;information	Clothing, footwear and uniforms	Labouring	0	Normal	industrialised_clothing_footwear_uniforms_0131_weatherproof_skirt	cotton	5498
