stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
medieval_food_liquid_ale_onion_pot_liquor	Medieval	Broth	ale-onion pottage liquor	brown ale-onion pot liquor	Onion-softened ale makes this pottage liquor brown and faintly opaque, with a thin foam gathering wherever it is stirred.	Malted bitterness sits beneath caramelised onion, salt, and a lingering breadlike savour.	It smells of dark ale, browned onions, and the warm interior of a cooking pot.	Bold Orange	0.02	0.85	1.50	0.25	EraSpecific
medieval_food_liquid_spiced_galantine_sauce	Medieval	Sauce	spiced galantine sauce	dark spiced galantine sauce	Bread and dark stock give this banquet sauce a smooth, spoon-coating body, stained brown by wine and ground spices.	Sour wine, pepper, and cinnamon cut through its rich meat-stock depth with a sharp finish.	Its dense aroma mixes roasted stock, wine vinegar, warm spice, and bread.	Bold Black	0.01	0.50	1	0	EraSpecific
medieval_food_liquid_green_sawse	Medieval	Sauce	medieval green herb sawse	vivid medieval green sawse	Pounded parsley and other garden herbs colour this cold sauce vivid green, with bread lending a lightly thickened texture.	Fresh herbs, vinegar, and garlic make it bright, pungent, and sharply appetite-wakening.	It smells intensely of crushed parsley, sour wine, garlic, and damp bread.	Bold Green	0	0.50	0.50	0	EraSpecific
medieval_food_liquid_bread_garlic_jance	Medieval	Sauce	breaded garlic jance	pale breaded garlic sauce	Soaked bread and crushed garlic form a pale, creamy medieval sauce with a rougher grain than dairy cream.	Strong garlic leads, softened by wheat, broth, and enough acidity to keep the sauce lively.	The sauce smells of raw garlic, wet bread, and a small measure of vinegar.	White	0	0.50	1.50	0	EraSpecific
medieval_food_liquid_spiced_must_reduction	Medieval	Syrup	spiced must reduction	purple-brown spiced must syrup	Grape must has been simmered to a purple-brown syrup, carrying fine spice sediment and a slow, sticky pour.	Concentrated grape sweetness meets cinnamon and pepper before a dark caramel finish.	It has the heady scent of boiling must, dried spice, and scorched sugar.	Magenta	0	0.25	2	0	EraSpecific
medieval_food_liquid_quince_honey_syrup	Medieval	Syrup	quince-and-honey electuary syrup	amber quince honey syrup	Cooked quince and honey produce a translucent amber syrup, thick enough to trail slowly from a spoon.	Floral honey surrounds tart quince, leaving a perfumed sweetness and slight fruit astringency.	Its fragrance recalls poached quince, meadow honey, and a trace of warm spice.	Orange	0	0.25	2	0	EraSpecific
medieval_food_liquid_violet_sugar_syrup	Medieval	Syrup	late-medieval violet syrup	purple floral violet syrup	Steeped violet petals tint this prized syrup a delicate purple, with clarified sugar giving it a glassy consistency.	The sweetness is distinctly floral, softened by cool water and a faint green petal note.	It smells of fresh violets, clean sugar syrup, and spring leaves.	Bold Magenta	0	0.25	2	0	EraSpecific
medieval_food_liquid_spiced_oxymel	Medieval	FermentedDrink	spiced monastic oxymel	cloudy amber spiced oxymel	Honey and vinegar mingle in this cloudy amber monastic preparation, with crushed spices settling below the surface.	It tastes equally sweet and sour, followed by ginger warmth and a dry vinegar prickle.	A sharp honeyed aroma carries vinegar, ginger, and bruised medicinal herbs.	Yellow	0	0.65	1	0.50	EraSpecific
medieval_food_liquid_ale_mustard_sauce	Medieval	Sauce	ale-mustard trencher sauce	ochre ale-mustard sauce	Ground mustard suspended in small ale makes this trencher sauce ochre and grainy, with bubbles clinging around its rim.	Hot mustard bites first, then malt sweetness and light bitterness temper the heat.	Its pungent smell joins crushed mustard seed, fresh ale, and sour bread.	Bold Yellow	0.02	0.50	0.50	0	EraSpecific
medieval_food_liquid_oat_souring_liquor	Medieval	FermentedDrink	oat-pottage souring liquor	cloudy grey oat souring liquor	A short fermentation has made this oat liquor cloudy grey and lightly effervescent, with starch settling in soft layers.	Gentle lactic sourness runs through raw oat flavour, ending dry, yeasty, and faintly salty.	It smells of wet oats, active yeast, and the clean tang of fermentation.	Bold White	0.01	0.85	1	0.50	EraSpecific
