stable_reference	noun	short_description	full_description	size	quality	weight_grams	cost	material	tags	components	builder_notes	category
earlymodern_medical_calomel_stock	stock	a calomel stock	This calomel stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its calomel body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	calomel	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_tartar_emetic_stock	stock	a tartar emetic stock	This tartar emetic stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its tartar emetic body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	tartar emetic	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_bezoar_stock	stock	a bezoar stock	This bezoar stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its bezoar body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	bezoar	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_medical_ergot_stock	stock	an ergot stock	This ergot stock is kept as a small, unprepared apothecary measure rather than a finished medicine. Its ergot body is visibly sorted into dry pieces, grains, or resinous fragments whose colour and smell distinguish it from neighbouring jars. A tied paper label leaves room for a dispenser to record a source or dose without claiming a cure.	Small	Standard	90.0	5.0	ergot	Era / Early Modern Era;Market / Medicine / Herbal Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Apothecary pharmacy.	Apothecary pharmacy
earlymodern_drug_laudanum_bottle	bottle	a laudanum bottle	This laudanum bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Laudanum_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_jesuit_bark_tonic_flask	flask	a Jesuit bark tonic flask	This Jesuit bark tonic flask is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Jesuit_Bark_Tonic_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_ipecacuanha_syrup_bottle	bottle	an ipecacuanha syrup bottle	This ipecacuanha syrup bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Ipecacuanha_Syrup_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_dover_s_powder_paper	paper	a Dover's powder paper	This Dover's powder paper is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The paper container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	35.0	6.0	paper	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Dover_s_Powder_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_paregoric_elixir_bottle	bottle	a paregoric elixir bottle	This paregoric elixir bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Paregoric_Elixir_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_tartar_emetic_solution_bottle	bottle	a tartar emetic solution bottle	This tartar emetic solution bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Tartar_Emetic_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_calomel_purge_packet	packet	a calomel purge packet	This calomel purge packet is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The paper container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	35.0	6.0	paper	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;Pill_Calomel_Purge	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_senna_infusion_flask	flask	a senna infusion flask	This senna infusion flask is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Senna_Infusion_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_rhubarb_tincture_vial	vial	a rhubarb tincture vial	This rhubarb tincture vial is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Rhubarb_Tincture_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_peruvian_balsam_salve_pot	pot	a Peruvian balsam salve pot	This Peruvian balsam salve pot is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The linen container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	250.0	12.0	linen	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;TopicalCream_Peruvian_Balsam_Salve	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_turpentine_liniment_bottle	bottle	a turpentine liniment bottle	This turpentine liniment bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;TopicalCream_Turpentine_Liniment	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_hartshorn_spirit_smelling_vial	vial	a hartshorn spirit smelling vial	This hartshorn spirit smelling vial is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;Smokeable_Hartshorn_Spirit	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_epsom_salts_draught_bottle	bottle	an Epsom salts draught bottle	This Epsom salts draught bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Epsom_Salts_Draught_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_daffy_s_elixir_bottle	bottle	a Daffy's elixir bottle	This Daffy's elixir bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Daffy_s_Elixir_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_drug_godfrey_s_cordial_bottle	bottle	a Godfrey's cordial bottle	This Godfrey's cordial bottle is prepared as a distinct ready-to-use remedy rather than loose pharmacy stock. The glass container or wrapper is sized for a single course, with its closure arranged to keep the preparation from spilling or drying out. Its surface bears handling marks around the lid, stopper, or fold where a user would open it.	Small	Standard	160.0	18.0	glass	Era / Early Modern Era;Market / Medicine / Chemical Medicine;Functions / Medical Treatment / Chemical Remedy	Holdable;Destroyable_Misc;LContainer_Medicine_Godfrey_s_Cordial_100ml	Early Modern medical catalogue; category Drugs delivery.	Drugs delivery
earlymodern_medical_articulated_knee	knee	an articulated knee	This articulated knee is made chiefly from linen and has a practical, period-appropriate form. Its silhouette is clear at a glance, with the useful end, opening, or bearing surface left unobscured by decoration. Wear is concentrated on the areas a handler would touch, lift, or set down.	Small	Standard	250.0	12.0	linen	Era / Early Modern Era;Market / Medicine / Prosthetics and Mobility;Functions / Medical Treatment / Mobility Aid	Holdable;Destroyable_WoodenHeavy;Prosthetic_LKnee	Early Modern medical catalogue; category Mobility prosthesis.	Mobility prosthesis
earlymodern_medical_hearing_trumpet	trumpet	a hearing trumpet	This hearing trumpet is made chiefly from brass and has a practical, period-appropriate form. Its silhouette is clear at a glance, with the useful end, opening, or bearing surface left unobscured by decoration. Wear is concentrated on the areas a handler would touch, lift, or set down.	Normal	Standard	1250.0	44.0	brass	Era / Early Modern Era;Market / Medicine / Prosthetics and Mobility;Functions / Medical Treatment / Mobility Aid	Holdable;Destroyable_Misc	Early Modern medical catalogue; category Mobility prosthesis.	Mobility prosthesis
