StableReference	PhysicalKind	Family	Admissions	Concept	Ownership	Material	LiquidDependency	Components	Tags	IngredientProfile	NutritionProfile	DietaryProfile	FreshnessProfile	HealthBindings	ProductionRoute	FailureFamily	EvidenceRoute	Rationale	ReviewState
industrialised_food_baking_001	Item	baking	industrial;modern;nuclear;information	standardised sandwich loaf (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_001	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_001	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_002	Item	baking	industrial;modern;nuclear;information	standardised soda bread (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_002	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_002	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_003	Item	baking	industrial;modern;nuclear;information	standardised milk bread (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_003	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_003	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_004	Item	baking	industrial;modern;nuclear;information	standardised rye loaf (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_004	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_004	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_005	Item	baking	industrial;modern;nuclear;information	standardised crispbread (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_005	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_005	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_006	Item	baking	industrial;modern;nuclear;information	standardised tea biscuit (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_006	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_006	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_007	Item	baking	industrial;modern;nuclear;information	standardised shortcake (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_007	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_007	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_008	Item	baking	industrial;modern;nuclear;information	standardised sponge cake (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_008	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_008	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_009	Item	baking	industrial;modern;nuclear;information	standardised fruit cake (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_009	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_009	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_010	Item	baking	industrial;modern;nuclear;information	standardised laminated pastry (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_010	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_010	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_011	Item	baking	industrial;modern;nuclear;information	institutional sandwich loaf (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_011	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_011	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_012	Item	baking	industrial;modern;nuclear;information	institutional soda bread (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_012	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_012	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_013	Item	baking	industrial;modern;nuclear;information	institutional milk bread (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_013	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_013	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_014	Item	baking	industrial;modern;nuclear;information	institutional rye loaf (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_014	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_014	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_015	Item	baking	industrial;modern;nuclear;information	institutional crispbread (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_015	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_015	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_baking_016	Item	baking	industrial;modern;nuclear;information	institutional tea biscuit (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_baking_016	nutrition_baking	dietary_baking	freshness_shelf		route_industrialised_food_baking_016	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrial_food_baking_001	Item	baking	industrial	standardised sandwich loaf (industrial form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era	ingredient_industrial_food_baking_001	nutrition_baking	dietary_baking	freshness_shelf		route_industrial_food_baking_001	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrial_food_baking_002	Item	baking	industrial	standardised soda bread (industrial form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era	ingredient_industrial_food_baking_002	nutrition_baking	dietary_baking	freshness_shelf		route_industrial_food_baking_002	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrial_food_baking_003	Item	baking	industrial	standardised milk bread (industrial form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era	ingredient_industrial_food_baking_003	nutrition_baking	dietary_baking	freshness_shelf		route_industrial_food_baking_003	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_baking_001	Item	baking	modern	standardised sandwich loaf (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_baking_001	nutrition_baking	dietary_baking	freshness_shelf		route_modern_food_baking_001	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_baking_002	Item	baking	modern	standardised soda bread (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_baking_002	nutrition_baking	dietary_baking	freshness_shelf		route_modern_food_baking_002	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_baking_003	Item	baking	modern	standardised milk bread (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_baking_003	nutrition_baking	dietary_baking	freshness_shelf		route_modern_food_baking_003	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_baking_004	Item	baking	modern	standardised rye loaf (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_baking_004	nutrition_baking	dietary_baking	freshness_shelf		route_modern_food_baking_004	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
modern_food_baking_005	Item	baking	modern	standardised crispbread (modern form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Modern Era	ingredient_modern_food_baking_005	nutrition_baking	dietary_baking	freshness_shelf		route_modern_food_baking_005	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
nuclear_food_baking_001	Item	baking	nuclear	standardised sandwich loaf (nuclear form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Nuclear Era	ingredient_nuclear_food_baking_001	nutrition_baking	dietary_baking	freshness_shelf		route_nuclear_food_baking_001	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
nuclear_food_baking_002	Item	baking	nuclear	standardised soda bread (nuclear form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Nuclear Era	ingredient_nuclear_food_baking_002	nutrition_baking	dietary_baking	freshness_shelf		route_nuclear_food_baking_002	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
information_food_baking_001	Item	baking	information	standardised sandwich loaf (information form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Information Age Era	ingredient_information_food_baking_001	nutrition_baking	dietary_baking	freshness_shelf		route_information_food_baking_001	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
information_food_baking_002	Item	baking	information	standardised soda bread (information form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Information Age Era	ingredient_information_food_baking_002	nutrition_baking	dietary_baking	freshness_shelf		route_information_food_baking_002	failure_food_unusable	evidence_baking	Distinct later baking processes and products, never cosmetic shape or flavour padding. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_001	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised wheat noodles (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_001	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_001	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_002	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised rice noodles (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_002	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_002	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_003	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised egg noodles (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_003	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_003	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_004	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised starch noodles (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_004	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_004	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_005	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised filled dumplings (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_005	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_005	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_006	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised potato dumplings (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_006	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_006	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_007	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised steamed buns (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_007	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_007	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_008	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised pasta ribbons (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_008	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_008	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_009	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised pasta tubes (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_009	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_009	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
industrialised_food_noodle_dumpling_010	Item	noodles-and-dumplings	industrial;modern;nuclear;information	standardised instant noodles (industrialised form)	food-and-drink	food		PreparedFood	Food and Drink;Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	ingredient_industrialised_food_noodle_dumpling_010	nutrition_noodles-and-dumplings	dietary_noodles-and-dumplings	freshness_shelf		route_industrialised_food_noodle_dumpling_010	failure_food_unusable	evidence_noodles-and-dumplings	Later dried, extruded, instant and cold-chain forms plus genuinely distinct composite servings. Exact mechanical identity reserved for dependency review; player prose and final price remain later-gate work.	DependencyReviewed
