Profile	Order	Role	Category	Description	SourceReference	Quantity	Unit	Allergens
ingredient_industrialised_food_noodle_dumpling_012	1	defining ingredient	Other	institutional rice noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_013	1	defining ingredient	Other	institutional egg noodles (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_noodle_dumpling_014	1	defining ingredient	Other	institutional starch noodles (industrialised form)	same-graph	100	g	
ingredient_industrial_food_noodle_dumpling_001	1	defining ingredient	Other	standardised wheat noodles (industrial form)	same-graph	100	g	
ingredient_industrial_food_noodle_dumpling_002	1	defining ingredient	Other	standardised rice noodles (industrial form)	same-graph	100	g	
ingredient_modern_food_noodle_dumpling_001	1	defining ingredient	Other	standardised wheat noodles (modern form)	same-graph	100	g	
ingredient_modern_food_noodle_dumpling_002	1	defining ingredient	Other	standardised rice noodles (modern form)	same-graph	100	g	
ingredient_modern_food_noodle_dumpling_003	1	defining ingredient	Other	standardised egg noodles (modern form)	same-graph	100	g	
ingredient_modern_food_noodle_dumpling_004	1	defining ingredient	Other	standardised starch noodles (modern form)	same-graph	100	g	
ingredient_nuclear_food_noodle_dumpling_001	1	defining ingredient	Other	standardised wheat noodles (nuclear form)	same-graph	100	g	
ingredient_information_food_noodle_dumpling_001	1	defining ingredient	Other	standardised wheat noodles (information form)	same-graph	100	g	
ingredient_information_food_noodle_dumpling_002	1	defining ingredient	Other	standardised rice noodles (information form)	same-graph	100	g	
ingredient_industrialised_food_plant_001	1	defining ingredient	Other	standardised bean loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_002	1	defining ingredient	Other	standardised lentil stew (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_003	1	defining ingredient	Other	standardised pea puree (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_004	1	defining ingredient	Other	standardised mushroom cutlet (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_005	1	defining ingredient	Other	standardised vegetable hash (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_006	1	defining ingredient	Other	standardised soy curd (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_007	1	defining ingredient	Other	standardised gluten roast (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_008	1	defining ingredient	Other	standardised chickpea cake (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_009	1	defining ingredient	Other	standardised root mash (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_010	1	defining ingredient	Other	standardised leafy vegetable medley (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_011	1	defining ingredient	Other	institutional bean loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_012	1	defining ingredient	Other	institutional lentil stew (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_013	1	defining ingredient	Other	institutional pea puree (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_plant_014	1	defining ingredient	Other	institutional mushroom cutlet (industrialised form)	same-graph	100	g	
ingredient_industrial_food_plant_001	1	defining ingredient	Other	standardised bean loaf (industrial form)	same-graph	100	g	
ingredient_industrial_food_plant_002	1	defining ingredient	Other	standardised lentil stew (industrial form)	same-graph	100	g	
ingredient_modern_food_plant_001	1	defining ingredient	Other	standardised bean loaf (modern form)	same-graph	100	g	
ingredient_modern_food_plant_002	1	defining ingredient	Other	standardised lentil stew (modern form)	same-graph	100	g	
ingredient_modern_food_plant_003	1	defining ingredient	Other	standardised pea puree (modern form)	same-graph	100	g	
ingredient_modern_food_plant_004	1	defining ingredient	Other	standardised mushroom cutlet (modern form)	same-graph	100	g	
ingredient_nuclear_food_plant_001	1	defining ingredient	Other	standardised bean loaf (nuclear form)	same-graph	100	g	
ingredient_information_food_plant_001	1	defining ingredient	Other	standardised bean loaf (information form)	same-graph	100	g	
ingredient_information_food_plant_002	1	defining ingredient	Other	standardised lentil stew (information form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_001	1	defining ingredient	Other	standardised fruit puree (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_002	1	defining ingredient	Other	standardised dried fruit mixture (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_003	1	defining ingredient	Other	standardised nut butter (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_004	1	defining ingredient	Other	standardised seed paste (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_005	1	defining ingredient	Other	standardised fruit compote (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_006	1	defining ingredient	Other	standardised candied peel (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_007	1	defining ingredient	Other	standardised nut brittle (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_008	1	defining ingredient	Other	standardised fruit leather (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_009	1	defining ingredient	Other	standardised roasted nut mixture (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_fruit_nut_010	1	defining ingredient	Other	standardised preserved fruit pulp (industrialised form)	same-graph	100	g	
ingredient_industrial_food_fruit_nut_001	1	defining ingredient	Other	standardised fruit puree (industrial form)	same-graph	100	g	
ingredient_modern_food_fruit_nut_001	1	defining ingredient	Other	standardised fruit puree (modern form)	same-graph	100	g	
ingredient_modern_food_fruit_nut_002	1	defining ingredient	Other	standardised dried fruit mixture (modern form)	same-graph	100	g	
ingredient_modern_food_fruit_nut_003	1	defining ingredient	Other	standardised nut butter (modern form)	same-graph	100	g	
ingredient_nuclear_food_fruit_nut_001	1	defining ingredient	Other	standardised fruit puree (nuclear form)	same-graph	100	g	
ingredient_information_food_fruit_nut_001	1	defining ingredient	Other	standardised fruit puree (information form)	same-graph	100	g	
ingredient_information_food_fruit_nut_002	1	defining ingredient	Other	standardised dried fruit mixture (information form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_001	1	defining ingredient	Other	standardised cultured milk (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_002	1	defining ingredient	Other	standardised condensed milk (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_003	1	defining ingredient	Other	standardised dried milk (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_004	1	defining ingredient	Other	standardised processed cheese (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_005	1	defining ingredient	Other	standardised egg powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_006	1	defining ingredient	Other	standardised set custard (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_007	1	defining ingredient	Other	standardised milk pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_008	1	defining ingredient	Other	standardised yoghurt (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_009	1	defining ingredient	Other	standardised frozen cream (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_010	1	defining ingredient	Other	standardised pasteurised cream (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_011	1	defining ingredient	Other	institutional cultured milk (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_012	1	defining ingredient	Other	institutional condensed milk (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_013	1	defining ingredient	Other	institutional dried milk (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dairy_egg_014	1	defining ingredient	Other	institutional processed cheese (industrialised form)	same-graph	100	g	
ingredient_industrial_food_dairy_egg_001	1	defining ingredient	Other	standardised cultured milk (industrial form)	same-graph	100	g	
ingredient_industrial_food_dairy_egg_002	1	defining ingredient	Other	standardised condensed milk (industrial form)	same-graph	100	g	
ingredient_modern_food_dairy_egg_001	1	defining ingredient	Other	standardised cultured milk (modern form)	same-graph	100	g	
ingredient_modern_food_dairy_egg_002	1	defining ingredient	Other	standardised condensed milk (modern form)	same-graph	100	g	
ingredient_modern_food_dairy_egg_003	1	defining ingredient	Other	standardised dried milk (modern form)	same-graph	100	g	
ingredient_modern_food_dairy_egg_004	1	defining ingredient	Other	standardised processed cheese (modern form)	same-graph	100	g	
ingredient_nuclear_food_dairy_egg_001	1	defining ingredient	Other	standardised cultured milk (nuclear form)	same-graph	100	g	
ingredient_information_food_dairy_egg_001	1	defining ingredient	Other	standardised cultured milk (information form)	same-graph	100	g	
ingredient_information_food_dairy_egg_002	1	defining ingredient	Other	standardised condensed milk (information form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_001	1	defining ingredient	Other	standardised minced meat loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_002	1	defining ingredient	Other	standardised fresh sausage (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_003	1	defining ingredient	Other	standardised cooked sausage (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_004	1	defining ingredient	Other	standardised potted meat (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_005	1	defining ingredient	Other	standardised pressed poultry (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_006	1	defining ingredient	Other	standardised liver paste (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_007	1	defining ingredient	Other	standardised blood sausage (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_008	1	defining ingredient	Other	standardised corned meat (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_009	1	defining ingredient	Other	standardised meat extract (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_010	1	defining ingredient	Other	standardised jellied offal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_011	1	defining ingredient	Other	institutional minced meat loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_012	1	defining ingredient	Other	institutional fresh sausage (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_013	1	defining ingredient	Other	institutional cooked sausage (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_014	1	defining ingredient	Other	institutional potted meat (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_015	1	defining ingredient	Other	institutional pressed poultry (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_meat_offal_016	1	defining ingredient	Other	institutional liver paste (industrialised form)	same-graph	100	g	
ingredient_industrial_food_meat_offal_001	1	defining ingredient	Other	standardised minced meat loaf (industrial form)	same-graph	100	g	
ingredient_industrial_food_meat_offal_002	1	defining ingredient	Other	standardised fresh sausage (industrial form)	same-graph	100	g	
ingredient_industrial_food_meat_offal_003	1	defining ingredient	Other	standardised cooked sausage (industrial form)	same-graph	100	g	
ingredient_modern_food_meat_offal_001	1	defining ingredient	Other	standardised minced meat loaf (modern form)	same-graph	100	g	
ingredient_modern_food_meat_offal_002	1	defining ingredient	Other	standardised fresh sausage (modern form)	same-graph	100	g	
ingredient_modern_food_meat_offal_003	1	defining ingredient	Other	standardised cooked sausage (modern form)	same-graph	100	g	
ingredient_modern_food_meat_offal_004	1	defining ingredient	Other	standardised potted meat (modern form)	same-graph	100	g	
ingredient_modern_food_meat_offal_005	1	defining ingredient	Other	standardised pressed poultry (modern form)	same-graph	100	g	
ingredient_nuclear_food_meat_offal_001	1	defining ingredient	Other	standardised minced meat loaf (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_meat_offal_002	1	defining ingredient	Other	standardised fresh sausage (nuclear form)	same-graph	100	g	
ingredient_information_food_meat_offal_001	1	defining ingredient	Other	standardised minced meat loaf (information form)	same-graph	100	g	
ingredient_information_food_meat_offal_002	1	defining ingredient	Other	standardised fresh sausage (information form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_001	1	defining ingredient	Other	standardised fish cake (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_002	1	defining ingredient	Other	standardised pressed fish loaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_003	1	defining ingredient	Other	standardised smoked fish flakes (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_004	1	defining ingredient	Other	standardised salted fish paste (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_005	1	defining ingredient	Other	standardised shellfish cake (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_006	1	defining ingredient	Other	standardised fish roe spread (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_007	1	defining ingredient	Other	standardised pickled fish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_008	1	defining ingredient	Other	standardised dried shrimp (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_009	1	defining ingredient	Other	standardised fish sausage (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_aquatic_010	1	defining ingredient	Other	standardised cooked mollusc meat (industrialised form)	same-graph	100	g	
ingredient_industrial_food_aquatic_001	1	defining ingredient	Other	standardised fish cake (industrial form)	same-graph	100	g	
ingredient_industrial_food_aquatic_002	1	defining ingredient	Other	standardised pressed fish loaf (industrial form)	same-graph	100	g	
ingredient_modern_food_aquatic_001	1	defining ingredient	Other	standardised fish cake (modern form)	same-graph	100	g	
ingredient_modern_food_aquatic_002	1	defining ingredient	Other	standardised pressed fish loaf (modern form)	same-graph	100	g	
ingredient_modern_food_aquatic_003	1	defining ingredient	Other	standardised smoked fish flakes (modern form)	same-graph	100	g	
ingredient_nuclear_food_aquatic_001	1	defining ingredient	Other	standardised fish cake (nuclear form)	same-graph	100	g	
ingredient_information_food_aquatic_001	1	defining ingredient	Other	standardised fish cake (information form)	same-graph	100	g	
ingredient_industrialised_food_composite_001	1	defining ingredient	Other	standardised vegetable curry with rice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_002	1	defining ingredient	Other	standardised meat stew with dumplings (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_003	1	defining ingredient	Other	standardised bean casserole (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_004	1	defining ingredient	Other	standardised noodle soup (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_005	1	defining ingredient	Other	standardised rice and lentil pilaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_006	1	defining ingredient	Other	standardised filled savoury pie (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_007	1	defining ingredient	Other	standardised baked pasta dish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_008	1	defining ingredient	Other	standardised maize and bean porridge (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_009	1	defining ingredient	Other	standardised fish and potato pie (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_010	1	defining ingredient	Other	standardised stuffed vegetable dish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_011	1	defining ingredient	Other	institutional vegetable curry with rice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_012	1	defining ingredient	Other	institutional meat stew with dumplings (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_013	1	defining ingredient	Other	institutional bean casserole (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_014	1	defining ingredient	Other	institutional noodle soup (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_015	1	defining ingredient	Other	institutional rice and lentil pilaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_016	1	defining ingredient	Other	institutional filled savoury pie (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_017	1	defining ingredient	Other	institutional baked pasta dish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_018	1	defining ingredient	Other	institutional maize and bean porridge (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_019	1	defining ingredient	Other	institutional fish and potato pie (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_020	1	defining ingredient	Other	institutional stuffed vegetable dish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_021	1	defining ingredient	Other	fortified vegetable curry with rice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_022	1	defining ingredient	Other	fortified meat stew with dumplings (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_023	1	defining ingredient	Other	fortified bean casserole (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_024	1	defining ingredient	Other	fortified noodle soup (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_025	1	defining ingredient	Other	fortified rice and lentil pilaf (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_026	1	defining ingredient	Other	fortified filled savoury pie (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_027	1	defining ingredient	Other	fortified baked pasta dish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_composite_028	1	defining ingredient	Other	fortified maize and bean porridge (industrialised form)	same-graph	100	g	
ingredient_industrial_food_composite_001	1	defining ingredient	Other	standardised vegetable curry with rice (industrial form)	same-graph	100	g	
ingredient_industrial_food_composite_002	1	defining ingredient	Other	standardised meat stew with dumplings (industrial form)	same-graph	100	g	
ingredient_industrial_food_composite_003	1	defining ingredient	Other	standardised bean casserole (industrial form)	same-graph	100	g	
ingredient_industrial_food_composite_004	1	defining ingredient	Other	standardised noodle soup (industrial form)	same-graph	100	g	
ingredient_industrial_food_composite_005	1	defining ingredient	Other	standardised rice and lentil pilaf (industrial form)	same-graph	100	g	
ingredient_modern_food_composite_001	1	defining ingredient	Other	standardised vegetable curry with rice (modern form)	same-graph	100	g	
ingredient_modern_food_composite_002	1	defining ingredient	Other	standardised meat stew with dumplings (modern form)	same-graph	100	g	
ingredient_modern_food_composite_003	1	defining ingredient	Other	standardised bean casserole (modern form)	same-graph	100	g	
ingredient_modern_food_composite_004	1	defining ingredient	Other	standardised noodle soup (modern form)	same-graph	100	g	
ingredient_modern_food_composite_005	1	defining ingredient	Other	standardised rice and lentil pilaf (modern form)	same-graph	100	g	
ingredient_modern_food_composite_006	1	defining ingredient	Other	standardised filled savoury pie (modern form)	same-graph	100	g	
ingredient_modern_food_composite_007	1	defining ingredient	Other	standardised baked pasta dish (modern form)	same-graph	100	g	
ingredient_modern_food_composite_008	1	defining ingredient	Other	standardised maize and bean porridge (modern form)	same-graph	100	g	
ingredient_modern_food_composite_009	1	defining ingredient	Other	standardised fish and potato pie (modern form)	same-graph	100	g	
ingredient_nuclear_food_composite_001	1	defining ingredient	Other	standardised vegetable curry with rice (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_composite_002	1	defining ingredient	Other	standardised meat stew with dumplings (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_composite_003	1	defining ingredient	Other	standardised bean casserole (nuclear form)	same-graph	100	g	
ingredient_information_food_composite_001	1	defining ingredient	Other	standardised vegetable curry with rice (information form)	same-graph	100	g	
ingredient_information_food_composite_002	1	defining ingredient	Other	standardised meat stew with dumplings (information form)	same-graph	100	g	
ingredient_information_food_composite_003	1	defining ingredient	Other	standardised bean casserole (information form)	same-graph	100	g	
ingredient_information_food_composite_004	1	defining ingredient	Other	standardised noodle soup (information form)	same-graph	100	g	
ingredient_information_food_composite_005	1	defining ingredient	Other	standardised rice and lentil pilaf (information form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_001	1	defining ingredient	Other	standardised tomato sauce (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_002	1	defining ingredient	Other	standardised mustard emulsion (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_003	1	defining ingredient	Other	standardised fruit chutney (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_004	1	defining ingredient	Other	standardised vegetable pickle (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_005	1	defining ingredient	Other	standardised fermented bean sauce (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_006	1	defining ingredient	Other	standardised meat stock concentrate (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_007	1	defining ingredient	Other	standardised vegetable stock concentrate (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_008	1	defining ingredient	Other	standardised salad dressing (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_009	1	defining ingredient	Other	standardised pepper relish (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_010	1	defining ingredient	Other	standardised malted vinegar sauce (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_011	1	defining ingredient	Other	institutional tomato sauce (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_012	1	defining ingredient	Other	institutional mustard emulsion (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_013	1	defining ingredient	Other	institutional fruit chutney (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_preserve_condiment_014	1	defining ingredient	Other	institutional vegetable pickle (industrialised form)	same-graph	100	g	
ingredient_industrial_food_preserve_condiment_001	1	defining ingredient	Other	standardised tomato sauce (industrial form)	same-graph	100	g	
ingredient_industrial_food_preserve_condiment_002	1	defining ingredient	Other	standardised mustard emulsion (industrial form)	same-graph	100	g	
ingredient_industrial_food_preserve_condiment_003	1	defining ingredient	Other	standardised fruit chutney (industrial form)	same-graph	100	g	
ingredient_modern_food_preserve_condiment_001	1	defining ingredient	Other	standardised tomato sauce (modern form)	same-graph	100	g	
ingredient_modern_food_preserve_condiment_002	1	defining ingredient	Other	standardised mustard emulsion (modern form)	same-graph	100	g	
