Route	Order	DurationSeconds	Description
route_industrial_food_baking_003	1	60	complete the defined preparation stage
route_modern_food_baking_001	1	60	complete the defined preparation stage
route_modern_food_baking_002	1	60	complete the defined preparation stage
route_modern_food_baking_003	1	60	complete the defined preparation stage
route_modern_food_baking_004	1	60	complete the defined preparation stage
route_modern_food_baking_005	1	60	complete the defined preparation stage
route_nuclear_food_baking_001	1	60	complete the defined preparation stage
route_nuclear_food_baking_002	1	60	complete the defined preparation stage
route_information_food_baking_001	1	60	complete the defined preparation stage
route_information_food_baking_002	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_001	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_002	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_003	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_004	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_005	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_006	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_007	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_008	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_009	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_010	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_011	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_012	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_013	1	60	complete the defined preparation stage
route_industrialised_food_noodle_dumpling_014	1	60	complete the defined preparation stage
route_industrial_food_noodle_dumpling_001	1	60	complete the defined preparation stage
route_industrial_food_noodle_dumpling_002	1	60	complete the defined preparation stage
route_modern_food_noodle_dumpling_001	1	60	complete the defined preparation stage
route_modern_food_noodle_dumpling_002	1	60	complete the defined preparation stage
route_modern_food_noodle_dumpling_003	1	60	complete the defined preparation stage
route_modern_food_noodle_dumpling_004	1	60	complete the defined preparation stage
route_nuclear_food_noodle_dumpling_001	1	60	complete the defined preparation stage
route_information_food_noodle_dumpling_001	1	60	complete the defined preparation stage
route_information_food_noodle_dumpling_002	1	60	complete the defined preparation stage
route_industrialised_food_plant_001	1	60	complete the defined preparation stage
route_industrialised_food_plant_002	1	60	complete the defined preparation stage
route_industrialised_food_plant_003	1	60	complete the defined preparation stage
route_industrialised_food_plant_004	1	60	complete the defined preparation stage
route_industrialised_food_plant_005	1	60	complete the defined preparation stage
route_industrialised_food_plant_006	1	60	complete the defined preparation stage
route_industrialised_food_plant_007	1	60	complete the defined preparation stage
route_industrialised_food_plant_008	1	60	complete the defined preparation stage
route_industrialised_food_plant_009	1	60	complete the defined preparation stage
route_industrialised_food_plant_010	1	60	complete the defined preparation stage
route_industrialised_food_plant_011	1	60	complete the defined preparation stage
route_industrialised_food_plant_012	1	60	complete the defined preparation stage
route_industrialised_food_plant_013	1	60	complete the defined preparation stage
route_industrialised_food_plant_014	1	60	complete the defined preparation stage
route_industrial_food_plant_001	1	60	complete the defined preparation stage
route_industrial_food_plant_002	1	60	complete the defined preparation stage
route_modern_food_plant_001	1	60	complete the defined preparation stage
route_modern_food_plant_002	1	60	complete the defined preparation stage
route_modern_food_plant_003	1	60	complete the defined preparation stage
route_modern_food_plant_004	1	60	complete the defined preparation stage
route_nuclear_food_plant_001	1	60	complete the defined preparation stage
route_information_food_plant_001	1	60	complete the defined preparation stage
route_information_food_plant_002	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_001	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_002	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_003	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_004	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_005	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_006	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_007	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_008	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_009	1	60	complete the defined preparation stage
route_industrialised_food_fruit_nut_010	1	60	complete the defined preparation stage
route_industrial_food_fruit_nut_001	1	60	complete the defined preparation stage
route_modern_food_fruit_nut_001	1	60	complete the defined preparation stage
route_modern_food_fruit_nut_002	1	60	complete the defined preparation stage
route_modern_food_fruit_nut_003	1	60	complete the defined preparation stage
route_nuclear_food_fruit_nut_001	1	60	complete the defined preparation stage
route_information_food_fruit_nut_001	1	60	complete the defined preparation stage
route_information_food_fruit_nut_002	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_001	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_002	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_003	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_004	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_005	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_006	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_007	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_008	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_009	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_010	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_011	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_012	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_013	1	60	complete the defined preparation stage
route_industrialised_food_dairy_egg_014	1	60	complete the defined preparation stage
route_industrial_food_dairy_egg_001	1	60	complete the defined preparation stage
route_industrial_food_dairy_egg_002	1	60	complete the defined preparation stage
route_modern_food_dairy_egg_001	1	60	complete the defined preparation stage
route_modern_food_dairy_egg_002	1	60	complete the defined preparation stage
route_modern_food_dairy_egg_003	1	60	complete the defined preparation stage
route_modern_food_dairy_egg_004	1	60	complete the defined preparation stage
route_nuclear_food_dairy_egg_001	1	60	complete the defined preparation stage
route_information_food_dairy_egg_001	1	60	complete the defined preparation stage
route_information_food_dairy_egg_002	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_001	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_002	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_003	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_004	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_005	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_006	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_007	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_008	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_009	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_010	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_011	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_012	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_013	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_014	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_015	1	60	complete the defined preparation stage
route_industrialised_food_meat_offal_016	1	60	complete the defined preparation stage
route_industrial_food_meat_offal_001	1	60	complete the defined preparation stage
route_industrial_food_meat_offal_002	1	60	complete the defined preparation stage
route_industrial_food_meat_offal_003	1	60	complete the defined preparation stage
route_modern_food_meat_offal_001	1	60	complete the defined preparation stage
route_modern_food_meat_offal_002	1	60	complete the defined preparation stage
route_modern_food_meat_offal_003	1	60	complete the defined preparation stage
route_modern_food_meat_offal_004	1	60	complete the defined preparation stage
route_modern_food_meat_offal_005	1	60	complete the defined preparation stage
route_nuclear_food_meat_offal_001	1	60	complete the defined preparation stage
route_nuclear_food_meat_offal_002	1	60	complete the defined preparation stage
route_information_food_meat_offal_001	1	60	complete the defined preparation stage
route_information_food_meat_offal_002	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_001	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_002	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_003	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_004	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_005	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_006	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_007	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_008	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_009	1	60	complete the defined preparation stage
route_industrialised_food_aquatic_010	1	60	complete the defined preparation stage
route_industrial_food_aquatic_001	1	60	complete the defined preparation stage
route_industrial_food_aquatic_002	1	60	complete the defined preparation stage
route_modern_food_aquatic_001	1	60	complete the defined preparation stage
route_modern_food_aquatic_002	1	60	complete the defined preparation stage
route_modern_food_aquatic_003	1	60	complete the defined preparation stage
route_nuclear_food_aquatic_001	1	60	complete the defined preparation stage
route_information_food_aquatic_001	1	60	complete the defined preparation stage
route_industrialised_food_composite_001	1	60	complete the defined preparation stage
route_industrialised_food_composite_002	1	60	complete the defined preparation stage
route_industrialised_food_composite_003	1	60	complete the defined preparation stage
route_industrialised_food_composite_004	1	60	complete the defined preparation stage
route_industrialised_food_composite_005	1	60	complete the defined preparation stage
route_industrialised_food_composite_006	1	60	complete the defined preparation stage
route_industrialised_food_composite_007	1	60	complete the defined preparation stage
route_industrialised_food_composite_008	1	60	complete the defined preparation stage
route_industrialised_food_composite_009	1	60	complete the defined preparation stage
route_industrialised_food_composite_010	1	60	complete the defined preparation stage
route_industrialised_food_composite_011	1	60	complete the defined preparation stage
route_industrialised_food_composite_012	1	60	complete the defined preparation stage
route_industrialised_food_composite_013	1	60	complete the defined preparation stage
route_industrialised_food_composite_014	1	60	complete the defined preparation stage
route_industrialised_food_composite_015	1	60	complete the defined preparation stage
route_industrialised_food_composite_016	1	60	complete the defined preparation stage
route_industrialised_food_composite_017	1	60	complete the defined preparation stage
route_industrialised_food_composite_018	1	60	complete the defined preparation stage
route_industrialised_food_composite_019	1	60	complete the defined preparation stage
route_industrialised_food_composite_020	1	60	complete the defined preparation stage
route_industrialised_food_composite_021	1	60	complete the defined preparation stage
route_industrialised_food_composite_022	1	60	complete the defined preparation stage
route_industrialised_food_composite_023	1	60	complete the defined preparation stage
route_industrialised_food_composite_024	1	60	complete the defined preparation stage
route_industrialised_food_composite_025	1	60	complete the defined preparation stage
route_industrialised_food_composite_026	1	60	complete the defined preparation stage
route_industrialised_food_composite_027	1	60	complete the defined preparation stage
route_industrialised_food_composite_028	1	60	complete the defined preparation stage
route_industrial_food_composite_001	1	60	complete the defined preparation stage
route_industrial_food_composite_002	1	60	complete the defined preparation stage
route_industrial_food_composite_003	1	60	complete the defined preparation stage
route_industrial_food_composite_004	1	60	complete the defined preparation stage
route_industrial_food_composite_005	1	60	complete the defined preparation stage
route_modern_food_composite_001	1	60	complete the defined preparation stage
route_modern_food_composite_002	1	60	complete the defined preparation stage
route_modern_food_composite_003	1	60	complete the defined preparation stage
route_modern_food_composite_004	1	60	complete the defined preparation stage
route_modern_food_composite_005	1	60	complete the defined preparation stage
route_modern_food_composite_006	1	60	complete the defined preparation stage
route_modern_food_composite_007	1	60	complete the defined preparation stage
route_modern_food_composite_008	1	60	complete the defined preparation stage
route_modern_food_composite_009	1	60	complete the defined preparation stage
route_nuclear_food_composite_001	1	60	complete the defined preparation stage
route_nuclear_food_composite_002	1	60	complete the defined preparation stage
route_nuclear_food_composite_003	1	60	complete the defined preparation stage
route_information_food_composite_001	1	60	complete the defined preparation stage
route_information_food_composite_002	1	60	complete the defined preparation stage
route_information_food_composite_003	1	60	complete the defined preparation stage
route_information_food_composite_004	1	60	complete the defined preparation stage
route_information_food_composite_005	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_001	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_002	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_003	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_004	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_005	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_006	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_007	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_008	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_009	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_010	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_011	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_012	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_013	1	60	complete the defined preparation stage
route_industrialised_food_preserve_condiment_014	1	60	complete the defined preparation stage
route_industrial_food_preserve_condiment_001	1	60	complete the defined preparation stage
route_industrial_food_preserve_condiment_002	1	60	complete the defined preparation stage
route_industrial_food_preserve_condiment_003	1	60	complete the defined preparation stage
route_modern_food_preserve_condiment_001	1	60	complete the defined preparation stage
route_modern_food_preserve_condiment_002	1	60	complete the defined preparation stage
route_modern_food_preserve_condiment_003	1	60	complete the defined preparation stage
route_modern_food_preserve_condiment_004	1	60	complete the defined preparation stage
route_nuclear_food_preserve_condiment_001	1	60	complete the defined preparation stage
route_information_food_preserve_condiment_001	1	60	complete the defined preparation stage
route_information_food_preserve_condiment_002	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_001	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_002	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_003	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_004	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_005	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_006	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_007	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_008	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_009	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_010	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_011	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_012	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_013	1	60	complete the defined preparation stage
route_industrialised_food_intermediate_014	1	60	complete the defined preparation stage
route_industrial_food_intermediate_001	1	60	complete the defined preparation stage
route_industrial_food_intermediate_002	1	60	complete the defined preparation stage
route_industrial_food_intermediate_003	1	60	complete the defined preparation stage
route_modern_food_intermediate_001	1	60	complete the defined preparation stage
route_modern_food_intermediate_002	1	60	complete the defined preparation stage
route_modern_food_intermediate_003	1	60	complete the defined preparation stage
route_modern_food_intermediate_004	1	60	complete the defined preparation stage
route_nuclear_food_intermediate_001	1	60	complete the defined preparation stage
route_nuclear_food_intermediate_002	1	60	complete the defined preparation stage
route_information_food_intermediate_001	1	60	complete the defined preparation stage
route_information_food_intermediate_002	1	60	complete the defined preparation stage
route_industrialised_food_dessert_001	1	60	complete the defined preparation stage
route_industrialised_food_dessert_002	1	60	complete the defined preparation stage
route_industrialised_food_dessert_003	1	60	complete the defined preparation stage
route_industrialised_food_dessert_004	1	60	complete the defined preparation stage
route_industrialised_food_dessert_005	1	60	complete the defined preparation stage
route_industrialised_food_dessert_006	1	60	complete the defined preparation stage
route_industrialised_food_dessert_007	1	60	complete the defined preparation stage
route_industrialised_food_dessert_008	1	60	complete the defined preparation stage
route_industrialised_food_dessert_009	1	60	complete the defined preparation stage
route_industrialised_food_dessert_010	1	60	complete the defined preparation stage
route_industrialised_food_dessert_011	1	60	complete the defined preparation stage
route_industrialised_food_dessert_012	1	60	complete the defined preparation stage
route_industrialised_food_dessert_013	1	60	complete the defined preparation stage
route_industrialised_food_dessert_014	1	60	complete the defined preparation stage
route_industrialised_food_dessert_015	1	60	complete the defined preparation stage
route_industrialised_food_dessert_016	1	60	complete the defined preparation stage
route_industrialised_food_dessert_017	1	60	complete the defined preparation stage
route_industrialised_food_dessert_018	1	60	complete the defined preparation stage
route_industrial_food_dessert_001	1	60	complete the defined preparation stage
route_industrial_food_dessert_002	1	60	complete the defined preparation stage
route_industrial_food_dessert_003	1	60	complete the defined preparation stage
route_modern_food_dessert_001	1	60	complete the defined preparation stage
route_modern_food_dessert_002	1	60	complete the defined preparation stage
route_modern_food_dessert_003	1	60	complete the defined preparation stage
route_modern_food_dessert_004	1	60	complete the defined preparation stage
route_modern_food_dessert_005	1	60	complete the defined preparation stage
route_modern_food_dessert_006	1	60	complete the defined preparation stage
route_nuclear_food_dessert_001	1	60	complete the defined preparation stage
route_nuclear_food_dessert_002	1	60	complete the defined preparation stage
route_information_food_dessert_001	1	60	complete the defined preparation stage
route_information_food_dessert_002	1	60	complete the defined preparation stage
route_information_food_dessert_003	1	60	complete the defined preparation stage
route_information_food_dessert_004	1	60	complete the defined preparation stage
route_industrialised_food_snack_001	1	60	complete the defined preparation stage
route_industrialised_food_snack_002	1	60	complete the defined preparation stage
route_industrialised_food_snack_003	1	60	complete the defined preparation stage
route_industrialised_food_snack_004	1	60	complete the defined preparation stage
route_industrialised_food_snack_005	1	60	complete the defined preparation stage
route_industrialised_food_snack_006	1	60	complete the defined preparation stage
route_industrialised_food_snack_007	1	60	complete the defined preparation stage
route_industrialised_food_snack_008	1	60	complete the defined preparation stage
route_industrialised_food_snack_009	1	60	complete the defined preparation stage
route_industrialised_food_snack_010	1	60	complete the defined preparation stage
route_industrialised_food_snack_011	1	60	complete the defined preparation stage
route_industrialised_food_snack_012	1	60	complete the defined preparation stage
route_industrialised_food_snack_013	1	60	complete the defined preparation stage
route_industrialised_food_snack_014	1	60	complete the defined preparation stage
route_industrialised_food_snack_015	1	60	complete the defined preparation stage
route_industrialised_food_snack_016	1	60	complete the defined preparation stage
route_industrial_food_snack_001	1	60	complete the defined preparation stage
route_industrial_food_snack_002	1	60	complete the defined preparation stage
route_modern_food_snack_001	1	60	complete the defined preparation stage
route_modern_food_snack_002	1	60	complete the defined preparation stage
route_modern_food_snack_003	1	60	complete the defined preparation stage
route_modern_food_snack_004	1	60	complete the defined preparation stage
route_modern_food_snack_005	1	60	complete the defined preparation stage
route_nuclear_food_snack_001	1	60	complete the defined preparation stage
route_nuclear_food_snack_002	1	60	complete the defined preparation stage
route_information_food_snack_001	1	60	complete the defined preparation stage
route_information_food_snack_002	1	60	complete the defined preparation stage
route_information_food_snack_003	1	60	complete the defined preparation stage
route_industrialised_food_ration_001	1	60	complete the defined preparation stage
route_industrialised_food_ration_002	1	60	complete the defined preparation stage
route_industrialised_food_ration_003	1	60	complete the defined preparation stage
route_industrialised_food_ration_004	1	60	complete the defined preparation stage
route_industrialised_food_ration_005	1	60	complete the defined preparation stage
route_industrialised_food_ration_006	1	60	complete the defined preparation stage
route_industrialised_food_ration_007	1	60	complete the defined preparation stage
route_industrialised_food_ration_008	1	60	complete the defined preparation stage
route_industrialised_food_ration_009	1	60	complete the defined preparation stage
route_industrialised_food_ration_010	1	60	complete the defined preparation stage
route_industrialised_food_ration_011	1	60	complete the defined preparation stage
route_industrialised_food_ration_012	1	60	complete the defined preparation stage
route_industrial_food_ration_001	1	60	complete the defined preparation stage
route_industrial_food_ration_002	1	60	complete the defined preparation stage
route_industrial_food_ration_003	1	60	complete the defined preparation stage
route_modern_food_ration_001	1	60	complete the defined preparation stage
route_modern_food_ration_002	1	60	complete the defined preparation stage
route_modern_food_ration_003	1	60	complete the defined preparation stage
route_modern_food_ration_004	1	60	complete the defined preparation stage
route_nuclear_food_ration_001	1	60	complete the defined preparation stage
route_nuclear_food_ration_002	1	60	complete the defined preparation stage
route_information_food_ration_001	1	60	complete the defined preparation stage
route_information_food_ration_002	1	60	complete the defined preparation stage
route_information_food_ration_003	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_001	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_002	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_003	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_004	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_005	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_006	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_007	1	60	complete the defined preparation stage
route_industrialised_food_infant_dietetic_008	1	60	complete the defined preparation stage
route_industrial_food_infant_dietetic_001	1	60	complete the defined preparation stage
route_modern_food_infant_dietetic_001	1	60	complete the defined preparation stage
route_modern_food_infant_dietetic_002	1	60	complete the defined preparation stage
route_modern_food_infant_dietetic_003	1	60	complete the defined preparation stage
route_nuclear_food_infant_dietetic_001	1	60	complete the defined preparation stage
route_nuclear_food_infant_dietetic_002	1	60	complete the defined preparation stage
route_information_food_infant_dietetic_001	1	60	complete the defined preparation stage
route_information_food_infant_dietetic_002	1	60	complete the defined preparation stage
route_information_food_infant_dietetic_003	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_001	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_002	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_003	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_004	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_005	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_006	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_007	1	60	complete the defined preparation stage
route_industrialised_food_animal_feed_008	1	60	complete the defined preparation stage
route_industrial_food_animal_feed_001	1	60	complete the defined preparation stage
route_industrial_food_animal_feed_002	1	60	complete the defined preparation stage
route_modern_food_animal_feed_001	1	60	complete the defined preparation stage
route_modern_food_animal_feed_002	1	60	complete the defined preparation stage
route_nuclear_food_animal_feed_001	1	60	complete the defined preparation stage
route_information_food_animal_feed_001	1	60	complete the defined preparation stage
route_information_food_animal_feed_002	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_001	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_002	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_003	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_004	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_005	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_006	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_007	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_008	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_009	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_010	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_011	1	60	complete the defined preparation stage
route_industrialised_food_non_alcoholic_012	1	60	complete the defined preparation stage
route_industrial_food_non_alcoholic_001	1	60	complete the defined preparation stage
route_industrial_food_non_alcoholic_002	1	60	complete the defined preparation stage
route_modern_food_non_alcoholic_001	1	60	complete the defined preparation stage
route_modern_food_non_alcoholic_002	1	60	complete the defined preparation stage
route_modern_food_non_alcoholic_003	1	60	complete the defined preparation stage
route_modern_food_non_alcoholic_004	1	60	complete the defined preparation stage
route_nuclear_food_non_alcoholic_001	1	60	complete the defined preparation stage
route_nuclear_food_non_alcoholic_002	1	60	complete the defined preparation stage
route_information_food_non_alcoholic_001	1	60	complete the defined preparation stage
route_information_food_non_alcoholic_002	1	60	complete the defined preparation stage
route_information_food_non_alcoholic_003	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_001	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_002	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_003	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_004	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_005	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_006	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_007	1	60	complete the defined preparation stage
route_industrialised_food_stimulant_008	1	60	complete the defined preparation stage
route_industrial_food_stimulant_001	1	60	complete the defined preparation stage
route_modern_food_stimulant_001	1	60	complete the defined preparation stage
route_modern_food_stimulant_002	1	60	complete the defined preparation stage
route_modern_food_stimulant_003	1	60	complete the defined preparation stage
route_nuclear_food_stimulant_001	1	60	complete the defined preparation stage
route_information_food_stimulant_001	1	60	complete the defined preparation stage
route_information_food_stimulant_002	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_001	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_002	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_003	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_004	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_005	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_006	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_007	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_008	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_009	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_010	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_011	1	60	complete the defined preparation stage
route_industrialised_food_alcohol_012	1	60	complete the defined preparation stage
route_industrial_food_alcohol_001	1	60	complete the defined preparation stage
route_industrial_food_alcohol_002	1	60	complete the defined preparation stage
route_modern_food_alcohol_001	1	60	complete the defined preparation stage
route_modern_food_alcohol_002	1	60	complete the defined preparation stage
route_modern_food_alcohol_003	1	60	complete the defined preparation stage
route_modern_food_alcohol_004	1	60	complete the defined preparation stage
route_nuclear_food_alcohol_001	1	60	complete the defined preparation stage
route_information_food_alcohol_001	1	60	complete the defined preparation stage
route_information_food_alcohol_002	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_001	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_002	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_003	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_004	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_005	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_006	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_007	1	60	complete the defined preparation stage
route_industrialised_food_beverage_intermediate_008	1	60	complete the defined preparation stage
