StableReference	ConsumerReference	ProductionRole	ReviewState
earlymodern_food_kimchi_salted_cabbage_stage	industrialised_food_baking_004	historical intermediate input or service dependency for industrialised_food_baking_004	DependencyReviewed
earlymodern_food_cassava_detox_press_cake	industrialised_food_baking_005	historical intermediate input or service dependency for industrialised_food_baking_005	DependencyReviewed
earlymodern_food_nixtamal_maize_grinding_mass	industrialised_food_baking_006	historical intermediate input or service dependency for industrialised_food_baking_006	DependencyReviewed
earlymodern_food_pulled_sugar_decoration_ribbon	industrialised_food_baking_007	historical intermediate input or service dependency for industrialised_food_baking_007	DependencyReviewed
earlymodern_food_molasses_refinery_scum_cake	industrialised_food_baking_008	historical intermediate input or service dependency for industrialised_food_baking_008	DependencyReviewed
earlymodern_food_liquid_roux_brown_gravy	industrialised_food_baking_009	historical liquid input or service dependency for industrialised_food_baking_009	DependencyReviewed
earlymodern_food_liquid_butter_caper_sauce	industrialised_food_baking_010	historical liquid input or service dependency for industrialised_food_baking_010	DependencyReviewed
earlymodern_food_liquid_cream_mushroom_sauce	industrialised_food_baking_011	historical liquid input or service dependency for industrialised_food_baking_011	DependencyReviewed
earlymodern_food_liquid_anchovy_lemon_essence	industrialised_food_baking_012	historical liquid input or service dependency for industrialised_food_baking_012	DependencyReviewed
earlymodern_food_liquid_tomato_herb_sauce	industrialised_food_baking_013	historical liquid input or service dependency for industrialised_food_baking_013	DependencyReviewed
earlymodern_food_liquid_tokugawa_ponzu	industrialised_food_baking_014	historical liquid input or service dependency for industrialised_food_baking_014	DependencyReviewed
earlymodern_food_liquid_plantation_molasses_syrup	industrialised_food_baking_015	historical liquid input or service dependency for industrialised_food_baking_015	DependencyReviewed
earlymodern_food_liquid_coffeehouse_orgeat	industrialised_food_baking_016	historical liquid input or service dependency for industrialised_food_baking_016	DependencyReviewed
medieval_food_blanching_almond_paste	industrial_food_baking_001	historical intermediate input or service dependency for industrial_food_baking_001	DependencyReviewed
medieval_food_almond_milk_press_cake	industrial_food_baking_002	historical intermediate input or service dependency for industrial_food_baking_002	DependencyReviewed
medieval_food_pounded_mortrews_base	industrial_food_baking_003	historical intermediate input or service dependency for industrial_food_baking_003	DependencyReviewed
medieval_food_raw_raised_pie_coffin	modern_food_baking_001	historical intermediate input or service dependency for modern_food_baking_001	DependencyReviewed
medieval_food_filled_unbaked_meat_coffin	modern_food_baking_002	historical intermediate input or service dependency for modern_food_baking_002	DependencyReviewed
medieval_food_filled_unbaked_fish_coffin	modern_food_baking_003	historical intermediate input or service dependency for modern_food_baking_003	DependencyReviewed
medieval_food_subtlety_bread_armature	modern_food_baking_004	historical intermediate input or service dependency for modern_food_baking_004	DependencyReviewed
medieval_food_coloured_sugar_paste_sheet	modern_food_baking_005	historical intermediate input or service dependency for modern_food_baking_005	DependencyReviewed
medieval_food_unpainted_marchpane_figure	nuclear_food_baking_001	historical intermediate input or service dependency for nuclear_food_baking_001	DependencyReviewed
medieval_food_wafer_iron_batter_bowl	nuclear_food_baking_002	historical intermediate input or service dependency for nuclear_food_baking_002	DependencyReviewed
medieval_food_cameline_sauce_spice_cake	information_food_baking_001	historical intermediate input or service dependency for information_food_baking_001	DependencyReviewed
medieval_food_galantine_sauce_base	information_food_baking_002	historical intermediate input or service dependency for information_food_baking_002	DependencyReviewed
medieval_food_sanbusak_raw_parcels	industrialised_food_noodle_dumpling_001	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_001	DependencyReviewed
medieval_food_lauzinaj_almond_filling_roll	industrialised_food_noodle_dumpling_002	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_002	DependencyReviewed
medieval_food_itriyya_uncooked_noodle_bundle	industrialised_food_noodle_dumpling_003	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_003	DependencyReviewed
medieval_food_tutmaj_raw_noodle_squares	industrialised_food_noodle_dumpling_004	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_004	DependencyReviewed
medieval_food_shishbarak_uncooked_dumplings	industrialised_food_noodle_dumpling_005	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_005	DependencyReviewed
medieval_food_idli_fermenting_batter_cake	industrialised_food_noodle_dumpling_006	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_006	DependencyReviewed
medieval_food_dosa_fermenting_batter_crock	industrialised_food_noodle_dumpling_007	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_007	DependencyReviewed
medieval_food_moon_cake_unbaked_rounds	industrialised_food_noodle_dumpling_008	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_008	DependencyReviewed
medieval_food_zongzi_untied_filling_portions	industrialised_food_noodle_dumpling_009	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_009	DependencyReviewed
medieval_food_baozi_uncooked_pleated_buns	industrialised_food_noodle_dumpling_010	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_010	DependencyReviewed
medieval_food_buddhist_gluten_washed_mass	industrialised_food_noodle_dumpling_011	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_011	DependencyReviewed
medieval_food_couscous_unsteamed_granules	industrialised_food_noodle_dumpling_012	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_012	DependencyReviewed
medieval_food_injera_fermenting_batter	industrialised_food_noodle_dumpling_013	historical intermediate input or service dependency for industrialised_food_noodle_dumpling_013	DependencyReviewed
medieval_food_liquid_lenten_almond_draught	industrialised_food_noodle_dumpling_014	historical liquid input or service dependency for industrialised_food_noodle_dumpling_014	DependencyReviewed
medieval_food_liquid_convent_walnut_milk	industrial_food_noodle_dumpling_001	historical liquid input or service dependency for industrial_food_noodle_dumpling_001	DependencyReviewed
medieval_food_liquid_poppy_seed_fast_emulsion	industrial_food_noodle_dumpling_002	historical liquid input or service dependency for industrial_food_noodle_dumpling_002	DependencyReviewed
medieval_food_liquid_green_grape_verjuice	modern_food_noodle_dumpling_001	historical liquid input or service dependency for modern_food_noodle_dumpling_001	DependencyReviewed
medieval_food_liquid_sorrel_verjuice_sauce	modern_food_noodle_dumpling_002	historical liquid input or service dependency for modern_food_noodle_dumpling_002	DependencyReviewed
medieval_food_liquid_almond_saffron_caudle	modern_food_noodle_dumpling_003	historical liquid input or service dependency for modern_food_noodle_dumpling_003	DependencyReviewed
medieval_food_liquid_monastic_parsley_broth	modern_food_noodle_dumpling_004	historical liquid input or service dependency for modern_food_noodle_dumpling_004	DependencyReviewed
medieval_food_liquid_fish_day_saffron_broth	nuclear_food_noodle_dumpling_001	historical liquid input or service dependency for nuclear_food_noodle_dumpling_001	DependencyReviewed
medieval_food_liquid_capon_restoration_broth	information_food_noodle_dumpling_001	historical liquid input or service dependency for information_food_noodle_dumpling_001	DependencyReviewed
medieval_food_liquid_ale_onion_pot_liquor	information_food_noodle_dumpling_002	historical liquid input or service dependency for information_food_noodle_dumpling_002	DependencyReviewed
medieval_food_liquid_spiced_galantine_sauce	industrialised_food_plant_001	historical liquid input or service dependency for industrialised_food_plant_001	DependencyReviewed
medieval_food_liquid_green_sawse	industrialised_food_plant_002	historical liquid input or service dependency for industrialised_food_plant_002	DependencyReviewed
medieval_food_liquid_bread_garlic_jance	industrialised_food_plant_003	historical liquid input or service dependency for industrialised_food_plant_003	DependencyReviewed
medieval_food_liquid_spiced_must_reduction	industrialised_food_plant_004	historical liquid input or service dependency for industrialised_food_plant_004	DependencyReviewed
medieval_food_liquid_quince_honey_syrup	industrialised_food_plant_005	historical liquid input or service dependency for industrialised_food_plant_005	DependencyReviewed
medieval_food_liquid_violet_sugar_syrup	industrialised_food_plant_006	historical liquid input or service dependency for industrialised_food_plant_006	DependencyReviewed
medieval_food_liquid_ale_mustard_sauce	industrialised_food_plant_007	historical liquid input or service dependency for industrialised_food_plant_007	DependencyReviewed
renaissance_food_pasta_sheet_drying_frame	industrialised_food_plant_008	historical intermediate input or service dependency for industrialised_food_plant_008	DependencyReviewed
renaissance_food_uncooked_ravioli_tray	industrialised_food_plant_009	historical intermediate input or service dependency for industrialised_food_plant_009	DependencyReviewed
renaissance_food_unbaked_torta_shell	industrialised_food_plant_010	historical intermediate input or service dependency for industrialised_food_plant_010	DependencyReviewed
renaissance_food_banquet_pie_armature	industrialised_food_plant_011	historical intermediate input or service dependency for industrialised_food_plant_011	DependencyReviewed
renaissance_food_capon_forcemeat_bowl	industrialised_food_plant_012	historical intermediate input or service dependency for industrialised_food_plant_012	DependencyReviewed
renaissance_food_clarifying_meat_jelly_bag	industrialised_food_plant_013	historical intermediate input or service dependency for industrialised_food_plant_013	DependencyReviewed
renaissance_food_rolled_sugar_plate_sheet	industrialised_food_plant_014	historical intermediate input or service dependency for industrialised_food_plant_014	DependencyReviewed
renaissance_food_unpainted_sugar_sculpture_parts	industrial_food_plant_001	historical intermediate input or service dependency for industrial_food_plant_001	DependencyReviewed
renaissance_food_citrus_peel_first_syrup_stage	industrial_food_plant_002	historical intermediate input or service dependency for industrial_food_plant_002	DependencyReviewed
renaissance_food_escabeche_uncooked_marinade_fish	modern_food_plant_001	historical intermediate input or service dependency for modern_food_plant_001	DependencyReviewed
renaissance_food_empanada_filled_raw_round	modern_food_plant_002	historical intermediate input or service dependency for modern_food_plant_002	DependencyReviewed
renaissance_food_borek_phyllo_stack	modern_food_plant_003	historical intermediate input or service dependency for modern_food_plant_003	DependencyReviewed
renaissance_food_baklava_unbaked_layered_tray	modern_food_plant_004	historical intermediate input or service dependency for modern_food_plant_004	DependencyReviewed
renaissance_food_ottoman_raw_manti_board	nuclear_food_plant_001	historical intermediate input or service dependency for nuclear_food_plant_001	DependencyReviewed
renaissance_food_mughal_sealed_uncooked_rice_pot	information_food_plant_001	historical intermediate input or service dependency for information_food_plant_001	DependencyReviewed
renaissance_food_mughal_almond_korma_paste	information_food_plant_002	historical intermediate input or service dependency for information_food_plant_002	DependencyReviewed
renaissance_food_ming_mock_goose_uncooked_roll	industrialised_food_fruit_nut_001	historical intermediate input or service dependency for industrialised_food_fruit_nut_001	DependencyReviewed
renaissance_food_pulled_sugar_working_lump	industrialised_food_fruit_nut_002	historical intermediate input or service dependency for industrialised_food_fruit_nut_002	DependencyReviewed
renaissance_food_nixtamal_wet_maize_dough	industrialised_food_fruit_nut_003	historical intermediate input or service dependency for industrialised_food_fruit_nut_003	DependencyReviewed
renaissance_food_uncooked_ceremonial_tamale_bundle	industrialised_food_fruit_nut_004	historical intermediate input or service dependency for industrialised_food_fruit_nut_004	DependencyReviewed
renaissance_food_ground_cacao_spice_paste	industrialised_food_fruit_nut_005	historical intermediate input or service dependency for industrialised_food_fruit_nut_005	DependencyReviewed
renaissance_food_unfinished_amaranth_ritual_figure	industrialised_food_fruit_nut_006	historical intermediate input or service dependency for industrialised_food_fruit_nut_006	DependencyReviewed
renaissance_food_chuno_thawing_press_bundle	industrialised_food_fruit_nut_007	historical intermediate input or service dependency for industrialised_food_fruit_nut_007	DependencyReviewed
renaissance_food_charqui_salted_drying_strips	industrialised_food_fruit_nut_008	historical intermediate input or service dependency for industrialised_food_fruit_nut_008	DependencyReviewed
renaissance_food_contact_turkey_brining_joint	industrialised_food_fruit_nut_009	historical intermediate input or service dependency for industrialised_food_fruit_nut_009	DependencyReviewed
renaissance_food_liquid_rosewater_verjuice_emulsion	industrialised_food_fruit_nut_010	historical liquid input or service dependency for industrialised_food_fruit_nut_010	DependencyReviewed
renaissance_food_liquid_bitter_orange_agrodolce	industrial_food_fruit_nut_001	historical liquid input or service dependency for industrial_food_fruit_nut_001	DependencyReviewed
renaissance_food_liquid_caper_cinnamon_court_sauce	modern_food_fruit_nut_001	historical liquid input or service dependency for modern_food_fruit_nut_001	DependencyReviewed
renaissance_food_liquid_raisin_pinenut_sauce	modern_food_fruit_nut_002	historical liquid input or service dependency for modern_food_fruit_nut_002	DependencyReviewed
renaissance_food_liquid_safavid_mint_sekanjabin	modern_food_fruit_nut_003	historical liquid input or service dependency for modern_food_fruit_nut_003	DependencyReviewed
renaissance_food_liquid_mughal_saffron_almond_sharbat	nuclear_food_fruit_nut_001	historical liquid input or service dependency for nuclear_food_fruit_nut_001	DependencyReviewed
renaissance_food_liquid_ming_black_bean_liquor	information_food_fruit_nut_001	historical liquid input or service dependency for information_food_fruit_nut_001	DependencyReviewed
renaissance_food_liquid_japanese_irizake	information_food_fruit_nut_002	historical liquid input or service dependency for information_food_fruit_nut_002	DependencyReviewed
preindustrial_food_resting_bread_dough_round	industrialised_food_dairy_egg_001	historical intermediate input or service dependency for industrialised_food_dairy_egg_001	DependencyReviewed
preindustrial_food_flatbread_dough_stack	industrialised_food_dairy_egg_002	historical intermediate input or service dependency for industrialised_food_dairy_egg_002	DependencyReviewed
preindustrial_food_stuffed_bread_dough_blank	industrialised_food_dairy_egg_003	historical intermediate input or service dependency for industrialised_food_dairy_egg_003	DependencyReviewed
preindustrial_food_braided_bread_dough	industrialised_food_dairy_egg_004	historical intermediate input or service dependency for industrialised_food_dairy_egg_004	DependencyReviewed
preindustrial_food_ring_shaped_bread_dough	industrialised_food_dairy_egg_005	historical intermediate input or service dependency for industrialised_food_dairy_egg_005	DependencyReviewed
preindustrial_food_scored_loaf_blank	industrialised_food_dairy_egg_006	historical intermediate input or service dependency for industrialised_food_dairy_egg_006	DependencyReviewed
preindustrial_food_small_roll_dough_batch	industrialised_food_dairy_egg_007	historical intermediate input or service dependency for industrialised_food_dairy_egg_007	DependencyReviewed
preindustrial_food_pastry_dough_sheet	industrialised_food_dairy_egg_008	historical intermediate input or service dependency for industrialised_food_dairy_egg_008	DependencyReviewed
preindustrial_food_layered_pastry_dough_block	industrialised_food_dairy_egg_009	historical intermediate input or service dependency for industrialised_food_dairy_egg_009	DependencyReviewed
preindustrial_food_pie_crust_blank	industrialised_food_dairy_egg_010	historical intermediate input or service dependency for industrialised_food_dairy_egg_010	DependencyReviewed
preindustrial_food_tart_shell_blanks	industrialised_food_dairy_egg_011	historical intermediate input or service dependency for industrialised_food_dairy_egg_011	DependencyReviewed
preindustrial_food_raised_pie_shell_blanks	industrialised_food_dairy_egg_012	historical intermediate input or service dependency for industrialised_food_dairy_egg_012	DependencyReviewed
preindustrial_food_pastry_lattice_strips	industrialised_food_dairy_egg_013	historical intermediate input or service dependency for industrialised_food_dairy_egg_013	DependencyReviewed
preindustrial_food_oiled_leaf_food_wrappers	industrialised_food_dairy_egg_014	historical intermediate input or service dependency for industrialised_food_dairy_egg_014	DependencyReviewed
preindustrial_food_maize_wrapper_rounds	industrial_food_dairy_egg_001	historical intermediate input or service dependency for industrial_food_dairy_egg_001	DependencyReviewed
preindustrial_food_stuffed_dumpling_blanks	industrial_food_dairy_egg_002	historical intermediate input or service dependency for industrial_food_dairy_egg_002	DependencyReviewed
preindustrial_food_filled_pasta_parcels	modern_food_dairy_egg_001	historical intermediate input or service dependency for modern_food_dairy_egg_001	DependencyReviewed
preindustrial_food_fresh_broad_noodle_bundle	modern_food_dairy_egg_002	historical intermediate input or service dependency for modern_food_dairy_egg_002	DependencyReviewed
preindustrial_food_fresh_fine_noodle_bundle	modern_food_dairy_egg_003	historical intermediate input or service dependency for modern_food_dairy_egg_003	DependencyReviewed
preindustrial_food_dried_broad_noodle_bundle	modern_food_dairy_egg_004	historical intermediate input or service dependency for modern_food_dairy_egg_004	DependencyReviewed
preindustrial_food_dried_fine_noodle_nest	nuclear_food_dairy_egg_001	historical intermediate input or service dependency for nuclear_food_dairy_egg_001	DependencyReviewed
preindustrial_food_dried_rice_noodle_bundle	information_food_dairy_egg_001	historical intermediate input or service dependency for information_food_dairy_egg_001	DependencyReviewed
preindustrial_food_dried_millet_noodle_bundle	information_food_dairy_egg_002	historical intermediate input or service dependency for information_food_dairy_egg_002	DependencyReviewed
preindustrial_food_twisted_pasta_dough_shapes	industrialised_food_meat_offal_001	historical intermediate input or service dependency for industrialised_food_meat_offal_001	DependencyReviewed
preindustrial_food_ring_pasta_dough_shapes	industrialised_food_meat_offal_002	historical intermediate input or service dependency for industrialised_food_meat_offal_002	DependencyReviewed
preindustrial_food_cut_pasta_squares	industrialised_food_meat_offal_003	historical intermediate input or service dependency for industrialised_food_meat_offal_003	DependencyReviewed
preindustrial_food_torn_pasta_scraps	industrialised_food_meat_offal_004	historical intermediate input or service dependency for industrialised_food_meat_offal_004	DependencyReviewed
preindustrial_food_grain_fermentation_starter_cake	industrialised_food_meat_offal_005	historical intermediate input or service dependency for industrialised_food_meat_offal_005	DependencyReviewed
preindustrial_food_rice_fermentation_starter_cake	industrialised_food_meat_offal_006	historical intermediate input or service dependency for industrialised_food_meat_offal_006	DependencyReviewed
preindustrial_food_sourdough_starter_lump	industrialised_food_meat_offal_007	historical intermediate input or service dependency for industrialised_food_meat_offal_007	DependencyReviewed
preindustrial_food_dried_sourdough_starter	industrialised_food_meat_offal_008	historical intermediate input or service dependency for industrialised_food_meat_offal_008	DependencyReviewed
preindustrial_food_rennet_curdling_tablet	industrialised_food_meat_offal_009	historical intermediate input or service dependency for industrialised_food_meat_offal_009	DependencyReviewed
preindustrial_food_rennet_soaked_cloth	industrialised_food_meat_offal_010	historical intermediate input or service dependency for industrialised_food_meat_offal_010	DependencyReviewed
preindustrial_food_cheese_curd_portion	industrialised_food_meat_offal_011	historical intermediate input or service dependency for industrialised_food_meat_offal_011	DependencyReviewed
preindustrial_food_draining_cheese_curd_cake	industrialised_food_meat_offal_012	historical intermediate input or service dependency for industrialised_food_meat_offal_012	DependencyReviewed
preindustrial_food_pressed_green_cheese_blank	industrialised_food_meat_offal_013	historical intermediate input or service dependency for industrialised_food_meat_offal_013	DependencyReviewed
preindustrial_food_bread_stuffing_mix	industrialised_food_meat_offal_014	historical intermediate input or service dependency for industrialised_food_meat_offal_014	DependencyReviewed
preindustrial_food_grain_stuffing_mix	industrialised_food_meat_offal_015	historical intermediate input or service dependency for industrialised_food_meat_offal_015	DependencyReviewed
preindustrial_food_nut_stuffing_mix	industrialised_food_meat_offal_016	historical intermediate input or service dependency for industrialised_food_meat_offal_016	DependencyReviewed
preindustrial_food_fruit_stuffing_mix	industrial_food_meat_offal_001	historical intermediate input or service dependency for industrial_food_meat_offal_001	DependencyReviewed
preindustrial_food_fruit_nut_stuffing_mix	industrial_food_meat_offal_002	historical intermediate input or service dependency for industrial_food_meat_offal_002	DependencyReviewed
preindustrial_food_fish_stuffing_mix	industrial_food_meat_offal_003	historical intermediate input or service dependency for industrial_food_meat_offal_003	DependencyReviewed
preindustrial_food_cheese_stuffing_mix	modern_food_meat_offal_001	historical intermediate input or service dependency for modern_food_meat_offal_001	DependencyReviewed
preindustrial_food_vegetable_stuffing_mix	modern_food_meat_offal_002	historical intermediate input or service dependency for modern_food_meat_offal_002	DependencyReviewed
preindustrial_food_pressed_herb_parcel	modern_food_meat_offal_003	historical intermediate input or service dependency for modern_food_meat_offal_003	DependencyReviewed
preindustrial_food_pressed_spice_parcel	modern_food_meat_offal_004	historical intermediate input or service dependency for modern_food_meat_offal_004	DependencyReviewed
preindustrial_food_soup_herb_bundle	modern_food_meat_offal_005	historical intermediate input or service dependency for modern_food_meat_offal_005	DependencyReviewed
preindustrial_food_roast_spice_packet	nuclear_food_meat_offal_001	historical intermediate input or service dependency for nuclear_food_meat_offal_001	DependencyReviewed
preindustrial_food_herbed_breading_portion	nuclear_food_meat_offal_002	historical intermediate input or service dependency for nuclear_food_meat_offal_002	DependencyReviewed
preindustrial_food_spiced_breading_portion	information_food_meat_offal_001	historical intermediate input or service dependency for information_food_meat_offal_001	DependencyReviewed
preindustrial_food_fruit_paste_finishing_block	information_food_meat_offal_002	historical intermediate input or service dependency for information_food_meat_offal_002	DependencyReviewed
preindustrial_food_nut_paste_finishing_block	industrialised_food_aquatic_001	historical intermediate input or service dependency for industrialised_food_aquatic_001	DependencyReviewed
preindustrial_food_honey_nut_filling_portion	industrialised_food_aquatic_002	historical intermediate input or service dependency for industrialised_food_aquatic_002	DependencyReviewed
preindustrial_food_spiced_fruit_filling_portion	industrialised_food_aquatic_003	historical intermediate input or service dependency for industrialised_food_aquatic_003	DependencyReviewed
preindustrial_food_savoury_pulse_filling_portion	industrialised_food_aquatic_004	historical intermediate input or service dependency for industrialised_food_aquatic_004	DependencyReviewed
preindustrial_food_mushroom_filling_portion	industrialised_food_aquatic_005	historical intermediate input or service dependency for industrialised_food_aquatic_005	DependencyReviewed
preindustrial_food_onion_filling_portion	industrialised_food_aquatic_006	historical intermediate input or service dependency for industrialised_food_aquatic_006	DependencyReviewed
preindustrial_food_egg_cheese_filling_portion	industrialised_food_aquatic_007	historical intermediate input or service dependency for industrialised_food_aquatic_007	DependencyReviewed
preindustrial_food_cacao_confection_base	industrialised_food_aquatic_008	historical intermediate input or service dependency for industrialised_food_aquatic_008	DependencyReviewed
preindustrial_food_sugar_confection_base	industrialised_food_aquatic_009	historical intermediate input or service dependency for industrialised_food_aquatic_009	DependencyReviewed
preindustrial_food_fresh_cheese_drain_bag	industrialised_food_aquatic_010	historical intermediate input or service dependency for industrialised_food_aquatic_010	DependencyReviewed
preindustrial_food_pressed_cheese_blank	industrial_food_aquatic_001	historical intermediate input or service dependency for industrial_food_aquatic_001	DependencyReviewed
preindustrial_food_brining_cheese_wheel	industrial_food_aquatic_002	historical intermediate input or service dependency for industrial_food_aquatic_002	DependencyReviewed
preindustrial_food_ripening_cheese_wheel	modern_food_aquatic_001	historical intermediate input or service dependency for modern_food_aquatic_001	DependencyReviewed
preindustrial_food_cultured_milk_clabber	modern_food_aquatic_002	historical intermediate input or service dependency for modern_food_aquatic_002	DependencyReviewed
preindustrial_food_churning_cream	modern_food_aquatic_003	historical intermediate input or service dependency for modern_food_aquatic_003	DependencyReviewed
preindustrial_food_washed_butter_grains	nuclear_food_aquatic_001	historical intermediate input or service dependency for nuclear_food_aquatic_001	DependencyReviewed
preindustrial_food_clarifying_butter	information_food_aquatic_001	historical intermediate input or service dependency for information_food_aquatic_001	DependencyReviewed
preindustrial_food_raw_egg_custard_mix	industrialised_food_composite_001	historical intermediate input or service dependency for industrialised_food_composite_001	DependencyReviewed
preindustrial_food_prepared_stuffed_eggs	industrialised_food_composite_002	historical intermediate input or service dependency for industrialised_food_composite_002	DependencyReviewed
preindustrial_food_cleaned_fish_for_stuffing	industrialised_food_composite_003	historical intermediate input or service dependency for industrialised_food_composite_003	DependencyReviewed
preindustrial_food_boned_fish_fillet_sheet	industrialised_food_composite_004	historical intermediate input or service dependency for industrialised_food_composite_004	DependencyReviewed
preindustrial_food_pounded_fish_forcemeat	industrialised_food_composite_005	historical intermediate input or service dependency for industrialised_food_composite_005	DependencyReviewed
preindustrial_food_seasoned_fish_stuffing	industrialised_food_composite_006	historical intermediate input or service dependency for industrialised_food_composite_006	DependencyReviewed
preindustrial_food_cleaned_roe_sac	industrialised_food_composite_007	historical intermediate input or service dependency for industrialised_food_composite_007	DependencyReviewed
preindustrial_food_picked_crustacean_meat	industrialised_food_composite_008	historical intermediate input or service dependency for industrialised_food_composite_008	DependencyReviewed
preindustrial_food_cleaned_mollusc_meats	industrialised_food_composite_009	historical intermediate input or service dependency for industrialised_food_composite_009	DependencyReviewed
preindustrial_food_crushed_shellfish_crumb_mix	industrialised_food_composite_010	historical intermediate input or service dependency for industrialised_food_composite_010	DependencyReviewed
preindustrial_food_prepared_fruit_pie_filling	industrialised_food_composite_011	historical intermediate input or service dependency for industrialised_food_composite_011	DependencyReviewed
preindustrial_food_prepared_nut_filling	industrialised_food_composite_012	historical intermediate input or service dependency for industrialised_food_composite_012	DependencyReviewed
preindustrial_food_prepared_sweet_cheese_filling	industrialised_food_composite_013	historical intermediate input or service dependency for industrialised_food_composite_013	DependencyReviewed
preindustrial_food_cooking_fruit_pulp	industrialised_food_composite_014	historical intermediate input or service dependency for industrialised_food_composite_014	DependencyReviewed
preindustrial_food_drying_fruit_tray	industrialised_food_composite_015	historical intermediate input or service dependency for industrialised_food_composite_015	DependencyReviewed
preindustrial_food_candying_fruit_jar	industrialised_food_composite_016	historical intermediate input or service dependency for industrialised_food_composite_016	DependencyReviewed
preindustrial_food_resting_nut_paste	industrialised_food_composite_017	historical intermediate input or service dependency for industrialised_food_composite_017	DependencyReviewed
preindustrial_food_unbaked_fruit_tart	industrialised_food_composite_018	historical intermediate input or service dependency for industrialised_food_composite_018	DependencyReviewed
preindustrial_food_unbaked_nut_cake	industrialised_food_composite_019	historical intermediate input or service dependency for industrialised_food_composite_019	DependencyReviewed
preindustrial_food_boiling_sugar_mass	industrialised_food_composite_020	historical intermediate input or service dependency for industrialised_food_composite_020	DependencyReviewed
preindustrial_food_raw_sausage_links	industrialised_food_composite_021	historical intermediate input or service dependency for industrialised_food_composite_021	DependencyReviewed
preindustrial_food_raw_blood_sausage	industrialised_food_composite_022	historical intermediate input or service dependency for industrialised_food_composite_022	DependencyReviewed
preindustrial_food_prepared_meat_stuffing	industrialised_food_composite_023	historical intermediate input or service dependency for industrialised_food_composite_023	DependencyReviewed
preindustrial_food_prepared_offal_stuffing	industrialised_food_composite_024	historical intermediate input or service dependency for industrialised_food_composite_024	DependencyReviewed
